city,C000,C001,C002,C003,C004,C005,C006,C007,C008,C009,C010,C011,C012,C013,C014,C015,C016,C017,C018,C019,C020,C021,C022,C023,C024,C025,C026,C027,C028,C029,C030,C031
NewDelhi,0.01192810401358253,0.02844228799637066,0.010682236855671875,0.014954272379211032,0.0665396168571841,0.04930540757899657,0.0016728988665186519,0.031101140355097916,0.027344636069314893,0.003902141860449131,0.05340645857534661,0.030617829819701542,0.04958293522865529,0.024106240677476784,0.01432919075343172,0.012168255648503929,0.007014232099036987,0.06340905341590998,0.0267973137385638,0.016641348354767976,0.021864539011967197,0.0638747499673497,0.02913181102686949,0.0846961974415903,0.0622860545363312,0.02391334607268303,0.031095985042720355,0.06037730012853912,0.000623792797684921,0.0031455997690420056,0.024621771915232918,0.050423251146197785
Jakarta,0.01643746713066052,0.029004944188061377,0.011568009360868181,0.009685765118297652,0.05093089166425558,0.0375229985469554,0.001489410677719823,0.046816329727630064,0.0228003318504499,0.0048606659707824545,0.042527929946945486,0.028775158532121238,0.046978978009312916,0.0386975029692303,0.015066745739574125,0.009016789139091055,0.006740112822758931,0.05948691060978319,0.023332635317775578,0.01383709275987359,0.03030692969597959,0.05613323891474033,0.03323499839349855,0.06857922929491371,0.04855231040485435,0.03337526755042896,0.05045693377217731,0.06661626035234333,0.0012412421693044728,0.0019469838534614912,0.0446643371063472,0.04931559840980333
Osaka,0.009383610743968278,0.03293244536327939,0.007527850406275102,0.006106527603984984,0.0714961772697161,0.03464139301635661,0.0014449248415063063,0.01961409465777843,0.028437657013565973,0.005720894285266247,0.04028468059640353,0.03631273742051313,0.06281742742572959,0.0534746202071859,0.011844223340896654,0.03139311236490833,0.009688037046400809,0.04759651233866606,0.027653589270112938,0.011116960505387666,0.037103605751536935,0.07417280853065705,0.027965616229242207,0.0745056372870616,0.05868867070114858,0.009589228509343206,0.044312628611112,0.045075094488163776,0.0010176879282369996,0.005201649422510105,0.028833291196359367,0.044046605626726146
KualaLumpur,0.015710062342723402,0.03076542210519075,0.009338610414770283,0.005625162975749208,0.039870867214958416,0.030131516430355162,0.0022780610245195514,0.04257366503864225,0.020257785641496544,0.006841781942846905,0.03413972000966256,0.034414479125506124,0.057384261221930175,0.04843879230770461,0.01663392487197905,0.010539231762313767,0.00664141175793042,0.04691981833103234,0.016028814912341045,0.013676364956894414,0.03855706270906889,0.04827961599314022,0.04212333204819123,0.062665075436775,0.06825104424461641,0.02773987230700072,0.043491928401053925,0.07994570407923302,0.0016541538619053485,0.0011742252752790384,0.03852026818409421,0.05938796307109502
MexicoCity,0.014570404964493635,0.036733894184633104,0.006663841085023351,0.0048373424604951695,0.05143065063015802,0.04305186808265626,0.002225945237028981,0.030584255645832,0.02227024822468172,0.010065734757852985,0.04284514746337406,0.024968012283283218,0.05259260443989508,0.03495457744226217,0.012908243234597914,0.013543999104343932,0.006995713645959951,0.04484038129358327,0.013179339133772632,0.01235125711726697,0.030388730727400677,0.07135659906595868,0.03461270871985158,0.11458959759452371,0.04695396967564455,0.023891225769304587,0.035098522167487683,0.06527613396455761,0.001417855543471307,0.0015146183865395687,0.03237276885675901,0.060913809097306634
Amsterdam,0.020371428894368097,0.02283303542162177,0.007447792789083352,0.006952887967434779,0.04337481491528489,0.02981539162068815,0.00309618269334793,0.028026306653684496,0.03126216069147811,0.007696859897531289,0.03581439696695198,0.03623623672113042,0.0684365367319489,0.041335048142209646,0.021006812409274177,0.017922336273697707,0.008002845097212871,0.038404371955285795,0.03636743090305194,0.012953104336916347,0.03676827958812293,0.06909694806002153,0.03042130690396263,0.07610756146750179,0.05783443213506623,0.02370456846398659,0.04236805094693942,0.07486707001813306,0.0008121929046957021,0.0027066368916424865,0.018557316114197874,0.04939965542352711
Lagos,0.010641136165521484,0.05138255050764024,0.005676100528150959,0.006149209055481489,0.025770594041636754,0.03878768844221105,0.0018183231207055687,0.05552916047072095,0.012549193672443852,0.011273683468362218,0.05386466772638704,0.027763578735514306,0.04197926815198441,0.043326085145113324,0.015478781022459235,0.012228313121731104,0.013635220105630192,0.03330988488360168,0.028201835068198133,0.019579321992616142,0.021459738103784227,0.05196782701774177,0.024945758768331452,0.09048030330222541,0.04613709491334222,0.02478952479232899,0.041248974464157526,0.08165949325710184,0.0007543296841349605,0.0038730002051071684,0.03254794380063583,0.07119141626499846
Lima,0.013888955913412894,0.031796166089987664,0.006051510223384696,0.004500428688855538,0.0403727582307456,0.045443431569837676,0.0020907630018193136,0.03803869620678728,0.019619150568716492,0.025017975977338205,0.04894010098719081,0.0274260330757983,0.05103005969472206,0.035751685398680635,0.012288410280167873,0.016349694287741107,0.007199640319594378,0.03628613895309838,0.015150089357095404,0.014198609214317082,0.03013288550227374,0.07400191100322843,0.03184000012868709,0.11931866622269623,0.03888360735639727,0.018308553026318116,0.03835599030342806,0.04387264482525098,0.0011774868377239758,0.0013266834281596299,0.03856792184833262,0.07277335147821247
Manila,0.013787538983636063,0.027531918226678154,0.011068475326215707,0.007667247991073926,0.05248224456227231,0.03906196300091275,0.0018610639995012652,0.03958067914249588,0.023654335236091773,0.007029842562857366,0.040664468184077894,0.02550540855489999,0.052287226475143986,0.04109127006328497,0.012864000460370567,0.010341953026217144,0.00785986831483592,0.0530493155984098,0.016862670500956706,0.013963374963833736,0.03543015075537539,0.06562238743699876,0.032050503290530594,0.08302335581369698,0.04769710813752931,0.034171324988051144,0.03877183363358659,0.07008222729837607,0.001048621845542478,0.0016124958638581931,0.035802603331612275,0.05647252243107629
Moscow,0.009816113528515856,0.02202089342368039,0.006453723292660076,0.005902400197307205,0.0417055702450485,0.026851076301194574,0.0027626211749708124,0.03626000349131256,0.024510855900077993,0.012750497672191375,0.037325814733018686,0.024640979361217924,0.0701189288396831,0.03973970503213449,0.012252425100935768,0.014402865438728265,0.007366989799922166,0.0667929731729465,0.014187861442937058,0.010689742427615322,0.03266379140528534,0.07857855533330023,0.026489132889285352,0.07514369633908652,0.07282269417223061,0.02129020014189463,0.03560338048740645,0.08419068011729529,0.0016431590292869875,0.0015158382273100718,0.030735161521251362,0.05277166976026854
