feature_id,coarse_cluster,fine_cluster,coarse_split_sample_jaccard,fine_split_sample_jaccard,top1_patch_support,image_support
54,C012,F013,0.5821428298950195,0.5653408765792847,3632,3189
55,C002,F002,0.04096990078687668,0.05115089565515518,35896,9042
56,C000,F038,0.7823529243469238,0.557692289352417,78159,35376
57,C016,F019,0.7670454978942871,0.5166666507720947,18355,8165
58,C018,F023,0.5006410479545593,0.4749999940395355,675,375
59,C021,F028,0.40931034088134766,0.5416666865348816,973,743
60,C011,F017,0.7381818294525146,0.3523809611797333,38307,22881
61,C017,F039,0.8421052694320679,0.18717949092388153,118754,50361
62,C013,F014,0.41479551792144775,0.7777777910232544,161,133
63,C013,F040,0.6372092962265015,0.516339898109436,2189,1479
64,C003,F003,0.6820175647735596,0.737500011920929,2507,1822
65,C011,F041,0.4989473521709442,0.523809552192688,45,42
66,C013,F020,0.376086950302124,0.65625,4446,3235
67,C024,F036,0.833732008934021,0.6071428656578064,274816,54196
68,C000,F000,0.7823529243469238,0.22600619494915009,14666,9812
69,C025,F042,0.9285714626312256,0.9285714626312256,15094,8362
70,C015,F043,0.6919642686843872,0.42222222685813904,9,9
71,C026,F044,0.8084795475006104,0.8888888955116272,89,72
72,C013,F018,0.35475316643714905,0.3125,1904,1586
73,C027,F045,0.5791666507720947,0.75,19218,3959
74,C003,F037,0.6165413856506348,0.7803030014038086,20950,11492
75,C021,F046,0.7322515249252319,0.6153846383094788,4757,3313
76,C015,F043,0.6919642686843872,0.8263888955116272,52,39
77,C001,F001,0.8333333730697632,0.4153846204280853,18800,9587
78,C024,F036,0.833732008934021,0.7142857313156128,24781,10705
79,C008,F047,0.7809523940086365,0.4305555522441864,155,104
80,C018,F034,0.8500000238418579,0.8333333730697632,40053,19894
81,C002,F002,0.7000000476837158,0.6941176652908325,5356,2992
82,C012,F030,0.109375,0.36868688464164734,116639,42967
83,C024,F036,0.833732008934021,0.6071428656578064,8936,4892
84,C028,F048,0.5227272510528564,0.761904776096344,38209,22736
85,C021,F028,0.7322515249252319,0.75,4932,3164
86,C011,F041,0.4989473521709442,0.523809552192688,2994,2458
87,C029,F049,0.75,1.0,33,33
88,C030,F050,0.5833333730697632,0.75,3316,1773
89,C007,F007,0.7272727489471436,0.8636363744735718,1166918,215077
90,C020,F051,0.925000011920929,0.9090908765792847,266252,66761
91,C020,F027,0.925000011920929,0.9444444179534912,104,57
92,C030,F050,0.5833333730697632,0.75,82896,34603
93,C000,F000,0.7823529243469238,0.4803921580314636,64943,26752
94,C012,F032,0.1044207289814949,0.4333333373069763,163,145
95,C000,F038,0.7823529243469238,0.557692289352417,347,284
96,C022,F029,0.4128205180168152,0.2777777910232544,9560,4089
97,C029,F049,0.75,1.0,352,285
98,C026,F052,0.5366541147232056,0.6367521286010742,264826,69070
99,C030,F053,0.30000001192092896,0.4583333134651184,5,5
100,C005,F005,0.0334821417927742,0.06666667014360428,4157,2148
101,C018,F024,0.8500000238418579,0.5,485989,151812
102,C020,F051,0.925000011920929,0.9090908765792847,7087,4055
