dimension_a,dimension_b,cooccurrence_count,city_balanced_joint_probability,ppmi
D265,D451,1573,0.004142953180802126,1.5306896268210504
D268,D278,258,0.0006828565757797452,1.5290623287003722
D298,D456,1299,0.0035275917407608616,1.529021440418006
D303,D456,661,0.0017530624629895426,1.5269419191603564
D090,D132,2649,0.007019942191807043,1.5264766519366968
D038,D236,1247,0.0032691885107847094,1.525288250685537
D082,D303,345,0.000917119854341328,1.5248271964816615
D003,D278,369,0.0009758761024947181,1.523646024773493
D359,D455,669,0.001763243768571649,1.5228405013595796
D174,D250,664,0.0017425660904906177,1.5220292006915783
D124,D179,13573,0.03559822628125319,1.5179832985791482
D131,D421,279,0.0007342394117828491,1.5175023997788581
D274,D292,367,0.000969683484839324,1.5168493864054085
D344,D434,194,0.0005105548620438124,1.5154369966048078
D221,D379,328,0.0008641973252452452,1.5144997830718747
D278,D426,1024,0.002723844542538206,1.5096659077127417
D056,D067,986,0.0025963909248744835,1.5082033247018776
D180,D191,1621,0.0042606112855384645,1.506222679428982
D180,D282,785,0.0020808946639348344,1.5052941157472903
D090,D272,415,0.0010975689121234147,1.5048345339896367
D035,D138,375,0.0010055512228230557,1.503756746168966
D049,D289,4128,0.010928476779752236,1.5017045462348686
D045,D442,1750,0.004608737579567915,1.5006043914755398
D217,D495,263,0.0006915319420871872,1.4982364756289146
D077,D143,211,0.0005539510978487494,1.4980272859789898
D025,D073,447,0.0011932972007714497,1.498018517485244
D318,D466,362,0.0009692288138558917,1.4971220632680082
D056,D341,247,0.0006507238899909378,1.4964382241360028
D216,D224,717,0.0018832657694068874,1.496207329184211
D090,D332,1119,0.002965008752918201,1.493581926610987
D223,D292,1027,0.002733960030785523,1.493457801993616
D216,D406,198,0.0005186892666963173,1.4926981152107042
D143,D290,262,0.0006937647644755369,1.4918470768682117
D430,D465,619,0.0016398446125016298,1.4909658889068265
D298,D465,421,0.0011431327407118498,1.4890823262037436
D332,D386,3573,0.009483320181175396,1.4879078272949278
D389,D429,377,0.0010050132409961028,1.4855196103771369
D122,D318,206,0.0005489381610900013,1.4835270326325147
D353,D382,300,0.0007862213476426519,1.4832222846699696
D124,D439,429,0.0011213763048066624,1.4807598831987625
D002,D167,2306,0.00616171485772429,1.4796816023536028
D392,D454,416,0.0010945594770468182,1.4791235685013746
D250,D407,232,0.0006111779073534506,1.4758446607126656
D290,D496,442,0.0011731033668730473,1.4756498757560004
D005,D207,319,0.0008393764943969897,1.4738110245625686
D025,D035,191,0.0005196012433052909,1.4696000353171426
D300,D495,613,0.0016133151766498384,1.467870514567689
D303,D393,252,0.0006642418679724454,1.4666263960729178
D148,D298,1623,0.004321874337496223,1.4664490140356288
D067,D210,632,0.0016682242750246342,1.4628682541732618
D182,D294,843,0.0022102400368111865,1.4628081047110684
D223,D393,446,0.001183136965166654,1.4622489749089338
D356,D393,1330,0.0035263132520374023,1.460284656815069
D174,D353,496,0.00129983461978165,1.4589316295059263
D067,D167,6312,0.0166775901559978,1.458474702112896
D042,D223,1007,0.0026604768411656226,1.4572088442039346
D165,D284,391,0.001027473035115294,1.456862399905241
D412,D449,4618,0.012144645191674217,1.4537648950332074
D138,D308,1986,0.005297381403948399,1.453534940139188
D324,D479,307,0.0008173872680242038,1.4515386375405872
D268,D356,277,0.0007318798122548454,1.4513445446171969
D369,D451,2318,0.006146271822656195,1.4510873803393045
D420,D476,478,0.001256394802726829,1.4508096784115
D343,D356,708,0.0018660019207528415,1.4499934753197037
D025,D053,433,0.0011922908513416325,1.4494691114720932
D174,D180,2135,0.005601150322907229,1.4479425484461612
D047,D479,362,0.0009563055572402984,1.4475687645526798
D002,D104,408,0.0010886207813274086,1.44568041850954
D003,D212,561,0.0014824702833974028,1.4443866516004473
D307,D477,332,0.0008679004561862756,1.4425041566331875
D356,D426,1109,0.002940544095128851,1.4423627221550346
D332,D499,807,0.002129672819211642,1.4418978658110373
D315,D332,564,0.001489514076595654,1.4402383677585435
D216,D455,3256,0.008551573776271812,1.4395999369678956
D124,D127,209,0.0005484011496347065,1.4392428160279058
D093,D179,1548,0.004071141980141803,1.4376839335549685
D047,D050,236,0.00062423175532989,1.4376324499555824
D161,D420,361,0.0009495899170853737,1.437306175664918
D278,D289,4446,0.01188637195626007,1.4356918616177206
D417,D429,1293,0.003445026600029897,1.4346920818526636
D195,D318,212,0.0005683946604815569,1.43394832223353
D056,D093,205,0.000539226074149061,1.4297061041318873
D005,D457,197,0.0005186625917066479,1.4291536723611102
D392,D404,201,0.0005274454127785314,1.4287075416947856
D190,D305,291,0.0007662339615203077,1.4283185587500116
D140,D451,1912,0.005042416568688803,1.4276740548415987
D128,D373,227,0.0006029625035551954,1.4253349200635363
D223,D289,1674,0.004464361984014559,1.4226752628135273
D446,D451,191,0.0005019096147780483,1.4219590112992322
D292,D356,2918,0.0077639539705843886,1.421749353668432
D019,D180,2975,0.00783161790610991,1.4211866699570128
D138,D389,462,0.0012320593540807727,1.4206050989079786
D144,D354,454,0.0012071461655912684,1.418296163156934
D393,D426,322,0.000850480477085612,1.4176003385398666
D096,D267,253,0.0006715529340442264,1.4166282287329859
D042,D400,205,0.0005520342844529739,1.4165006662410897
D263,D496,227,0.0005962908128114002,1.4155198701023617
D038,D266,772,0.0020337667804070946,1.414023115189551
D082,D430,924,0.0024446433858968174,1.4138597390255532
D144,D344,919,0.0024149675837398087,1.4133129373785134
D202,D270,271,0.0007125847902400987,1.4126851168395207
D042,D130,417,0.0011109152332917456,1.412050894132516
D052,D451,1119,0.0029549883987272057,1.409880899258083
D005,D098,2139,0.005639221892673694,1.4074661738469811
D288,D442,194,0.0005083766967211869,1.4057323124716488
D353,D392,390,0.0010225464579303502,1.4054066440500848
D045,D455,463,0.001218719538821129,1.4036441795204389
D256,D315,200,0.0005283656074103062,1.4034694841443323
D042,D049,2248,0.005938804745799618,1.4031594676774046
D025,D188,552,0.0014817748108917415,1.400535339589905
D052,D295,426,0.0011238610336375397,1.400262108261107
D098,D300,1106,0.00291062049784317,1.3998419820962058
D267,D400,596,0.001603422722036139,1.3981268099240847
D112,D404,221,0.0005848131004583307,1.3972686355312327
D364,D407,236,0.0006215696743883196,1.3955044251550668
D061,D090,1515,0.00401442334623023,1.3953110259750887
D313,D451,1070,0.0028404891062976914,1.3945694104943063
D217,D395,370,0.0009741552994492826,1.3925819546818805
D002,D093,311,0.000830412040863994,1.3916119666421494
D055,D175,379,0.0010040645191083048,1.390713090973257
D067,D344,1409,0.0037090757193564655,1.3903847447186175
D113,D188,1002,0.0026355311269955404,1.3900044859085912
D132,D274,296,0.0007787406425391792,1.3896464753906137
D132,D246,303,0.000797673526205518,1.3893847121003586
D246,D298,192,0.0005147203632881019,1.3883977380015327
D015,D448,219,0.0005727888248953777,1.388211358728874
D177,D426,263,0.0006906762474971872,1.388195584958179
D090,D179,6835,0.018011956872522113,1.3870781926261972
D184,D266,281,0.0007434303065505977,1.3866170952192578
D407,D438,311,0.0008174123816020059,1.3864460667114884
D180,D331,735,0.0019296232769602617,1.3862081106732178
D236,D373,1370,0.0036368084248187965,1.3860169590868907
D140,D498,292,0.0007711436165843508,1.3849728563453314
D057,D278,212,0.0005622580093967857,1.3841714275834918
D246,D325,854,0.0022767574271825982,1.383269860050318
D325,D397,506,0.0013316006809287399,1.3830017592328876
D117,D168,211,0.0005528281221363638,1.3816895934896072
D289,D292,3249,0.00861671970603849,1.381656635297378
D144,D155,265,0.0006952771543396962,1.380544300501908
D298,D464,395,0.001039400928718125,1.3805434239001935
D303,D436,2981,0.007836097514744945,1.3790319523229486
D049,D292,2208,0.005852470965048669,1.3789743901761737
D052,D496,1119,0.0029582233363863618,1.3786761886554362
D341,D369,321,0.0008570435915336673,1.3786378648749018
D090,D505,698,0.0018474523322805515,1.3779849371647699
D078,D319,448,0.0011753680825219832,1.3767988380191332
D292,D343,447,0.001179058643365821,1.375482968976525
D318,D373,274,0.0007322508774100092,1.3750631023774964
D053,D292,204,0.0005457865876095304,1.3748564150879998
D096,D325,211,0.0005583299759272638,1.3738286182279973
D212,D397,427,0.0011218219014773525,1.3731857557199119
D092,D393,332,0.0008870341046317673,1.372521551389178
D098,D379,341,0.0009027076593862901,1.3725215078377282
