city,F000,F001,F002,F003,F004,F005,F006,F007,F008,F009,F010,F011,F012,F013,F014,F015,F016,F017,F018,F019,F020,F021,F022,F023,F024,F025,F026,F027,F028,F029,F030,F031,F032,F033,F034,F035,F036,F037,F038,F039,F040,F041,F042,F043,F044,F045,F046,F047,F048,F049,F050,F051,F052,F053,F054,F055,F056,F057,F058,F059,F060,F061,F062,F063
NewDelhi,0.007929300046054124,0.020767316694276228,0.010682236855671875,0.0009511551336600656,0.015158766436854296,0.0019882321402794867,0.0016728988665186519,0.031101140355097916,0.022755548834555717,0.003902141860449131,0.051380850420329804,0.024718004412947397,0.010420175143145841,0.03707442896323231,0.0016711804290594648,0.007896649734329568,0.005936342202761873,0.012580680638708834,0.0036748785064716354,0.0069038224922842156,0.005101181597596937,0.06069607027721833,0.04273796921934823,0.011449089571834123,0.008354613317202934,0.016641348354767976,0.00011040960675277184,0.013977770293027955,0.04227399110536771,0.02913181102686949,0.011053848956221086,0.007674971302094432,0.001454657309201889,0.020897058722444857,0.006993610849526742,0.028688454162399214,0.06063034004440442,0.014003117245550966,0.003998803967528406,0.0027129831386916506,0.013473408898756539,0.007616974037846867,0.02391334607268303,0.006231913445742056,0.012068156666506279,0.02859952502388628,0.017906977543459282,0.004589087234759178,0.000623792797684921,0.0031455997690420056,0.0065798970312274455,0.007886768718939242,0.019027828376214077,0.018041874884005472,0.06379913871914546,0.001506640042342299,0.0036937813185226936,0.03177777510465284,0.03708001388497467,0.0016557144919267807,0.013343237261223115,0.004925900976759851,0.004579206219368853,0.00018559124559220793
Jakarta,0.008940060711368436,0.020903301400453655,0.011568009360868181,0.0011373390900967578,0.014946857571257532,0.0013527381658389056,0.001489410677719823,0.046816329727630064,0.015445192724226842,0.0048606659707824545,0.03598403409299805,0.014473299306406983,0.00869908549305208,0.0398684107464557,0.001616891763363135,0.004357135663852758,0.002886507465835868,0.01415799342373434,0.00856760813513155,0.0063544725480072185,0.00931810806879343,0.056547252722660306,0.03480353526230732,0.003908753914348696,0.006289732937116258,0.01383709275987359,0.0003856402747517116,0.021821245142531046,0.03604797444943357,0.03323499839349855,0.005518052760385112,0.00810164278760772,0.001592514502472094,0.018433205505904094,0.013134148466310626,0.028054630640538505,0.04469191138506002,0.008548426028200894,0.007497406419292084,0.0029396578871228917,0.019048631436595943,0.005918079615334816,0.03337526755042896,0.006130281673255187,0.011383381581660627,0.02289104723114279,0.015266958980662838,0.007355139126223059,0.0012412421693044728,0.0019469838534614912,0.001632876852472014,0.008485684553448542,0.03907355219051668,0.043031460253875185,0.05014602378900961,0.0009686963999980818,0.004818305484643924,0.04372521312120054,0.025337565119256757,0.003860399019794336,0.02397803329054658,0.009740913675723285,0.0013667251188091748,0.00014626356534624502
Osaka,0.005060837256338948,0.029052910171438812,0.007527850406275102,0.000851273550034723,0.015648552034895815,0.001020088135614917,0.0014449248415063063,0.01961409465777843,0.01898324015194913,0.005720894285266247,0.055847625234820286,0.021327842725611494,0.00795068693935156,0.055656408713712864,0.0019649697733884206,0.008180306778505663,0.007735068309901976,0.02121503297884937,0.005912910875499643,0.009354008186307296,0.0036379143157968846,0.04652361964073696,0.0312747021342644,0.009157591215881052,0.012134648433624665,0.011116960505387666,0.0003340288600935121,0.030233812201374197,0.052355323499950396,0.027965616229242207,0.005433269434479139,0.003879535191840575,0.0017277492775375793,0.0071286159124148325,0.006361349620607221,0.018956837870792036,0.052691752567421826,0.005255254053950261,0.004322773487629331,0.001072892697929101,0.04184161511554598,0.0071470175023122,0.009589228509343206,0.023658044055006353,0.025432997410976307,0.025857834116867696,0.013670781155491835,0.009454416861616844,0.0010176879282369996,0.005201649422510105,0.0018945636903028422,0.006869793550162734,0.01887963120013569,0.026938727506056522,0.06737702137464677,0.0008096699554841539,0.008146703875214819,0.01921726037129608,0.026567895466168275,0.005996918133726754,0.01747871016055787,0.002854246606906837,0.0023466027464772955,0.00011721012695496891
KualaLumpur,0.007908823167112734,0.025106664128377698,0.009338610414770283,0.0010042505675155536,0.015444101917634656,0.0011142342019507497,0.0022780610245195514,0.04257366503864225,0.014389058908034484,0.006841781942846905,0.02442676529732376,0.016156795868774727,0.013022862198104923,0.05291692596141694,0.0017393411860315185,0.006575021636780447,0.0046405094921875625,0.017218237926196582,0.010685210040745937,0.006215075196810715,0.008156386329714138,0.04454817123212066,0.02679081352694719,0.004265765254130185,0.0054759851734061974,0.013676364956894414,0.00042633656111970537,0.0323399878098139,0.031530108319882004,0.04212333204819123,0.0028631739597147943,0.00565875797681305,0.0016041613007984413,0.009749349296824632,0.006287064484804661,0.017982924140887837,0.06630613364731328,0.004620912408233655,0.007801239175610669,0.002371647098911682,0.027566298134837536,0.004173379001204621,0.02773987230700072,0.005898722270126206,0.01126192422567522,0.018731212795536023,0.01314204446378379,0.0058687267334620605,0.0016541538619053485,0.0011742252752790384,0.0007730849649572143,0.006217074899254991,0.032230004175378704,0.03774718321913699,0.052915726139950374,0.0008110793113984639,0.0036074632094744304,0.061214491283696985,0.044837328205563014,0.0019449105973031212,0.014550634865532009,0.00924782392380014,0.002226468701457223,0.0002915566163754833
MexicoCity,0.012223306250399846,0.03174820868786386,0.006663841085023351,0.000877662977416672,0.014222938391657603,0.0010811848250271896,0.002225945237028981,0.030584255645832,0.015832320388970634,0.010065734757852985,0.03720771223850042,0.020158659074915233,0.008691462478408291,0.04098906020088286,0.0012255293967116628,0.007869378158787025,0.004145608086494786,0.008646279828545838,0.007267209391593628,0.006816582432345979,0.003801740131789393,0.04347010747872817,0.03912937432026102,0.0040284530740195765,0.003603416288145352,0.01235125711726697,0.00017913121361397223,0.023565750751711342,0.03997744865971467,0.03461270871985158,0.009729463885867826,0.0049856854967692404,0.0018740803531443926,0.010310440790736357,0.005547469771607702,0.022686488388458832,0.04471562919838782,0.003959679483078498,0.002347098714093788,0.0013702738148550957,0.022350617362932635,0.00763026997632909,0.023891225769304587,0.009398391017849147,0.010110117714797518,0.023081536689911072,0.02342220587294479,0.006437927835711087,0.001417855543471307,0.0015146183865395687,0.0009416384108502335,0.006822979975689336,0.024988404452690165,0.03143113044590877,0.10427915680378734,0.001851688951442646,0.007956944533299213,0.042194597274646535,0.04743898343036274,0.0022383404772567334,0.013474825666943894,0.0031871761243682426,0.0028413089373680507,0.00030948115923485383
Amsterdam,0.01192615664827526,0.018846750663237048,0.007447792789083352,0.0018928292893231348,0.016048883355858364,0.0010475350833426178,0.00309618269334793,0.028026306653684496,0.02966522474168875,0.007696859897531289,0.027325931559426524,0.013165033400020345,0.016924856816688223,0.062432687292814114,0.001533962742467032,0.012220435290185383,0.007286726701124314,0.012869543734892486,0.006327596312676507,0.007396122465126568,0.00882472618765047,0.03749731556520068,0.025132364837698668,0.005880728745331506,0.013226391909719026,0.012953104336916347,0.0006067226320863023,0.027235508492502152,0.05609217339914841,0.03042130690396263,0.0029540893024667734,0.003986284758384721,0.0030497601366680067,0.039091425794148656,0.01726031024800141,0.02264936356693164,0.055876207591985284,0.005060058678111643,0.008445272246092836,0.0009070563900851107,0.024506669508534484,0.00644183616954971,0.02370456846398659,0.010635609572573392,0.015965726428240415,0.01762361721332255,0.007032411825399517,0.0015969359497893627,0.0008121929046957021,0.0027066368916424865,0.0016373033903806004,0.00953277109562078,0.026402324518699005,0.016920012723817275,0.03701613567335313,0.0014019612117336846,0.005972362835473615,0.05724345280481051,0.03463203463203463,0.0019582245430809398,0.014767620791492481,0.0073844159073551095,0.0036354916996468654,0.00014209339088115664
Lagos,0.0068754967439237005,0.043537601912624346,0.005676100528150959,0.0006718060968105836,0.005316762383345298,0.00028482655625064094,0.0018183231207055687,0.05552916047072095,0.008463074300071788,0.011273683468362218,0.020453831658291458,0.022564192134140088,0.010353906009640037,0.03542104655932725,0.0012494712080812224,0.0050800078197107985,0.00321521510614296,0.010069480053327863,0.014220897215670188,0.013419697338734488,0.005171344605681469,0.03187012870474823,0.03680271574710286,0.006883508742693057,0.015117439877961235,0.019579321992616142,0.000215522766895703,0.0172398183519639,0.02678130768639114,0.024945758768331452,0.005109251615218952,0.007844948595015895,0.0014489699774382116,0.03830095951697262,0.0062008864475438415,0.03130047559224695,0.04387410586093734,0.005477402958670906,0.0037656394215977848,0.0014397561788534509,0.022620676725464056,0.0073401926725464054,0.02478952479232899,0.009013098015588144,0.017599957696646497,0.013968519254435442,0.019956687134652856,0.004086119372372065,0.0007543296841349605,0.0038730002051071684,0.0052246243974976925,0.004219919751820326,0.023649016767511025,0.02732331940313814,0.052179343785252796,0.0008576844682596657,0.005229832196697775,0.0676909740026664,0.055576831863398624,0.0022629890524048816,0.015614584401599836,0.00954108873448877,0.001700146138857553,6.369539021638806e-05
Lima,0.010296575475780285,0.0263096726039671,0.006051510223384696,0.0007886105494455999,0.008429406286042438,0.0006542934033391081,0.0020907630018193136,0.03803869620678728,0.0130991389225352,0.025017975977338205,0.03194335194470316,0.02682723597833553,0.014578236118282736,0.039034010388265025,0.0008778872154205736,0.005650569520785377,0.002981921072992924,0.00562000633783899,0.01006131939652191,0.0070914627378499285,0.0039044466214009843,0.03478492366442912,0.042986312519805746,0.004023884323178313,0.005937702581623806,0.014198609214317082,0.00010817758174444997,0.02456435399887077,0.04514624483039846,0.03184000012868709,0.010066547309394318,0.005486493486020561,0.0019295019970627172,0.027683407247978405,0.005188502452293285,0.02211286500885528,0.03772904290588309,0.0037118181394099376,0.003592380437632608,0.001501215288669263,0.020579880095807537,0.007227790619676577,0.018308553026318116,0.013367773214748184,0.011221513907052534,0.018799976836324502,0.024755776039429724,0.006520011646181291,0.0011774868377239758,0.0013266834281596299,0.0015591244774097862,0.005568531503402969,0.027134476396375527,0.03700879737092283,0.09163525897471782,0.001730439160767168,0.004099890133400251,0.025072667988926475,0.06255479254837427,0.0011545644505141853,0.010218558929838192,0.004907401598615327,0.0018028256466928222,0.0003281520695296326
Manila,0.008334225834141912,0.019873861661841834,0.011068475326215707,0.001198482055938221,0.015762896370265816,0.001511789802472254,0.0018610639995012652,0.03958067914249588,0.013544166001953378,0.007029842562857366,0.03671934819200649,0.01623965165293814,0.007508995608896022,0.04412563960337797,0.0016488619415808933,0.007026245917807869,0.0026367404485096303,0.012012794465322748,0.010144537175722486,0.007352341735629005,0.0060483580915721815,0.051000027174651484,0.03563795691379082,0.0038683915643487753,0.004738380039099528,0.013963374963833736,0.0005075265792069158,0.027967911532122837,0.03906915629101174,0.032050503290530594,0.00617304178662144,0.007658056564836321,0.001988545085144577,0.013032643150469243,0.008255898897508404,0.024424816531139752,0.04465035015337693,0.0064687659351357054,0.005453313149494152,0.002049288423758318,0.02306848172025135,0.005983618480681221,0.034171324988051144,0.007705212577707514,0.008574401798002822,0.030762105108354927,0.021078737753423605,0.010110169234138395,0.001048621845542478,0.0016124958638581931,0.0012883981821756665,0.00746223922325255,0.03019743183558377,0.03451420514943661,0.06999071266322775,0.0011717070316808482,0.005474493392563417,0.03932012219002115,0.0348886558618121,0.0030467579841523826,0.02158386656926419,0.004666047510881849,0.0019122162846496788,0.00018103113415805737
Moscow,0.004319698529965231,0.017868153303854696,0.006453723292660076,0.0007995586212198133,0.013741037496376562,0.0008139722969153132,0.0027626211749708124,0.03626000349131256,0.02065840069057522,0.012750497672191375,0.02796453274867194,0.017212731439589884,0.012615169272605848,0.06425776777006023,0.0015690887514073352,0.009639546001245981,0.004621184579929437,0.009539050651257914,0.010828674246124723,0.0069077540770683225,0.004081872880989483,0.06580443524816346,0.022053724573875694,0.0028591127261545753,0.005651762392157679,0.010689742427615322,0.00045923572285384373,0.0247835145986512,0.05388752848702849,0.026489132889285352,0.004436609455050952,0.00415274011982569,0.0014245516145719058,0.009411329469400567,0.005676986324624804,0.020113083293428806,0.0713941387588544,0.005102841576087392,0.005496414998550625,0.000988537924783034,0.022960985382931325,0.002486759437354162,0.02129020014189463,0.009781680858798828,0.012220795090381754,0.026585624440469118,0.01862447089798801,0.003852455209502776,0.0016431590292869875,0.0015158382273100718,0.0023045865917582604,0.007880276806634135,0.0233825853970247,0.028430574929493104,0.06573236686968596,0.0007330955610683416,0.0060665559482837314,0.057605055676826174,0.04361017733625664,0.0014285554133762113,0.009161492424011902,0.001879783538621444,0.0039833794304035665,0.00029908377068162275
