city,relationship,rank,other_city,cosine_similarity,jensen_shannon_distance
Toronto,most_different,3,Jakarta,0.8959693338641417,0.22859776364693002
Toronto,most_different,4,Amsterdam,0.9061549619561924,0.21290046052656694
Toronto,most_different,5,Osaka,0.9238681299269738,0.20221900351080982
HongKong,most_similar,1,Seoul,0.9805491461636752,0.10093178128483411
HongKong,most_similar,2,Taipei,0.9791728847237446,0.10561135020354707
HongKong,most_similar,3,Singapore,0.9661770879915642,0.14215340818097688
HongKong,most_similar,4,Paris,0.9634309430460153,0.1443616999509831
HongKong,most_similar,5,Vienna,0.9591245412548182,0.14300666521617178
HongKong,most_different,1,Lagos,0.8835465981763858,0.23409467513003623
HongKong,most_different,2,Dhaka,0.9101093267786156,0.2010073437226257
HongKong,most_different,3,Jakarta,0.9145223722990429,0.20128468058638543
HongKong,most_different,4,Amsterdam,0.9162042006406034,0.1961704268976929
HongKong,most_different,5,Bogota,0.930800187345795,0.19559237036920873
Bogota,most_similar,1,SaoPaulo,0.9806156370601198,0.10687204307756443
Bogota,most_similar,2,MexicoCity,0.9804912420445274,0.11369521379203407
Bogota,most_similar,3,Lima,0.978125783193245,0.11154608760465123
Bogota,most_similar,4,BuenosAires,0.9750882651402517,0.13857638285690718
Bogota,most_similar,5,Istanbul,0.9708641617735971,0.13287188051750007
Bogota,most_different,1,Dhaka,0.8703158269244218,0.22938672484929937
Bogota,most_different,2,Amsterdam,0.894330287410432,0.21958802646547154
Bogota,most_different,3,Lagos,0.896445684060678,0.20382724612458744
Bogota,most_different,4,Jakarta,0.9083918067459262,0.19896718653507467
Bogota,most_different,5,Singapore,0.9136887333048166,0.21276613588184282
Paris,most_similar,1,Vienna,0.9915448109188744,0.0747064183121093
Paris,most_similar,2,Istanbul,0.9864638491453511,0.089809577811021
Paris,most_similar,3,London,0.9782609357784293,0.1015502325079214
Paris,most_similar,4,Seoul,0.974515992347582,0.12452875529908354
Paris,most_similar,5,SaoPaulo,0.9721148333954515,0.13060645530387346
Paris,most_different,1,Lagos,0.8936843848417202,0.210642633764117
Paris,most_different,2,Dhaka,0.9016288586051947,0.2068719964908994
Paris,most_different,3,Jakarta,0.9295211298127349,0.18020852401794793
Paris,most_different,4,LosAngeles,0.9423561619076907,0.17513904553682436
Paris,most_different,5,KualaLumpur,0.9424084736495152,0.15897471156651358
Mumbai,most_similar,1,NewDelhi,0.989504980421693,0.07436419936823195
Mumbai,most_similar,2,Manila,0.9692294279282836,0.14149191066951078
Mumbai,most_similar,3,Taipei,0.967728808894911,0.14757187564413032
Mumbai,most_similar,4,Istanbul,0.9620620077042799,0.15278890214500454
Mumbai,most_similar,5,Paris,0.9616444493378112,0.15752524695669415
Mumbai,most_different,1,Lagos,0.8957358773259885,0.21334644083544074
Mumbai,most_different,2,CapeTown,0.9191088191709827,0.204381947417315
Mumbai,most_different,3,Amsterdam,0.9195402211017029,0.1954982838124472
Mumbai,most_different,4,LosAngeles,0.9231209020680533,0.21331325483296942
Mumbai,most_different,5,Johannesburg,0.9256632644970709,0.19705277197870824
NewDelhi,most_similar,1,Mumbai,0.989504980421693,0.07436419936823195
NewDelhi,most_similar,2,Istanbul,0.9647803069740314,0.14688814558473967
NewDelhi,most_similar,3,Manila,0.9631201307062958,0.14813831945621708
NewDelhi,most_similar,4,Paris,0.9566210988132778,0.1586579467461506
NewDelhi,most_similar,5,Seoul,0.9559184581921625,0.16939941280818088
NewDelhi,most_different,1,Lagos,0.8916707787373885,0.21208601348516268
NewDelhi,most_different,2,CapeTown,0.903473808157567,0.21046563318702022
NewDelhi,most_different,3,LosAngeles,0.9070382586082261,0.22499504036724868
NewDelhi,most_different,4,Singapore,0.9112733192783481,0.21498872942470043
NewDelhi,most_different,5,Sydney,0.9119523997430947,0.21091756391056524
Jakarta,most_similar,1,Manila,0.9821353634129808,0.08700983613475854
Jakarta,most_similar,2,Bangkok,0.9759425867429887,0.09757806070033909
Jakarta,most_similar,3,Dhaka,0.9724854399521901,0.10879211564073507
Jakarta,most_similar,4,KualaLumpur,0.9607153462438077,0.12754875295439916
Jakarta,most_similar,5,NewDelhi,0.9477937193055702,0.16114397037431616
Jakarta,most_different,1,LosAngeles,0.8641750622993107,0.24810969797794905
Jakarta,most_different,2,Sydney,0.8893956963366529,0.21764756489737566
Jakarta,most_different,3,CapeTown,0.8924798500313722,0.20886878922620575
Jakarta,most_different,4,Toronto,0.8959693338641417,0.22859776364693002
Jakarta,most_different,5,NewYorkCity,0.9048069824488516,0.2131041533261095
Osaka,most_similar,1,Seoul,0.9791212312163443,0.11858861940527905
Osaka,most_similar,2,Vienna,0.9621788669331439,0.1618228943070133
Osaka,most_similar,3,Istanbul,0.9621347780160354,0.1672583205444078
Osaka,most_similar,4,Paris,0.9594504841278944,0.16334475331411225
