dimension_id,dimension_index,fine_cluster,coarse_cluster,image_occurrence_count,image_prevalence,city_balanced_prevalence,mean_patch_share_all_images,mean_patch_share_when_present,strong_activation_count,strong_activation_prevalence,city_balanced_strong_activation_prevalence,mean_activation_share_all_images,mean_activation_share_when_strong
D018,18,F000,C000,61,0.00016102719511744426,0.0001615266422321821,3.592000078439477e-05,0.024171963867514218,5275,0.01392489269253309,0.013962422026449182,0.0008917862063758101,0.06404259092452542
D019,19,F016,C015,7331,0.01935230110501613,0.019326461185765014,0.0011373050717047796,0.03633090120511443,10392,0.02743269855181116,0.0274211479549587,0.0029957926229163823,0.10920517415588318
D020,20,F017,C011,45058,0.11894366160002956,0.11855324049358645,0.00624537969393735,0.03940578628361993,6635,0.01751500720662693,0.017446542669659268,0.0011404348801791202,0.06511187045059441
D021,21,F001,C001,5772,0.015236868364227676,0.015195911760177075,0.0011498710112367782,0.028783394854823428,8799,0.02322751294817036,0.02313767701618347,0.0017541214668031198,0.07551912556102106
D022,22,F018,C013,0,0.0,0.0,0.0,0.0,8681,0.022916017718271044,0.02298232335408557,0.0016361712466620077,0.07139858533786528
D023,23,F019,C016,0,0.0,0.0,3.905811858820578e-07,0.0,12084,0.03189922337375732,0.03196630262702896,0.0021443022819661213,0.06722114381412132
D024,24,F020,C013,10,2.639790083892529e-05,2.6458446459023068e-05,1.2229231613134776e-05,0.02959183673469388,6492,0.0171375172246303,0.017178922800054255,0.001558257681883057,0.0909266880060961
D025,25,F021,C017,34053,0.08989277172679229,0.09109030939445266,0.0051767765059975495,0.0434892307729188,8141,0.02149053107296908,0.021973485664162462,0.0012138504325594265,0.056483035641972344
D026,26,F018,C013,0,0.0,0.0,0.0,0.0,9951,0.026268551124814556,0.02625853124573896,0.0019443846947105495,0.07401948761741141
D027,27,F022,C005,451,0.0011905453278355305,0.0011960032315413147,6.682978773609556e-05,0.030578306710710892,14805,0.03908209219202889,0.039132083052016126,0.003927669566059006,0.1004979351351125
D028,28,F006,C006,248,0.0006546679408053472,0.000651786238814846,5.399448186900586e-05,0.027855497037524688,10839,0.02861268471931112,0.028473710442389794,0.0018567955169043627,0.06489413821594953
D029,29,F023,C018,424,0.0011192709955704322,0.001167388538408056,6.491728675694892e-05,0.031430496726992684,15430,0.04073196099446172,0.041821722416492416,0.005725357412671367,0.14056179159775387
D030,30,F024,C018,62,0.0001636669852013368,0.00016399963581361027,1.3549126655081041e-05,0.030859117840684663,14237,0.03758269142437793,0.03782433227723984,0.002349219453039065,0.06250801536569169
D031,31,F011,C010,93302,0.24629769440734073,0.2467753693383455,0.013565531064888087,0.04604643512246167,11970,0.03159828730419357,0.03180431536048821,0.003159322353860173,0.09998397455677552
D032,32,F025,C019,72,0.0001900648860402621,0.0001890468466614975,2.321937808485061e-05,0.025651927437641723,10261,0.027086886050821237,0.027024840772598122,0.002280845171109649,0.08420477595063007
D033,33,F000,C000,526,0.0013885295841274702,0.0013847474943851819,0.00016466364064117377,0.027779933266082097,10871,0.028697158001995682,0.028729826848666734,0.002166180468789319,0.07548414615268442
D034,34,F026,C016,100,0.0002639790083892529,0.00026553217998234805,2.9360930524927108e-05,0.027448979591836734,9213,0.02432038604290187,0.024391948790279352,0.0020891787584821036,0.08590236827642175
D035,35,F027,C020,770,0.002032638364597247,0.0020597016203884894,0.0001884621563464702,0.027511264245958122,9818,0.02591745904365685,0.026129095176085616,0.0015911698583364316,0.06139374448923308
D036,36,F028,C021,13,3.431727109060288e-05,3.540312023178158e-05,1.872096028882967e-05,0.021585557299843013,3575,0.00943724954991579,0.009491783342805005,0.000849787309992076,0.09004607809694497
D037,37,F024,C018,19,5.015601159395805e-05,5.0654346140918784e-05,1.2363914780680313e-05,0.02497314715359828,8869,0.023412298254042837,0.023416795931834662,0.002099342309111778,0.08966835661890918
D038,38,F029,C022,2554,0.006742023874261519,0.006713994092267236,0.00047753263884945665,0.032140459942786824,7591,0.020038646526828185,0.019967748540580504,0.0024553252826271356,0.12252949715640184
D039,39,F030,C012,4,1.0559160335570116e-05,1.0853253906220216e-05,1.3333633587008182e-06,0.026785714285714284,14182,0.03743750296976384,0.03767280138796091,0.002564878277000114,0.0685109335168967
D040,40,F031,C001,6,1.5838740503355174e-05,1.571431911483333e-05,5.952996005512744e-06,0.021258503401360544,6808,0.017971690891140337,0.01792689071722723,0.0015208269389514275,0.0846234752290984
D041,41,F032,C012,126,0.00033261355057045863,0.0003358409388795249,8.828481632609962e-05,0.023688046647230322,4623,0.012203749557835162,0.012288134600413373,0.0007370515263330962,0.06039549753459893
D042,42,F021,C017,16577,0.04375980022068645,0.04381802804189929,0.0025371211052725657,0.029687371117838462,3701,0.00976986310048625,0.009775096795522476,0.0004341439976732036,0.04443706050001828
D043,43,F018,C013,0,0.0,0.0,0.0,0.0,10857,0.028660200940821185,0.028543094163438285,0.0023615277748947144,0.0823974604983021
D044,44,F033,C023,2266,0.00598176433010047,0.005988323769461418,0.00038779324431386525,0.029893996433524868,5718,0.01509431969969748,0.01507897367460403,0.001147736467042289,0.07603764130325741
D045,45,F034,C018,3632,0.009587717584697664,0.009573412458978263,0.0007609464283155306,0.03051953160118673,6753,0.017826502436526247,0.017815084667465612,0.001250059140030709,0.07012363443034994
D046,46,F024,C018,62,0.0001636669852013368,0.00016255827889676222,1.784551969978368e-05,0.027896642527978934,10486,0.027680838819697056,0.02769115459133842,0.0026597875487363912,0.09608767877524531
D047,47,F035,C010,1586,0.004186707073053551,0.004179723421419092,0.00031802736352527696,0.03438569627094217,14205,0.03749821814169337,0.03744209244747548,0.00235140650473354,0.06270715306653644
D048,48,F036,C024,23833,0.06291411706941064,0.06263252562694406,0.0033541630728708125,0.03272280674112468,9931,0.026215755323136705,0.026094298502198972,0.002206262078755688,0.08415786810493124
D049,49,F002,C002,19385,0.05117233077625667,0.051245192557406255,0.0029092372288841307,0.039818026772225526,17253,0.0455442983173978,0.045652223899250825,0.004213982803958302,0.09252492539441697
D050,50,F037,C003,20484,0.05407346007845456,0.05513505621841069,0.0031772163273494857,0.03162000007970382,8769,0.023148319245653585,0.023915724225734628,0.0015368966434508556,0.06639344425576078
D051,51,F009,C009,54,0.00014254866453019657,0.00014292757001125892,1.771083653223814e-05,0.02947845804988662,9403,0.024821946158841448,0.024797668465754538,0.0021041900215158795,0.08477135547916648
D052,52,F025,C019,3885,0.010255584475922475,0.010249222102152676,0.0006571595794049397,0.03729808525726893,5880,0.01552196569328807,0.015532914415573688,0.001107876831706397,0.07137477646825746
D053,53,F025,C019,1790,0.004725224250167626,0.004792657052889054,0.0003630115414854864,0.02882225515904686,10961,0.02893473910954601,0.029287555137756802,0.0025686949496378513,0.08877546605527885
D054,54,F013,C012,7,1.8478530587247703e-05,1.8508006615095048e-05,4.8916926452539106e-05,0.02040816326530612,6240,0.01647229012348938,0.016473951700889694,0.0014937468273654318,0.09068240154630099
D055,55,F002,C002,3143,0.008296860233674219,0.008330315583640209,0.0004834586982214603,0.04292175031005084,18887,0.04985771531447819,0.050121791995857846,0.0035284637694596504,0.0707706670312472
D056,56,F038,C000,5510,0.014545243362247834,0.014496891824057768,0.0010526701692191642,0.031107633616059855,11032,0.029122164205502378,0.02901598160985086,0.0018966717033547249,0.06512811650846902
D057,57,F019,C016,1392,0.0036745877967784,0.003691848922414665,0.0002472109540298335,0.029384383063570257,10526,0.02778643042305276,0.027912182701643997,0.0019492982407624821,0.07015288437860175
D058,58,F023,C018,42,0.0001108711835234862,0.00011046272187224048,9.09111380932376e-06,0.027210884353741496,11527,0.03042886029702918,0.030343542381651302,0.002059333737170205,0.06767699207489743
D059,59,F028,C021,13,3.431727109060288e-05,3.498708760745676e-05,1.3104672202180768e-05,0.029827315541601257,7545,0.01991721618296913,0.019993011149259048,0.0012269797834264038,0.06160397980093087
D060,60,F017,C011,1611,0.004252701825150864,0.0042306200470017255,0.0005159308099166893,0.02650780982784175,7283,0.019225591180989286,0.019133840711401312,0.0015275488634437125,0.07945393455334618
D061,61,F039,C017,9130,0.02410128346593879,0.024121407138214864,0.0015994164878702724,0.030192569908576793,9491,0.025054247686223993,0.02507256430164838,0.0016625296350236871,0.06635719642613035
D062,62,F014,C013,1,2.639790083892529e-06,2.6286044738848146e-06,2.1683989974831488e-06,0.02040816326530612,13171,0.0347686751949485,0.034603898340978004,0.0032098972453172875,0.09232152871282395
D063,63,F040,C013,70,0.00018478530587247703,0.00018551679072160922,2.948214537571809e-05,0.025510204081632654,6105,0.01611591846216389,0.016139297138287337,0.000984669187828985,0.061099166649467726
D064,64,F003,C003,45,0.00011879055377516379,0.0001185759418119434,3.376507010366617e-05,0.023922902494331065,5788,0.015279105005569957,0.015326270153587545,0.001381735370733819,0.09043300443514925
D065,65,F041,C011,0,0.0,0.0,6.060742539549173e-07,0.0,4564,0.012048001942885501,0.012088766291758268,0.0005418118117070981,0.04497109265715589
D066,66,F020,C013,100,0.0002639790083892529,0.00026587238830053724,5.9880136290745836e-05,0.02596938775510204,8147,0.021506369813472433,0.02149429185019892,0.0012648789031329524,0.05881415199791564
D067,67,F036,C024,23877,0.06303026783310191,0.06296232309973852,0.003701308937219435,0.04783486456525065,10593,0.027963296358673558,0.027931787033043744,0.0022814768756634716,0.08158826650477531
D068,68,F000,C000,431,0.0011377495261576799,0.001129726104061888,0.00019752633352228483,0.023947630096121976,8318,0.021957773917818054,0.02186224171677526,0.0023382227048061115,0.10648723834927164
D069,69,F042,C025,767,0.0020247189943455694,0.002042394037513947,0.00020329077309323384,0.027199797780911583,8416,0.022216473346039524,0.022419284963013188,0.0014672488669940933,0.06604328437463979
D070,70,F043,C015,0,0.0,0.0,1.2121485079098346e-07,0.0,7423,0.019595161792734243,0.019577938523092767,0.001471259014542116,0.07508276941544056
D071,71,F044,C026,2,5.279580167785058e-06,5.2531546707738045e-06,1.198680191155281e-06,0.02040816326530612,10896,0.028763152754092993,0.028762646934433575,0.001993862333476359,0.06932002032331565
D072,72,F018,C013,16,4.2236641342280465e-05,4.221239810277465e-05,2.564367510067028e-05,0.021683673469387755,3972,0.010485246213221125,0.010463342902322344,0.0007466605427575729,0.07121058748397237
D073,73,F045,C027,1751,0.004622272436895818,0.0046379700111160655,0.00025883411138901335,0.04559785079080176,13483,0.035592289701122964,0.03562680075536746,0.003479388376962442,0.09775680087400121
D074,74,F037,C003,1098,0.002898489512113997,0.0029112640445759013,0.0002821612360079004,0.02593769748336493,6980,0.01842573478556985,0.018523630016736556,0.0010039861204984065,0.0544882541826598
D075,75,F046,C021,115,0.0003035758596476408,0.00030180519007719567,6.406878280141204e-05,0.02422360248447205,9879,0.026078486238774293,0.02595847065430195,0.0023587789081440987,0.09044922648297714
D076,76,F043,C015,1,2.639790083892529e-06,2.6180751911194887e-06,7.003524712367934e-07,0.02040816326530612,5841,0.015419013880016262,0.01534836141452048,0.0014689877751496848,0.09527118832505621
D077,77,F001,C001,1149,0.0030331188063925157,0.0030213636365717216,0.0002532043549856099,0.029604269906395978,9425,0.024880021540687084,0.024817397725676146,0.001999750026902111,0.08037573535183064
D078,78,F036,C024,2053,0.005419489042231362,0.005393370644316009,0.0003337583574945957,0.02913357257174667,10172,0.026851944733354803,0.02673438285565796,0.0026612388400297227,0.09910786225937668
D079,79,F047,C008,5,1.3198950419462645e-05,1.3089331884190045e-05,2.0875890969558263e-06,0.022448979591836733,8487,0.022403898441995893,0.022430730550297658,0.0017858763802390558,0.07971275110279234
D080,80,F034,C018,2593,0.006844975687533328,0.006836536041426282,0.00053944649097014,0.028835483287028656,4784,0.012628755761341858,0.012611990638777475,0.0010417766602921193,0.08249242284668479
D081,81,F002,C002,294,0.0007760982846644035,0.0007757897843978958,7.213630453738972e-05,0.028286824934055255,9000,0.02375811075503276,0.023703835821982457,0.001965764868581607,0.0827407906651497
D082,82,F030,C012,9719,0.025656119825351487,0.0257508044794043,0.0015709309979343913,0.03366328525442485,12445,0.03285218759404252,0.032956898292839334,0.002261797509453906,0.06884769858869505
D083,83,F036,C024,489,0.0012908573510234467,0.0012953618957076557,0.00012035287851869203,0.02874462668502984,10931,0.028855545407029233,0.028915329275143776,0.001895650338340875,0.06569448997069012
D084,84,F048,C028,1681,0.004437487131023341,0.004437599601539757,0.000514610914874743,0.02554662555087472,11093,0.029283191400619822,0.029279091009011327,0.0021082183618563507,0.07199414616440089
D085,85,F028,C021,187,0.0004936407456879029,0.0004978616275861436,6.642573823345894e-05,0.02455527665611699,10814,0.028546689967213806,0.028624153094325862,0.002353079154708194,0.08242914178178737
D086,86,F041,C011,17,4.4876431426172994e-05,4.454394598577224e-05,4.032414036313383e-05,0.0234093637454982,6168,0.016282225237449117,0.016329630476902616,0.001352809214305111,0.08308503257857222
D087,87,F049,C029,0,0.0,0.0,4.444544529002727e-07,0.0,11138,0.029401981954394987,0.029402536838309942,0.0025506326370902015,0.08675036400765272
D088,88,F050,C030,174,0.0004593234745973,0.00045847014227013707,4.4660938358100135e-05,0.027826647900539528,14105,0.03723423913330412,0.03721672219273753,0.002828726833023471,0.07597111956272849
D089,89,F007,C007,117460,0.31006974325401643,0.3099272269327887,0.015716421250590317,0.042988103635801335,8057,0.021268788705922106,0.021213985410386216,0.0012737122303622275,0.05988644901096665
D090,90,F051,C020,23891,0.06306722489427641,0.06326886714635552,0.0035859662725334367,0.041617798180341156,7890,0.020827943761912052,0.020916198830119144,0.0008333012130375026,0.040008808481678156
D091,91,F027,C020,7,1.8478530587247703e-05,1.8352320700157612e-05,1.4007049424735868e-06,0.029154518950437316,9066,0.023932336900569666,0.023876944790525188,0.0027768208467569325,0.11602798582911623
D092,92,F050,C030,6575,0.01735661980159338,0.017642455140289816,0.001116469585685485,0.027405136959726857,6171,0.016290144607700795,0.016524077685335134,0.0008310773631634812,0.05101718758043488
D093,93,F000,C000,5219,0.013777064447835108,0.013807389057184477,0.0008746728949909822,0.03088694761292139,9620,0.025394780607046127,0.02543814571106778,0.001401453005264261,0.05518665535844042
D094,94,F032,C012,1,2.639790083892529e-06,2.617047447070215e-06,2.195335630992256e-06,0.030612244897959183,8881,0.023443975735049548,0.023353824835071764,0.0019350986355036143,0.0825414024213724
D095,95,F038,C000,4,1.0559160335570116e-05,1.0474910493448e-05,4.6735059138301405e-06,0.02295918367346939,7452,0.019671715705167125,0.019752832808336934,0.0014114769048190418,0.07175159126808102
D096,96,F029,C022,737,0.0019455252918287938,0.0019514919565155834,0.00012875710817353354,0.031636806690111596,10177,0.026865143683774267,0.02701845922257479,0.0017175557570619359,0.0639324984552116
D097,97,F049,C029,1,2.639790083892529e-06,2.6373394519608617e-06,4.740847497602909e-06,0.025510204081632654,9637,0.0254396570384723,0.025396937017993185,0.001527236805668682,0.060033702630465785
D098,98,F052,C026,26835,0.07083876690125601,0.07090706138858832,0.003566760452841443,0.03653182905358902,6470,0.017079441842784662,0.017137898942482504,0.0013245675847726466,0.07755332972618306
D099,99,F053,C030,0,0.0,0.0,6.73415837727686e-08,0.0,12566,0.03317160219419352,0.03341918667588905,0.002894853902639495,0.08726904072020439
D100,100,F005,C005,256,0.0006757862614764874,0.0006736516717932231,5.598779274867981e-05,0.029296875,12588,0.03322967757603915,0.03315330271049708,0.0021598263845322937,0.06499691065584322
D101,101,F024,C018,47718,0.1259655032231837,0.12607110958316542,0.006545453791228807,0.03298930536630596,9507,0.02509648432756627,0.025081227694327024,0.002089039796179477,0.08324033633208343
D102,102,F051,C020,355,0.0009371254797818477,0.0009370114577290787,9.54499608395222e-05,0.02535211267605634,7947,0.02097841179669393,0.02097710064911945,0.0013768677968674617,0.06563260413662239
D103,103,F027,C020,4431,0.011696909861727795,0.011663208427071473,0.0006748569476204231,0.03493821360636333,7199,0.019003848813942317,0.01895467119751156,0.001232259713644697,0.06484263928371398
D104,104,F046,C021,6591,0.017398856442935658,0.017434854182286835,0.0012007677802522369,0.02800587690697581,9842,0.025980814005670268,0.026009332129667464,0.0017483477739594108,0.06729380278762001
D105,105,F054,C023,253721,0.6697701798752963,0.6698693651539508,0.0565121681932016,0.08240674374045281,3272,0.008637393154496355,0.00863014049789342,0.0005988406608159952,0.06933118014944795
D106,106,F027,C020,112984,0.2982540428385135,0.2970970797961311,0.017129988435564503,0.05312066942474788,2608,0.0068845725387917155,0.006853553243573973,0.000373681587525823,0.054278110285029615
D107,107,F046,C021,24,6.33549620134207e-05,6.289650228672366e-05,1.1488474191634322e-05,0.02423469387755102,8746,0.023087604073724056,0.02304139879533805,0.001478134426790848,0.0640228592828785
D108,108,F046,C021,89,0.00023494131746643507,0.0002339952659713043,5.4802580874279085e-05,0.023446457234579225,4449,0.011744426083237862,0.011736775382189653,0.0008947181539847843,0.07618236494857451
D109,109,F023,C018,652,0.0017211431346979289,0.001737692338693481,0.0002765449479212515,0.024031238262176038,4297,0.011343177990486196,0.01146125249783922,0.0006780152797288464,0.05977295607082201
D110,110,F034,C018,527,0.0013911693742113627,0.0013859671168083964,0.00011740331714944477,0.027940208341401075,5884,0.01553252485362364,0.0154798534779955,0.0011549949946443984,0.07435977122386161
D111,111,F050,C030,2,5.279580167785058e-06,5.220592380126793e-06,4.5792276965482645e-07,0.02295918367346939,6827,0.018021846902734295,0.017940691931750637,0.0015392514631550312,0.08541030625010437
D112,112,F007,C007,4721,0.012462448986056628,0.012552636611370047,0.0008082471567575232,0.03265695178728132,7109,0.018766267706391986,0.01891848055271939,0.0013772358431541959,0.0733889052795029
D113,113,F043,C015,62069,0.16384913071712537,0.16320303177363427,0.007841321356084948,0.03354224610464786,4909,0.012958729521828425,0.012898925813368163,0.0007464787442040676,0.05760431552697015
D114,114,F012,C011,24397,0.06440295867672603,0.064359558218257,0.0037801120585503286,0.0332978377234404,9669,0.02552413032115686,0.025478634898966325,0.0020817985811102057,0.0815619789946226
D115,115,F006,C006,11304,0.029840187108321148,0.029887022356666966,0.0015698400642772724,0.039932135274491964,20207,0.05334223822521633,0.05337455802742023,0.005452747776319154,0.10222195314146926
D116,116,F023,C018,104,0.000274538168724823,0.0002734643027512547,3.829042453319622e-05,0.02717817896389325,7257,0.019156956638808082,0.019149406099995988,0.0009323755609241406,0.048670338326879024
D117,117,F040,C013,428,0.0011298301559060024,0.0011211632754226937,0.00015503379416166786,0.025426759488842265,6480,0.017105839743623587,0.016994147015161647,0.0018707780972598246,0.10936487920490312
D118,118,F041,C011,14,3.6957061174495406e-05,3.701089125114171e-05,1.1205639539788695e-05,0.02259475218658892,11091,0.029277911820452036,0.029254917098126866,0.0020186372628369143,0.06894744663541197
D119,119,F042,C025,77947,0.20576371766917095,0.20601249549381967,0.011537404586403616,0.04786566120412012,5571,0.014706270557365278,0.014746122018210638,0.0008259604284927621,0.05616382653038435
D120,120,F049,C029,246,0.0006493883606375621,0.0006484696436162115,5.206851257310468e-05,0.03137962502074,16303,0.0430364977376999,0.04313762741189155,0.0038306821183670082,0.0890100802745233
D121,121,F010,C004,0,0.0,0.0,1.8990326623920742e-06,0.0,10334,0.027279590726945392,0.027138464615844186,0.0029524801158320466,0.10823036699431626
D122,122,F007,C007,2165,0.005715145531627325,0.005720037514010463,0.00040984087884106965,0.029928830654663712,9009,0.023781868865787793,0.023791921212707453,0.0010968075223305117,0.046119484070840246
D123,123,F024,C018,82,0.00021646278687918735,0.0002156477086297402,3.7361110677132014e-05,0.027563464410154306,7332,0.019354940895100023,0.01931119180223636,0.0013264203239920583,0.06853135492280735
D124,124,F053,C030,43460,0.1147252770459693,0.11419606937542934,0.0067959510145467516,0.04625365102322567,20143,0.05317329165984721,0.0528718233426555,0.005043887216076889,0.09485753201706872
D125,125,F055,C014,56,0.00014782824469798163,0.00014826280074895442,0.00010175313308065335,0.02396137026239067,7189,0.01897745091310339,0.01902605513361861,0.0013545295910448352,0.0713757394102688
D126,126,F015,C014,592,0.0015627557296643772,0.001554957350801413,0.00011927541317832773,0.030181329288472145,9365,0.024721634135653533,0.02462802411962108,0.0022562431589510283,0.09126593924052437
D127,127,F003,C003,674,0.0017792185165435644,0.0017708914484400313,0.00027030911726389314,0.024692666384061042,7749,0.020455733360083207,0.02038910435075408,0.0013291343029916071,0.06497612574405402
D128,128,F000,C000,10323,0.027250553036022574,0.02729200787160205,0.001871638106113312,0.027116484489756378,7849,0.02071971236847246,0.020765042182289084,0.0016162559026682663,0.0780057113692174
D129,129,F038,C000,0,0.0,0.0,3.353610871883876e-06,0.0,8928,0.0235680458689925,0.023501357212594953,0.0017873564007605642,0.07583812466658998
D130,130,F036,C024,3598,0.009497964721845319,0.009527049416083984,0.0007755595519942214,0.027747841771505712,8711,0.02299521142078782,0.023126382415764143,0.001156498390404208,0.05029300967238449
D131,131,F028,C021,55251,0.1458510419251461,0.1458354414392961,0.007328730688723388,0.03361071311295871,8898,0.023488852166475723,0.023449391553137064,0.0023355865159863064,0.0994338292664532
D132,132,F030,C012,14578,0.03848285984298529,0.038514850589691556,0.002321910871851552,0.03695497268738748,11171,0.02948909502716344,0.029491555701701134,0.001694752601008077,0.05747048525724444
D133,133,F043,C015,298,0.0007866574449999736,0.0007941904771552904,6.704528080416842e-05,0.027307903026982605,11837,0.031247195223035863,0.0313247962033796,0.002942595174410283,0.09417149774265056
D134,134,F039,C017,0,0.0,0.0,1.3198950419462645e-06,0.0,6304,0.0166412366888585,0.01659383242677041,0.001293334445889648,0.07771864976570823
D135,135,F002,C002,463,0.0012222228088422408,0.001223105782823831,7.224405107142615e-05,0.038788733636003,8881,0.023443975735049548,0.023401850071693667,0.0017339702387234057,0.07396229454934389
D136,136,F047,C008,1576,0.004160309172214625,0.004142919854048805,0.00026411369155679844,0.030929503781207915,3079,0.008127913668305096,0.008094689355278788,0.000607116262609189,0.0746952154495251
D137,137,F006,C006,39,0.00010295181327180863,0.00010295867235673947,9.818402914069662e-06,0.031004709576138146,9239,0.024389020585083073,0.024363995874546872,0.0022035092737696755,0.09034841174054345
D138,138,F022,C005,65001,0.17158899524309826,0.17215672814074204,0.009664123345646248,0.04656309840131188,3562,0.009402932278825188,0.009440520281009012,0.0005004013484546357,0.05321758506987317
D139,139,F051,C020,2790,0.007365014334060156,0.007373480052978928,0.00042099264511384014,0.03172225879599151,6160,0.016261106916777977,0.01627178252116762,0.0015102548650012485,0.09287528043020178
D140,140,F016,C015,6529,0.01723518945773432,0.017274980745168523,0.001076697646309288,0.03825475664304625,9962,0.026297588815737374,0.026308943915971342,0.0022243148332212136,0.08458246300855188
D141,141,F004,C004,62720,0.1655676340617394,0.16557535072999155,0.008614820255615722,0.041193936120366516,15204,0.04013536843550201,0.04004242670991767,0.004299487230885477,0.10712464837079548
D142,142,F019,C016,9782,0.025822426600636716,0.025830972362873603,0.0015442771990771293,0.02946060861474011,8597,0.02269427535122407,0.022712555275279663,0.0017510268738224629,0.07715720580291703
D143,143,F051,C020,24652,0.06507610514811862,0.06491084766773542,0.00355146044500827,0.03734039048038492,13502,0.03564244571271692,0.035524070642881635,0.002987970414947973,0.08383180096650579
D144,144,F046,C021,15243,0.040238320248773815,0.04034821032311461,0.002530535098379589,0.049817112438362475,11679,0.030830108389780845,0.030896279673992208,0.002219204770804304,0.07198173755172059
D145,145,F005,C005,13,3.431727109060288e-05,3.399846221136092e-05,1.307773556867166e-05,0.02197802197802198,9027,0.023829385087297858,0.023955478160531167,0.0016427195781117808,0.06893671708664546
D146,146,F056,C021,334,0.0008816898880201047,0.000879751047816397,8.65743400982713e-05,0.028993034339484296,11400,0.03009360695637483,0.0300315394798068,0.0029042527531237448,0.09650729995024832
D147,147,F011,C010,1483,0.00391480869441262,0.003918178606716844,0.00037297809588385613,0.027075563873560214,5747,0.015170873612130363,0.015142536278881078,0.0012120311949319782,0.07989198420075555
D148,148,F035,C010,23849,0.06295635371075292,0.06288622097691714,0.003597697176426653,0.033972459376639244,8040,0.02122391227449593,0.021198799090443286,0.0017053279667075185,0.08034936936470258
D149,149,F002,C002,3404,0.008985845445570169,0.008929329072454199,0.0006120272499604301,0.029123899853713518,8970,0.023678917052515985,0.023517055953760534,0.002225814725383152,0.09399985313714547
D150,150,F044,C026,989,0.002610752392969711,0.0026012503217811857,0.00024892143025766184,0.028626111718701636,8263,0.021812585463203967,0.021725836761793543,0.001736642212212658,0.07961652299963387
