dimension_id,available_top1_count,available_top3_count,umap_fit_top1_count,umap_fit_top3_count,high_response_candidate_pool,selected_high_response_representatives,representative_city_count,target_count,quota_satisfied
D207,744,2260,106,359,2000,353,30,100,True
D208,485,1578,52,228,2000,330,29,100,True
D209,528,1765,76,260,2000,350,29,100,True
D210,1499,3853,197,585,2000,348,29,100,True
D211,1181,3218,164,541,2000,380,30,100,True
D212,154,545,17,88,2000,369,30,100,True
D213,1206,3260,149,478,2000,322,29,100,True
D214,1220,3179,244,561,2000,426,23,100,True
D215,298,1344,43,213,2000,352,28,100,True
D216,1323,3763,198,623,2000,368,29,100,True
D217,192,864,23,124,2000,337,28,100,True
D218,158,784,22,133,2000,401,29,100,True
D219,750,2493,107,374,2000,389,27,100,True
D220,580,1878,78,287,2000,378,30,100,True
D221,1301,3470,162,544,2000,381,29,100,True
D222,314,1312,55,210,2000,333,28,100,True
D223,859,2562,141,407,2000,336,26,100,True
D224,846,2643,104,377,2000,324,30,100,True
D225,733,2249,154,391,2000,373,28,100,True
D226,657,2110,98,313,2000,355,30,100,True
D227,941,2720,131,399,2000,349,26,100,True
D228,185,853,16,123,2000,371,28,100,True
D229,565,1930,83,282,2000,327,28,100,True
D230,820,2426,164,399,2000,362,26,100,True
D231,405,1524,56,236,2000,340,27,100,True
D232,640,2039,96,308,2000,314,26,100,True
D233,919,2793,120,428,2000,345,29,100,True
D234,1032,2908,138,435,2000,332,29,100,True
D235,1558,3899,222,609,2000,384,29,100,True
D236,223,1109,68,227,2000,359,25,100,True
D237,953,2737,167,435,2000,339,26,100,True
D238,832,2412,107,344,2000,336,27,100,True
D239,439,1591,72,257,2000,339,29,100,True
D240,942,2711,110,436,2000,373,29,100,True
D241,348,1286,40,171,2000,325,27,100,True
D242,676,1966,95,284,2000,347,29,100,True
D243,475,1640,99,275,2000,365,29,100,True
D244,861,2498,108,395,2000,352,29,100,True
D245,342,1329,58,204,2000,343,28,100,True
D246,658,1964,116,321,2000,350,30,100,True
D247,303,1102,47,164,2000,326,26,100,True
D248,280,1136,50,204,2000,354,28,100,True
D249,460,1443,74,215,2000,362,29,100,True
D250,532,1993,72,298,2000,339,29,100,True
D251,714,2206,106,308,2000,313,29,100,True
D252,773,2303,102,349,2000,343,30,100,True
D253,806,2380,111,374,2000,376,27,100,True
D254,740,2226,93,338,2000,345,30,100,True
D255,1313,3560,227,549,2000,379,26,100,True
D256,653,1990,83,272,2000,319,27,100,True
D257,1273,3512,180,535,2000,345,30,100,True
D258,1281,3289,175,506,2000,342,28,100,True
D259,746,2408,103,364,2000,359,27,100,True
D260,1303,3605,182,528,2000,350,30,100,True
D261,689,2097,100,310,2000,331,28,100,True
D262,1169,3033,139,451,2000,360,30,100,True
D263,1436,3866,173,575,2000,325,28,100,True
D264,1074,2727,164,501,2000,420,28,100,True
D265,1820,4934,219,765,2000,333,29,100,True
D266,320,1321,61,214,2000,325,30,100,True
D267,460,1652,81,280,2000,345,30,100,True
D268,747,2361,89,317,2000,314,28,100,True
D269,843,2574,132,386,2000,324,27,100,True
D270,94,507,26,76,2000,348,30,100,True
D271,474,1659,67,262,2000,375,29,100,True
D272,419,1565,71,252,2000,347,30,100,True
D273,401,1391,45,190,2000,362,30,100,True
D274,1064,3148,123,436,2000,354,30,100,True
D275,870,2613,97,400,2000,348,28,100,True
D276,610,2060,107,330,2000,322,28,100,True
D277,577,1889,99,306,2000,350,29,100,True
D278,593,2019,67,295,2000,334,26,100,True
D279,480,1642,59,238,2000,331,29,100,True
D280,810,2293,107,373,2000,362,30,100,True
D281,746,2260,87,339,2000,347,29,100,True
D282,116,612,16,95,2000,342,29,100,True
D283,391,1356,53,200,2000,342,30,100,True
D284,373,1506,60,218,2000,342,23,100,True
D285,1049,2661,188,491,2000,442,28,100,True
D286,720,2237,125,341,2000,344,30,100,True
D287,721,2314,140,373,2000,364,29,100,True
D288,932,2834,152,418,2000,341,29,100,True
D289,263,1101,68,200,2000,339,25,100,True
D290,569,1996,129,342,2000,369,24,100,True
D291,830,2368,145,385,2000,372,30,100,True
D292,350,1423,47,216,2000,390,26,100,True
D293,591,1907,97,310,2000,351,29,100,True
D294,1547,3847,224,574,2000,336,30,100,True
D295,261,1006,60,180,2000,371,29,100,True
D296,155,745,44,161,2000,381,28,100,True
D297,1186,3235,175,517,2000,355,27,100,True
D298,304,1421,55,226,2000,360,29,100,True
D299,706,2296,134,365,2000,380,28,100,True
D300,681,2201,116,345,2000,383,30,100,True
D301,1825,3938,269,664,2000,409,22,100,True
D302,1237,3213,193,496,2000,368,30,100,True
D303,747,2217,98,336,2000,391,26,100,True
D304,611,1986,133,337,2000,398,30,100,True
D305,1734,4019,281,656,2000,380,29,100,True
D306,1248,3417,235,573,2000,398,25,100,True
D307,2403,4894,366,742,2000,378,26,100,True
D308,796,2638,161,442,2000,422,23,100,True
D309,816,2561,136,418,2000,375,30,100,True
D310,633,1972,109,324,2000,383,30,100,True
D311,819,2491,127,393,2000,394,29,100,True
D312,702,2271,125,367,2000,392,30,100,True
D313,690,2218,110,334,2000,335,27,100,True
D314,1062,2971,161,456,2000,340,24,100,True
D315,911,2688,161,420,2000,365,30,100,True
