city,grid_id,longitude,latitude,number_of_panoramas,environment_id,assignment_confidence,low_confidence
Vienna,Vienna_1812_6124,16.28196452466633,48.10595435281572,18,E07,0.23886591793434528,False
Vienna,Vienna_1812_6125,16.28196452466633,48.11195254980719,16,E07,0.18122978078023655,False
Vienna,Vienna_1812_6126,16.28196452466633,48.11795004673496,27,E07,0.2827375035817147,False
Vienna,Vienna_1812_6127,16.28196452466633,48.123946843615045,24,E07,0.27083034418284824,False
Vienna,Vienna_1812_6128,16.28196452466633,48.12994294046344,26,E07,0.42714786139286653,False
Vienna,Vienna_1812_6129,16.28196452466633,48.1359383372962,11,E02,0.17327311810350093,False
Vienna,Vienna_1812_6130,16.28196452466633,48.14193303412941,17,E07,0.2778618242132649,False
Vienna,Vienna_1812_6131,16.28196452466633,48.14792703097919,17,E07,0.25076472880390543,False
Vienna,Vienna_1812_6132,16.28196452466633,48.15392032786171,22,E07,0.4084974255327674,False
Vienna,Vienna_1812_6133,16.28196452466633,48.15991292479313,20,E07,0.35572621736471527,False
Vienna,Vienna_1812_6134,16.28196452466633,48.1659048217896,22,E07,0.24628472334492674,False
Vienna,Vienna_1812_6135,16.28196452466633,48.1718960188674,25,E07,0.18294026659665358,False
Vienna,Vienna_1812_6136,16.28196452466633,48.1778865160428,21,E02,0.015355288872281896,True
Vienna,Vienna_1812_6137,16.28196452466633,48.18387631333203,20,E02,0.03411996303354661,True
Vienna,Vienna_1812_6138,16.28196452466633,48.189865410751445,23,E07,0.005546502521961943,True
Vienna,Vienna_1812_6139,16.28196452466633,48.19585380831738,22,E02,0.13500698816312467,False
Vienna,Vienna_1812_6140,16.28196452466633,48.20184150604623,11,E07,0.25224521487255885,False
Vienna,Vienna_1812_6144,16.28196452466633,48.22578529891892,12,E07,0.05111488512042494,True
Vienna,Vienna_1813_6119,16.29094767750752,48.075952866344736,18,E07,0.2932234214003505,False
Vienna,Vienna_1813_6120,16.29094767750752,48.08195456389373,19,E07,0.2683353925525507,False
Vienna,Vienna_1813_6121,16.29094767750752,48.087955561299474,26,E02,0.08563059047177268,True
Vienna,Vienna_1813_6122,16.29094767750752,48.09395585857776,15,E07,0.2446473349134249,False
Vienna,Vienna_1813_6123,16.29094767750752,48.09995545574454,18,E07,0.05536905023061661,True
Vienna,Vienna_1813_6124,16.29094767750752,48.10595435281572,19,E07,0.28988255674394414,False
Vienna,Vienna_1813_6125,16.29094767750752,48.11195254980719,12,E07,0.15431100814203277,False
Vienna,Vienna_1813_6126,16.29094767750752,48.11795004673496,11,E07,0.09080890188887211,True
Vienna,Vienna_1813_6127,16.29094767750752,48.123946843615045,30,E07,0.17739262923043125,False
Vienna,Vienna_1813_6128,16.29094767750752,48.12994294046344,23,E07,0.281179925811143,False
Vienna,Vienna_1813_6129,16.29094767750752,48.1359383372962,14,E07,0.1977176436863471,False
Vienna,Vienna_1813_6130,16.29094767750752,48.14193303412941,12,E02,0.026323214424382624,True
Vienna,Vienna_1813_6132,16.29094767750752,48.15392032786171,10,E07,0.2530571346986598,False
Vienna,Vienna_1813_6133,16.29094767750752,48.15991292479313,12,E07,0.14995705146795493,False
Vienna,Vienna_1813_6134,16.29094767750752,48.1659048217896,21,E07,0.234439871172825,False
Vienna,Vienna_1813_6135,16.29094767750752,48.1718960188674,19,E07,0.2688875478757462,False
Vienna,Vienna_1813_6136,16.29094767750752,48.1778865160428,12,E07,0.27942913442975104,False
