element_id,held_out_r2,median_r2,p90_r2,maximum_r2,strong_r2_threshold,n_strongly_nuisance_sensitive,n_images,validation_images,predictors,city_centered
F012,0.003605679255404892,0.0009529434292981365,0.0028229838679682986,0.007771866885550427,0.2,0,378818,75754,heading_sincos;month_sincos;year;year_available;artifact_probability,True
F013,0.0013907840233049473,0.0009529434292981365,0.0028229838679682986,0.007771866885550427,0.2,0,378818,75754,heading_sincos;month_sincos;year;year_available;artifact_probability,True
F014,0.0004612454833430313,0.0009529434292981365,0.0028229838679682986,0.007771866885550427,0.2,0,378818,75754,heading_sincos;month_sincos;year;year_available;artifact_probability,True
F015,0.0013795331383413822,0.0009529434292981365,0.0028229838679682986,0.007771866885550427,0.2,0,378818,75754,heading_sincos;month_sincos;year;year_available;artifact_probability,True
F016,0.002630238957930575,0.0009529434292981365,0.0028229838679682986,0.007771866885550427,0.2,0,378818,75754,heading_sincos;month_sincos;year;year_available;artifact_probability,True
F017,0.0004547824378430265,0.0009529434292981365,0.0028229838679682986,0.007771866885550427,0.2,0,378818,75754,heading_sincos;month_sincos;year;year_available;artifact_probability,True
F018,0.0006775677085906207,0.0009529434292981365,0.0028229838679682986,0.007771866885550427,0.2,0,378818,75754,heading_sincos;month_sincos;year;year_available;artifact_probability,True
F019,0.001762510495993741,0.0009529434292981365,0.0028229838679682986,0.007771866885550427,0.2,0,378818,75754,heading_sincos;month_sincos;year;year_available;artifact_probability,True
F020,0.0004415518659136586,0.0009529434292981365,0.0028229838679682986,0.007771866885550427,0.2,0,378818,75754,heading_sincos;month_sincos;year;year_available;artifact_probability,True
F021,0.0001508041301621077,0.0009529434292981365,0.0028229838679682986,0.007771866885550427,0.2,0,378818,75754,heading_sincos;month_sincos;year;year_available;artifact_probability,True
F022,0.0024118264770220943,0.0009529434292981365,0.0028229838679682986,0.007771866885550427,0.2,0,378818,75754,heading_sincos;month_sincos;year;year_available;artifact_probability,True
F023,0.0008891676647254654,0.0009529434292981365,0.0028229838679682986,0.007771866885550427,0.2,0,378818,75754,heading_sincos;month_sincos;year;year_available;artifact_probability,True
F024,0.0028424464165982544,0.0009529434292981365,0.0028229838679682986,0.007771866885550427,0.2,0,378818,75754,heading_sincos;month_sincos;year;year_available;artifact_probability,True
F025,0.0006611004364543982,0.0009529434292981365,0.0028229838679682986,0.007771866885550427,0.2,0,378818,75754,heading_sincos;month_sincos;year;year_available;artifact_probability,True
F026,5.53706169030832e-05,0.0009529434292981365,0.0028229838679682986,0.007771866885550427,0.2,0,378818,75754,heading_sincos;month_sincos;year;year_available;artifact_probability,True
F027,9.70177143504447e-05,0.0009529434292981365,0.0028229838679682986,0.007771866885550427,0.2,0,378818,75754,heading_sincos;month_sincos;year;year_available;artifact_probability,True
F028,0.0013553574486449005,0.0009529434292981365,0.0028229838679682986,0.007771866885550427,0.2,0,378818,75754,heading_sincos;month_sincos;year;year_available;artifact_probability,True
F029,0.001844054365800596,0.0009529434292981365,0.0028229838679682986,0.007771866885550427,0.2,0,378818,75754,heading_sincos;month_sincos;year;year_available;artifact_probability,True
F030,0.00023579814505125807,0.0009529434292981365,0.0028229838679682986,0.007771866885550427,0.2,0,378818,75754,heading_sincos;month_sincos;year;year_available;artifact_probability,True
F031,0.0017113129517526415,0.0009529434292981365,0.0028229838679682986,0.007771866885550427,0.2,0,378818,75754,heading_sincos;month_sincos;year;year_available;artifact_probability,True
F032,0.00011439239276145319,0.0009529434292981365,0.0028229838679682986,0.007771866885550427,0.2,0,378818,75754,heading_sincos;month_sincos;year;year_available;artifact_probability,True
F033,0.002518099581913069,0.0009529434292981365,0.0028229838679682986,0.007771866885550427,0.2,0,378818,75754,heading_sincos;month_sincos;year;year_available;artifact_probability,True
F034,0.00031535818176731123,0.0009529434292981365,0.0028229838679682986,0.007771866885550427,0.2,0,378818,75754,heading_sincos;month_sincos;year;year_available;artifact_probability,True
F035,0.0043168526229075965,0.0009529434292981365,0.0028229838679682986,0.007771866885550427,0.2,0,378818,75754,heading_sincos;month_sincos;year;year_available;artifact_probability,True
F036,0.002622104794843705,0.0009529434292981365,0.0028229838679682986,0.007771866885550427,0.2,0,378818,75754,heading_sincos;month_sincos;year;year_available;artifact_probability,True
F037,0.0005605719908312601,0.0009529434292981365,0.0028229838679682986,0.007771866885550427,0.2,0,378818,75754,heading_sincos;month_sincos;year;year_available;artifact_probability,True
