city_key,city,element_a,element_b,name_a,name_b,parent_a,parent_b,same_coarse_family,visual_distance,pair_stability,city_images,rest_images,city_n11,city_n10,city_n01,city_n00,rest_n11,rest_n10,rest_n01,rest_n00,city_expected,city_pearson_residual,global_pearson_residual,delta_residual_vs_global,requested_city_score,city_log_odds,rest_log_odds,delta_log_odds,delta_log_odds_se,z_city_vs_rest,p_value_upper,city_atypicality_index,q_value_within_city,q_value_global_bh,passes_city_support,significant_city_specific
Turkey/Istanbul,Istanbul,F019,F042,road_and_building,Red-yellow glow street,C016,C025,False,0.8838709677419355,0.651456625723109,12704,366114,297,839,2217,9351,1644,10587,62352,291531,224.80352644836273,4.815201050711501,-8.378168050800804,13.193369101512305,11.66123591553023,0.4017640715074091,-0.31989337918249755,0.7216574506899067,0.07637034338256765,9.449446195034822,1.7031404525820964e-21,0.6378520693194659,3.1213919567322784e-19,3.9617667143140456e-19,True,True
Turkey/Istanbul,Istanbul,F033,F045,zebra_crossing,underpass glow,C023,C027,False,0.9583126550868486,0.8437605212579944,12704,366114,384,1136,1992,9192,8444,34430,74687,248553,284.2821158690176,5.914231025939746,-11.914085044976519,17.828316070916266,17.0851009096473,0.44523294816415776,-0.2030820855987287,0.6483150337628865,0.06523969442984613,9.937432102169574,1.4305366370346772e-23,0.6212885013380316,3.6049523253273865e-21,4.024132828272431e-21,True,True
Turkey/Istanbul,Istanbul,F038,F057,red-yellow hotspot,streetlight illumination,C000,C027,False,0.8754342431761787,0.37470226112242994,12704,366114,79,204,2889,9532,880,2952,115421,246861,66.11649874055415,1.5844516121340237,-9.351145499893944,10.935597112027967,9.573396181447809,0.24881258215131585,-0.449680814732302,0.6984933968836178,0.13930795356930661,5.014023815489564,2.665169236001406e-07,0.6114850382643682,9.005035325893153e-06,9.39332374087209e-06,True,True
Turkey/Istanbul,Istanbul,F020,F058,advertising_wall,shaded alley,C013,C031,False,0.8699751861042183,0.7469160132539527,12704,366114,65,118,4859,7662,2328,6383,162670,194733,70.92978589420655,-0.7040843451831945,-25.2758058431363,24.571721497953106,21.376787983082775,-0.13746006863303806,-0.8285869781626762,0.6911269095296382,0.15697031520168783,4.402914708055621,5.340308179711436e-06,0.6012632617396803,0.000131539694323089,0.00014209495763702052,True,True
Turkey/Istanbul,Istanbul,F029,F041,electric_bike_parking,concrete_wall,C022,C011,False,0.9032258064516129,0.4515458951221955,12704,366114,192,4076,590,7846,1163,120393,7022,237536,262.71851385390426,-4.363025849620408,-29.746101963317063,25.383076113696653,22.92664939301633,-0.4660446865337681,-1.118130825065461,0.6520861385316927,0.09096939186023517,7.168192786575444,3.7997119477450785e-13,0.5889810283512064,3.4819178575700354e-11,3.487201496200642e-11,True,True
Turkey/Istanbul,Istanbul,F041,F045,concrete_wall,underpass glow,C011,C027,False,0.8987593052109181,0.6036897361201449,12704,366114,130,652,2246,9676,1027,7158,82104,275825,146.25566750629724,-1.3441522256472767,-19.272054416885776,17.9279021912385,16.112868917286807,-0.14911109630390895,-0.7293962012038282,0.5802851048999192,0.10427184418663982,5.5651178841840245,1.3098762404410405e-08,0.5215366377040961,5.868245557175862e-07,5.938629311984567e-07,True,True
Turkey/Istanbul,Istanbul,F041,F042,concrete_wall,Red-yellow glow street,C011,C025,False,0.9255583126550868,0.689449176276027,12704,366114,234,548,2280,9642,1472,6713,62524,295405,154.75031486146096,6.370621086458632,3.31774140055225,3.0528796859063823,2.8256181708265027,0.5920540021016768,0.035631720828437984,0.5564222812732388,0.08647082693402273,6.434797734706401,6.181893012171962e-11,0.5150012677789529,3.6654989154525514e-09,4.117630940266082e-09,True,True
Turkey/Istanbul,Istanbul,F017,F052,building facade,palm_tree_street,C011,C026,False,0.7076923076923077,0.5141487682461009,12704,366114,127,243,2314,10020,7966,22471,79614,256063,71.0933564231738,6.630540169147856,9.024220126386405,-2.3936799572385494,0.0,0.8184387351979943,0.13122663343594723,0.6872121017620471,0.11255336455688579,6.105655787968222,5.118971867007348e-10,0.4863347181700641,2.715749285233372e-08,2.9883727656042893e-08,True,True
Turkey/Istanbul,Istanbul,F052,F058,palm_tree_street,shaded alley,C026,C031,False,0.9523573200992556,0.7272017717618499,12704,366114,1137,1304,3787,6476,37784,49796,127214,151320,946.118073047859,6.2057194967802705,-7.259013806087711,13.46473330286798,12.823237324170547,0.3994871164010084,-0.10252026892014361,0.5020073853211521,0.04609930303260285,10.88969577188872,6.4535355542331355e-28,0.4780904081544868,3.2525819193335e-25,2.673355002191918e-25,True,True
Turkey/Istanbul,Istanbul,F007,F058,roof_and_eaves,shaded alley,C007,C031,False,0.9682382133995037,0.8247738406699573,12704,366114,1210,1198,3714,6582,53363,61200,111635,139916,933.3274559193954,9.05626334305208,9.188323205763817,-0.13205986271173664,0.0,0.5821332552822777,0.0887783486218052,0.49335490666047244,0.046182230361285485,10.68278649170767,6.126865239276152e-27,0.4776850733968147,2.4703520644761445e-24,2.301570246406346e-24,True,True
