element_a,element_b,name_a,name_b,parent_a,parent_b,same_coarse_family,centroid_distance_raw,visual_distance,visual_similarity,cophenetic_distance_raw,cophenetic_distance_percentile,fused_mean_similarity,fused_distance_percentile,stability_a,stability_b,pair_stability,images,support_a,support_b,observed,expected,pearson_residual,adjusted_residual,log_lift,p_value_upper,q_value_bh,passes_support,significant_positive,unexpected_score,unexpected_score_adjusted,visual_bridge_index,unexpected_score_cophenetic,visual_bridge_index_cophenetic,unexpected_score_fused,visual_bridge_index_fused
F001,F049,shaded_corner,red_wall_yellow_wall,C001,C029,False,0.07021230202709454,0.7861042183622828,0.21389578163771716,0.2774387001991272,0.45186104218362283,0.023809120871803976,0.6094292803970224,0.3675737664103508,1.0,0.6062786211061304,378818,175377,6607,3109,3058.766581841412,0.9082796053808175,1.25036196232689,0.016286733461945525,0.1079009617966645,0.251379561857974,True,False,0.7140024292422903,0.98291481306491,0.012803069877777523,0.4104161690815059,0.007359340355881588,0.5535321863065231,0.009925612253731566
F001,F050,shaded_corner,greenery_and_water,C001,C030,False,0.06565777015892073,0.4511166253101737,0.5488833746898263,0.2774387001991272,0.45186104218362283,0.0360937754313151,0.28982630272952853,0.3675737664103508,0.688131312529246,0.5029304309059784,378818,175377,12574,6671,5821.239745735419,11.137524465887656,15.456608415040208,0.13624557974219023,5.954744921249774e-54,3.7750835727168377e-53,True,True,5.024322451360734,6.9727330269337715,0.061462646146725024,5.032613412501593,0.06156406965521797,3.2279475375078865,0.03948755263992015
F001,F051,shaded_corner,zebra_crossing,C001,C020,False,0.06735443692089937,0.5861042183622829,0.4138957816377171,0.2774387001991272,0.45186104218362283,0.01129547119140625,0.9037220843672457,0.3675737664103508,0.8715151250362396,0.5659912516931321,378818,175377,57068,23761,26420.113711597653,-16.359482752747773,-24.222618159266872,-0.10607790406316928,1.0,1.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F001,F052,shaded_corner,palm_tree_street,C001,C026,False,0.0673642243473889,0.5875930521091811,0.4124069478908189,0.27367761731147766,0.2682382133995037,0.020462883843315974,0.6992555831265509,0.3675737664103508,0.6043684764040841,0.4713279083308503,378818,175377,189687,90091,87817.2024534209,7.67294339978173,14.818062691986556,0.025562717747077413,5.809317725661219e-50,3.5706050411381154e-49,True,True,4.508568230938743,8.706990683529568,0.015020475341210747,2.0581766290729653,0.006856897738111832,5.365348511311393,0.01787487310453205
F001,F053,shaded_corner,road_marking,C001,C030,False,0.06240417966540565,0.24466501240694788,0.7553349875930522,0.2774387001991272,0.45186104218362283,0.0240325927734375,0.5990074441687345,0.3675737664103508,0.5154761910438538,0.435287864564188,378818,175377,199054,93130,92153.7344001605,3.2159665065119443,6.370462273427923,0.010538101129983655,9.611245952731038e-11,3.224005297954372e-10,True,True,0.7868344852160737,1.5586292311662362,0.0025783046437131223,1.4531699772601119,0.0047617573592308275,1.9263878775979737,0.006312401024263162
F001,F054,shaded_corner,highlighted_lane,C001,C023,False,0.07187811425617949,0.8769230769230769,0.12307692307692308,0.2721763849258423,0.21861042183622828,0.021104261610243057,0.6774193548387096,0.3675737664103508,0.8999999761581421,0.5751663941901284,378818,175377,320239,150962,148257.35604696715,7.024282604888516,24.374841027198507,0.018078433242571818,3.9800309899737643e-132,4.457634708770616e-131,True,True,6.159755515056083,21.374860593081767,0.01585339530502452,1.5355813833515588,0.003952133917296718,4.758384990408349,0.012246680583677682
F001,F055,shaded_corner,small alley entrance,C001,C014,False,0.06271420935833413,0.25905707196029776,0.7409429280397022,0.2774387001991272,0.45186104218362283,0.0513665771484375,0.1344913151364764,0.3675737664103508,0.8571428656578064,0.5613049362704743,378818,175377,4450,1964,2060.165171665549,-2.1186869460462523,-2.9082264754524823,-0.04779106953126417,0.9982860986893539,1.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F001,F056,shaded_corner,stone_wall_street,C001,C021,False,0.06470922903046047,0.38362282878411913,0.6163771712158809,0.2803388833999634,0.7880893300248138,0.008992894490559896,0.9344913151364764,0.3675737664103508,0.4911375728746255,0.4248873821227976,378818,175377,48836,22313,22609.03962324916,-1.968832570698446,-2.878554476068259,-0.013180047976726441,0.9980373281722709,1.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F001,F057,shaded_corner,streetlight illumination,C001,C027,False,0.06258976188635205,0.256575682382134,0.743424317617866,0.2803388833999634,0.7880893300248138,0.010072021484375,0.9215880893300248,0.3675737664103508,0.2642857193946838,0.3116801201334038,378818,175377,177371,83933,82115.40599179553,6.342851739529189,11.869022434482732,0.02189308170741243,8.948447190879849e-33,4.443366880988615e-32,True,True,1.6274215133184073,3.0453025303362646,0.00561723237852716,4.998733777852284,0.01725370409497317,5.845496615536329,0.020176403340280338
F001,F058,shaded_corner,shaded alley,C001,C031,False,0.07342863113101329,0.9315136476426799,0.06848635235732015,0.2774387001991272,0.45186104218362283,0.026379776000976563,0.5330024813895782,0.3675737664103508,0.875,0.5671217202762181,378818,175377,269846,132301,124927.49009286781,20.861486961566214,53.07604975934278,0.05734591687728397,0.0,0.0,True,True,19.432759814818752,49.44106471378977,0.05341850420777271,9.426493239953368,0.02591238576514494,11.119224315991124,0.030565515993152846
F001,F059,shaded_corner,road_edge,C001,C024,False,0.06748134352198688,0.6,0.4,0.2721763849258423,0.21861042183622828,0.02859344482421875,0.4669975186104218,0.3675737664103508,0.7857142686843872,0.5374085532094502,378818,175377,12393,6090,5737.444263472169,4.654451891527499,6.457832706451461,0.05962917622688989,5.904446183441081e-11,1.9972086419156409e-10,True,True,2.792671134916499,3.8746996238708764,0.03577750573613393,1.0175116914232571,0.013035559368707194,2.173617483834926,0.027846677334741134
F001,F060,shaded_corner,street_corner_shop,C001,C031,False,0.0697810952726606,0.7543424317617866,0.2456575682382134,0.2774387001991272,0.45186104218362283,0.015108235677083333,0.8372208436724565,0.3675737664103508,0.3880471537510554,0.37767175410545584,378818,175377,99128,40514,45892.14677232866,-25.105187149795984,-39.86904072925438,-0.12464496846604622,1.0,1.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F001,F061,shaded_corner,sunlit street,C001,C014,False,0.05885804184834354,0.11910669975186104,0.8808933002481389,0.2774387001991272,0.45186104218362283,0.04431854248046875,0.17518610421836228,0.3675737664103508,0.8258823394775391,0.550974302607255,378818,175377,39188,20563,18142.416347692033,17.971011879099592,25.898839329619815,0.12523745890535812,1.1196413867646552e-147,1.4107481473234654e-146,True,True,2.140467916121043,3.0847252799547173,0.014916620415526525,8.120400156784207,0.05658992870140375,3.1482715599613678,0.02193986252783693
F001,F062,shaded_corner,shaded alley,C001,C005,False,0.072042794524676,0.8843672456575682,0.11563275434243181,0.2803388833999634,0.7880893300248138,0.021764373779296874,0.6605459057071961,0.3675737664103508,0.5,0.42870372427257425,378818,175377,20658,7666,9563.795981183577,-19.40592600735074,-27.23369837258858,-0.221176808649047,1.0,1.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
