cityname,countryname,lon,lat,metadata_status,success,failed,status
Tehran,Iran,51.34475149853258,35.6804473792779,0,0,1,failed
DarEsSalaam,Tanzania,39.18858975983509,-6.81572170270924,0,0,1,failed
Bandung,Indonesia,107.64293751579207,-6.942242584719834,>0,1,0,collected_other
Johannesburg,SouthAfrica,28.05592469470919,-26.173748456865965,>0,1,0,collected_other
KualaLumpur,Malaysia,101.61215364583268,3.0867657969116467,>0,1,0,collected_other
Riyadh,SaudiArabia,46.733671592530605,24.682712899720304,0,0,1,failed
Nagoya,Japan,136.88133568780552,35.120187393035046,>0,1,0,collected_other
AddisAbaba,Ethiopia,38.75857686988304,8.992193031102518,0,0,1,failed
Khartoum,Sudan,32.513874598398125,15.601341835866856,0,0,1,failed
Alexandria,Egypt,29.966676321093903,31.17827387652551,>0,1,0,collected_other
Baghdad,Iraq,44.39186431722987,33.33169953001511,>0,1,0,collected_other
Surabaya,Indonesia,112.64968314870295,-7.428235582808296,>0,1,0,collected_other
Nairobi,Kenya,36.84562274709699,-1.2435124796249015,>0,1,0,collected_other
Santiago,Chile,-70.65310537939386,-33.47699597379585,>0,1,0,collected_other
Abidjan,CoteDIvoire,-3.9968204455673275,5.350657343073181,0,0,1,failed
Amman,Jordan,35.94702882380724,31.977887603781383,>0,1,0,collected_other
Luxor,Egypt,32.635414127973455,25.683963853314456,0,0,1,failed
Kabul,Afghanistan,69.13550614653124,34.52858543472933,0,0,1,failed
Yangon,Myanmar,96.14611326371147,16.883004802174792,0,0,1,failed
Accra,Ghana,-0.20367223337959017,5.632683368651092,>0,1,0,collected_other
Onitsha,Nigeria,6.94561674570784,6.0573247014872305,>0,1,0,collected_other
Miami,UnitedStates,-80.21801452334738,26.122406785365936,>0,1,0,collected_other
Madrid,Spain,-3.73964057243615,40.4024533344255,>0,1,0,collected_other
Faisalabad,Pakistan,73.07907977487986,31.419821135474734,0,0,1,failed
Toronto,Canada,-79.51404915989689,43.71237006515081,>0,1,0,collected_other
Yaounde,Cameroon,11.518186116453206,3.8517163437381194,0,0,1,failed
Mashhad,Iran,59.52080891498616,36.344462404857744,0,0,1,failed
Kampala,Uganda,32.56923541648277,0.3097298445138336,>0,1,0,collected_other
Chattogram,Bangladesh,91.80710855590073,22.413839333892778,>0,1,0,collected_other
Kano,Nigeria,8.521562850805909,11.987960850078998,>0,1,0,collected_other
Hanoi,Vietnam,105.84519975398682,21.00585179214438,>0,1,0,collected_other
Kumasi,Ghana,-1.6128029540646434,6.695833415884553,>0,1,0,collected_other
SaintPetersburg,Russia,30.331927216462617,59.92329892121459,>0,1,0,collected_other
Jeddah,SaudiArabia,39.222743223000556,21.501831430873533,0,0,1,failed
Mogadishu,Somalia,45.30842116718798,2.060137291566369,0,0,1,failed
ColomboSriJayawardenepuraKotte,SriLanka,79.94790925601592,6.9213751773519085,>0,1,0,collected_other
SantoDomingo,DominicanRepublic,-69.89800818752605,18.493793428589356,>0,1,0,collected_other
Casablanca,Morocco,-7.536316515472108,33.59386029131478,0,0,1,failed
Dubai,UnitedArabEmirates,55.31741243884235,25.20221957829861,>0,1,0,collected_other
Douala,Cameroon,9.73680335548659,4.053167286839356,0,0,1,failed
BeloHorizonte,Brazil,-44.00978912251673,-19.900984541093447,>0,1,0,collected_other
Antananarivo,Madagascar,47.53356791800818,-18.867258875526733,>0,1,0,collected_other
Guadalajara,Mexico,-103.36049720401758,20.637720101604714,>0,1,0,collected_other
Monterrey,Mexico,-100.27481970250278,25.711315122608465,>0,1,0,collected_other
Melbourne,Australia,145.0612918382641,-37.83704178220732,>0,1,0,collected_other
Dakar,Senegal,-17.37345578929195,14.742484151402868,>0,1,0,collected_other
