sample_id,archetype_id,feature_type,rank,feature_id,value,count
S02,A02,activation,9,D483,1.859375,0
S02,A02,activation,10,D038,1.84375,0
S03,A03,node,1,F021,0.07653061300516129,15
S03,A03,node,2,F029,0.07653061300516129,15
S03,A03,node,3,F053,0.06122449040412903,12
S03,A03,node,4,F057,0.06122449040412903,12
S03,A03,node,5,F013,0.06122449040412903,12
S03,A03,node,6,F036,0.06122449040412903,12
S03,A03,node,7,F010,0.051020409911870956,10
S03,A03,node,8,F058,0.051020409911870956,10
S03,A03,node,9,F022,0.051020409911870956,10
S03,A03,node,10,F007,0.0357142873108387,7
S03,A03,edge,1,F010-F013,0.01923076994717121,7
S03,A03,edge,2,F007-F013,0.016483517363667488,6
S03,A03,edge,3,F036-F059,0.016483517363667488,6
S03,A03,edge,4,F026-F057,0.016483517363667488,6
S03,A03,edge,5,F053-F058,0.01373626384884119,5
S03,A03,edge,6,F007-F057,0.010989011265337467,4
S03,A03,edge,7,F027-F029,0.010989011265337467,4
S03,A03,edge,8,F027-F035,0.010989011265337467,4
S03,A03,edge,9,F013-F058,0.010989011265337467,4
S03,A03,edge,10,F036-F054,0.010989011265337467,4
S03,A03,activation,1,D385,3.35546875,6
S03,A03,activation,2,D459,2.9296875,0
S03,A03,activation,3,D062,2.552734375,0
S03,A03,activation,4,D417,2.44921875,0
S03,A03,activation,5,D002,2.20703125,1
S03,A03,activation,6,D488,2.171875,0
S03,A03,activation,7,D317,2.087890625,4
S03,A03,activation,8,D241,2.083984375,0
S03,A03,activation,9,D160,2.06640625,0
S03,A03,activation,10,D159,2.044921875,3
S04,A04,node,1,F036,0.13775509595870972,27
S04,A04,node,2,F028,0.09693877398967743,19
S04,A04,node,3,F001,0.07653061300516129,15
S04,A04,node,4,F022,0.07653061300516129,15
S04,A04,node,5,F040,0.06632652878761292,13
S04,A04,node,6,F054,0.06122449040412903,12
S04,A04,node,7,F008,0.06122449040412903,12
S04,A04,node,8,F021,0.051020409911870956,10
S04,A04,node,9,F010,0.04591836780309677,9
S04,A04,node,10,F013,0.040816325694322586,8
S04,A04,edge,1,F008-F036,0.02747252769768238,10
S04,A04,edge,2,F001-F013,0.024725275114178658,9
S04,A04,edge,3,F036-F053,0.01923076994717121,7
S04,A04,edge,4,F010-F013,0.01923076994717121,7
S04,A04,edge,5,F001-F040,0.01923076994717121,7
S04,A04,edge,6,F036-F054,0.01923076994717121,7
S04,A04,edge,7,F028-F040,0.01923076994717121,7
S04,A04,edge,8,F021-F040,0.016483517363667488,6
S04,A04,edge,9,F044-F052,0.01373626384884119,5
