source,target,relation,score,support,q_value
122,420,specializes,0.923991,62,5.731867121770208e-69
475,124,specializes,0.335074,2591,0.0
692,124,specializes,0.495449,1449,5.515259918861834e-298
978,124,specializes,0.662369,1173,0.0
1015,124,specializes,0.690034,767,1.0357703119014844e-188
125,731,specializes,0.287392,2932,0.0
668,127,specializes,0.630898,929,2.6772103284017267e-103
130,239,specializes,0.581098,1636,4.00344529918792e-144
223,133,specializes,0.673758,1261,0.0
820,137,specializes,0.569302,256,4.796396164307675e-260
141,151,specializes,0.312776,1050,0.0
141,402,specializes,0.574992,1029,0.0
470,141,specializes,0.310953,572,0.0
633,141,specializes,0.766509,195,5.242801713418262e-186
142,396,specializes,0.578413,1396,0.0
142,727,specializes,0.380789,1225,0.0
142,758,specializes,0.602344,1405,0.0
567,147,specializes,0.676826,982,0.0
903,147,specializes,0.458216,2010,0.0
149,542,specializes,0.57788,700,0.0
149,759,specializes,0.534275,705,0.0
149,775,specializes,0.613638,664,0.0
149,883,specializes,0.469,696,0.0
149,971,specializes,0.743981,699,0.0
150,594,specializes,0.727629,895,0.0
150,831,specializes,0.661221,879,0.0
151,402,specializes,0.405186,1553,0.0
633,151,specializes,0.824596,195,1.2613230881192e-143
781,151,specializes,0.30743,1013,0.0
158,578,specializes,0.738822,26,2.288791359827184e-30
158,620,specializes,0.619652,27,5.504777856325106e-49
267,159,specializes,0.642583,410,2.762797535899198e-189
161,222,specializes,0.352547,573,0.0
403,162,specializes,0.528445,659,0.0
170,963,specializes,0.539873,114,1.0915290620801045e-132
170,1007,specializes,0.704933,118,2.4847175735441694e-83
791,172,specializes,0.366715,405,0.0
174,996,specializes,0.486466,1591,0.0
561,175,specializes,0.554881,466,0.0
683,175,specializes,0.502463,559,0.0
814,175,specializes,0.376573,784,0.0
900,175,specializes,0.605515,396,0.0
381,177,specializes,0.606308,982,0.0
437,177,specializes,0.67903,532,6.989519689083407e-274
522,177,specializes,0.478271,1305,0.0
812,177,specializes,0.777138,179,2.658543046296444e-85
969,177,specializes,0.627529,837,0.0
185,768,specializes,0.816141,91,2.6761395631896856e-49
194,789,specializes,0.561383,262,3.95312306844576e-284
198,780,specializes,0.282936,3204,0.0
199,746,specializes,0.564285,117,4.246142672370882e-128
672,200,specializes,0.759991,107,4.7113377040487815e-64
813,200,specializes,0.763353,61,2.3287051798522387e-35
201,211,specializes,0.953187,47,6.548014145735049e-54
201,477,specializes,0.914077,47,1.3014969698959222e-66
203,252,specializes,0.399495,459,0.0
203,565,specializes,0.726026,532,0.0
203,772,specializes,0.300497,418,0.0
207,396,specializes,0.764366,292,1.7897517337606242e-80
207,758,specializes,0.771196,293,4.18025094473259e-73
208,265,specializes,0.487951,803,0.0
716,208,specializes,0.573972,336,0.0
209,751,specializes,0.630593,608,2.2902915566756477e-287
993,210,specializes,0.462437,1638,0.0
745,212,specializes,0.689276,135,1.2118893977249237e-209
632,213,specializes,0.552074,1156,0.0
215,239,specializes,0.6956,1513,7.494558520526812e-238
215,819,specializes,0.464329,1349,0.0
217,656,specializes,0.464932,1468,0.0
218,239,specializes,0.41569,3669,0.0
426,218,specializes,0.435892,1692,0.0
221,895,specializes,0.581452,644,0.0
223,417,specializes,0.688725,1150,2.284865244027925e-194
223,495,specializes,0.573232,1115,0.0
223,540,specializes,0.541112,1204,0.0
223,556,specializes,0.62183,1275,0.0
223,681,specializes,0.656852,1290,0.0
231,274,specializes,0.639646,307,4.4953372891949854e-218
293,239,specializes,0.64596,1784,1.0105371577378025e-264
426,239,specializes,0.699179,1885,0.0
819,239,specializes,0.413656,3580,0.0
577,240,specializes,0.769387,26,1.55569871659625e-19
877,240,specializes,0.73254,136,1.8354724413287144e-108
1022,240,specializes,0.628902,215,2.246918813335627e-163
241,405,specializes,0.6971,2807,4.2326362193692257e-07
243,837,specializes,0.523962,486,0.0
245,361,specializes,0.667083,188,2.692884793080071e-212
245,858,specializes,0.876364,203,1.1039277066614483e-153
250,858,specializes,0.846342,137,1.480421005859995e-92
252,565,specializes,0.470623,952,0.0
923,252,specializes,0.56851,302,4.102405149059387e-306
342,265,specializes,0.360805,1101,0.0
267,940,specializes,0.681628,401,3.2670802654586348e-99
696,269,specializes,0.589422,270,3.526672913879155e-225
650,272,specializes,0.553103,719,3.674449958976368e-268
812,273,specializes,0.718647,177,6.485210805989411e-130
404,275,specializes,0.516436,1672,0.0
