branch_id,level,n_genes,medoid_gene,branch_stability,branch_status,dominant_role,role_purity,role_entropy,stable_fraction,nuisance_fraction,city_specific_fraction,weak_fraction,mean_reliability,mean_structure,mean_nuisance_risk,median_image_support
C013,coarse,25,131,0.846803,stable_dominant,rare_stable_component,0.4,0.869463,0.68,0.04,0.12,0.16,0.413834,0.60711,0.071606,355.0
F014,fine,25,131,0.846803,stable_dominant,rare_stable_component,0.4,0.869463,0.68,0.04,0.12,0.16,0.413834,0.60711,0.071606,355.0
C014,coarse,42,546,0.385066,nuisance_dominant,unstable_component,0.666667,0.671721,0.214286,0.666667,0.047619,0.071429,0.272849,0.367302,0.669307,401.0
F015,fine,28,1006,0.214351,nuisance_dominant,unstable_component,1.0,0.0,0.0,1.0,0.0,0.0,0.188751,0.348357,0.998771,315.5
F054,fine,14,546,0.726497,stable_dominant,rare_stable_component,0.357143,0.962087,0.642857,0.0,0.142857,0.214286,0.441046,0.405192,0.010379,458.5
C015,coarse,21,19,0.717327,stable_dominant,stable_structured,0.714286,0.661745,0.714286,0.047619,0.0,0.238095,0.737867,0.608908,0.106676,3407.0
F017,fine,21,19,0.717327,stable_dominant,stable_structured,0.714286,0.661745,0.714286,0.047619,0.0,0.238095,0.737867,0.608908,0.106676,3407.0
C016,coarse,55,897,0.296454,nuisance_dominant,unstable_component,0.8,0.485031,0.181818,0.8,0.018182,0.0,0.256948,0.530247,0.798117,518.0
F018,fine,10,543,0.160854,nuisance_dominant,unstable_component,1.0,0.0,0.0,1.0,0.0,0.0,0.139568,0.481248,0.999901,374.5
F035,fine,15,388,0.192987,nuisance_dominant,unstable_component,1.0,0.0,0.0,1.0,0.0,0.0,0.2203,0.481036,0.999909,733.0
F039,fine,15,897,0.244687,nuisance_dominant,unstable_component,1.0,0.0,0.0,1.0,0.0,0.0,0.160643,0.658227,0.994848,302.0
F044,fine,15,439,0.542088,stable_dominant,stable_structured,0.466667,0.873233,0.666667,0.266667,0.066667,0.0,0.468154,0.484143,0.26507,1037.0
C017,coarse,27,545,0.425756,mixed,weakly_structured,0.518519,0.99901,0.0,0.481481,0.0,0.518519,0.361084,0.481451,0.507508,825.0
F020,fine,27,545,0.425756,mixed,weakly_structured,0.518519,0.99901,0.0,0.481481,0.0,0.518519,0.361084,0.481451,0.507508,825.0
C018,coarse,22,44,0.518939,mixed,city_specific_component,0.409091,0.899889,0.181818,0.227273,0.409091,0.181818,0.313391,0.53545,0.269153,363.5
F021,fine,4,189,0.452679,city_specific_dominant,city_specific_component,0.5,0.946395,0.0,0.25,0.5,0.25,0.150183,0.382209,0.337457,154.5
F032,fine,18,44,0.533664,mixed,city_specific_component,0.388889,0.924813,0.222222,0.222222,0.388889,0.166667,0.349659,0.569503,0.253975,498.5
C019,coarse,35,200,0.44946,mixed,unstable_component,0.428571,0.941457,0.342857,0.428571,0.0,0.228571,0.405513,0.441852,0.467866,1319.0
F022,fine,21,200,0.625682,stable_dominant,weakly_structured,0.380952,0.886169,0.571429,0.047619,0.0,0.380952,0.495897,0.464848,0.11323,1165.0
F053,fine,14,272,0.185127,nuisance_dominant,unstable_component,1.0,0.0,0.0,1.0,0.0,0.0,0.269936,0.407357,0.999821,1608.5
C020,coarse,43,435,0.589205,mixed,stable_structured,0.418605,0.803865,0.44186,0.395349,0.0,0.162791,0.598534,0.502016,0.372187,1993.0
F023,fine,26,622,0.788603,stable_dominant,stable_structured,0.692308,0.667361,0.730769,0.0,0.0,0.269231,0.746161,0.549152,0.0,2181.0
F037,fine,17,741,0.284244,nuisance_dominant,unstable_component,1.0,0.0,0.0,1.0,0.0,0.0,0.372752,0.429925,0.941414,1893.0
C021,coarse,16,269,0.76888,stable_dominant,stable_structured,0.75,0.639824,0.9375,0.0,0.0,0.0625,0.595156,0.568375,0.000838,844.5
F025,fine,16,269,0.76888,stable_dominant,stable_structured,0.75,0.639824,0.9375,0.0,0.0,0.0625,0.595156,0.568375,0.000838,844.5
C022,coarse,34,46,0.593413,mixed,stable_structured,0.441176,0.886401,0.441176,0.117647,0.0,0.441176,0.587596,0.513637,0.138263,1812.0
F027,fine,19,46,0.584487,mixed,stable_structured,0.421053,0.964962,0.421053,0.210526,0.0,0.368421,0.592436,0.555127,0.233116,1880.0
F045,fine,15,218,0.60472,mixed,weakly_structured,0.533333,0.996792,0.466667,0.0,0.0,0.533333,0.581464,0.461084,0.018116,1744.0
C023,coarse,29,208,0.754771,mixed,city_specific_component,0.482759,0.904467,0.137931,0.172414,0.482759,0.206897,0.424373,0.584095,0.17011,371.0
F029,fine,15,378,1.0,city_specific_dominant,city_specific_component,0.733333,0.836641,0.266667,0.0,0.733333,0.0,0.567702,0.638101,0.0,478.0
F043,fine,14,574,0.492025,mixed,weakly_structured,0.428571,0.965713,0.0,0.357143,0.214286,0.428571,0.270807,0.52623,0.35237,298.0
C024,coarse,14,731,1.0,stable_dominant,stable_structured,0.928571,0.371232,0.928571,0.0,0.0,0.071429,0.898309,0.587395,0.0,3200.0
F031,fine,14,731,1.0,stable_dominant,stable_structured,0.928571,0.371232,0.928571,0.0,0.0,0.071429,0.898309,0.587395,0.0,3200.0
C025,coarse,19,732,0.674862,stable_dominant,city_specific_component,0.368421,0.911915,0.526316,0.0,0.368421,0.105263,0.451477,0.61304,0.009067,779.0
F033,fine,19,732,0.674862,stable_dominant,city_specific_component,0.368421,0.911915,0.526316,0.0,0.368421,0.105263,0.451477,0.61304,0.009067,779.0
C026,coarse,26,344,0.43283,nuisance_dominant,unstable_component,0.653846,0.662077,0.153846,0.653846,0.038462,0.153846,0.416494,0.391978,0.652976,1341.5
F034,fine,10,680,0.21122,nuisance_dominant,unstable_component,1.0,0.0,0.0,1.0,0.0,0.0,0.258126,0.36261,0.99984,865.5
F058,fine,9,344,0.755126,mixed,weakly_structured,0.444444,0.876358,0.444444,0.0,0.111111,0.444444,0.640547,0.407806,0.009234,1466.0
F062,fine,7,294,0.335034,nuisance_dominant,unstable_component,1.0,0.0,0.0,1.0,0.0,0.0,0.354668,0.413583,0.985122,742.0
C027,coarse,54,963,0.624802,mixed,stable_structured,0.277778,0.921429,0.462963,0.240741,0.037037,0.259259,0.457239,0.433125,0.233387,797.0
F038,fine,31,357,0.472366,mixed,unstable_component,0.387097,0.873982,0.322581,0.387097,0.064516,0.225806,0.437827,0.431185,0.363651,939.0
F048,fine,12,101,0.745176,stable_dominant,weakly_structured,0.416667,0.89208,0.5,0.083333,0.0,0.416667,0.480825,0.42131,0.11081,533.0
F061,fine,11,858,0.923077,stable_dominant,rare_stable_component,0.545455,0.905619,0.818182,0.0,0.0,0.181818,0.486217,0.45148,0.0,431.0
C028,coarse,20,730,0.906553,stable_dominant,stable_structured,0.9,0.358996,0.9,0.05,0.0,0.05,0.881017,0.732046,0.06486,3156.5
F042,fine,20,730,0.906553,stable_dominant,stable_structured,0.9,0.358996,0.9,0.05,0.0,0.05,0.881017,0.732046,0.06486,3156.5
C029,coarse,24,190,0.921552,city_specific_dominant,city_specific_component,0.5,0.820168,0.291667,0.041667,0.5,0.166667,0.57934,0.582763,0.047329,652.0
F052,fine,13,190,0.927318,mixed,city_specific_component,0.461538,0.829244,0.461538,0.0,0.461538,0.076923,0.675863,0.638632,0.005227,1142.0
F057,fine,11,815,0.914738,city_specific_dominant,city_specific_component,0.545455,0.808595,0.090909,0.090909,0.545455,0.272727,0.465266,0.516736,0.097087,392.0
C030,coarse,17,766,0.802136,city_specific_dominant,city_specific_component,0.588235,0.786994,0.235294,0.0,0.588235,0.176471,0.603446,0.618797,0.072914,1263.0
F055,fine,17,766,0.802136,city_specific_dominant,city_specific_component,0.588235,0.786994,0.235294,0.0,0.588235,0.176471,0.603446,0.618797,0.072914,1263.0
C031,coarse,16,572,0.840346,stable_dominant,stable_structured,0.875,0.421817,0.9375,0.0,0.0,0.0625,0.622281,0.537716,0.048563,875.5
F059,fine,16,572,0.840346,stable_dominant,stable_structured,0.875,0.421817,0.9375,0.0,0.0,0.0625,0.622281,0.537716,0.048563,875.5
