sample_id,rank,dimension_id,image_activation_top20,global_top_semantic,global_top_semantic_share,global_top3_semantic_share,assessment
P13,6,210,2.96875,Vegetation,0.9846650390625,0.9963182425498963,clear_single_semantic
P14,1,372,3.763671875,Tunnel,0.2656227684020996,0.6677489495277404,spatial_artifact_candidate
P14,2,270,3.208984375,Sky,0.93637109375,0.9860044598579407,clear_single_semantic
P14,3,491,3.1015625,Road,0.29492275190353395,0.6950186791419983,spatial_artifact_candidate
P14,4,105,3.09375,Road,0.9324380798339844,0.9959474635124207,clear_single_semantic
P14,5,67,3.02734375,Road,0.8484319958686829,0.9881267132759095,clear_single_semantic
P14,6,31,2.94921875,Road,0.47699861955642703,0.8153650922775268,coherent_semantic_mixture
P15,1,491,3.224609375,Road,0.29492275190353395,0.6950186791419983,spatial_artifact_candidate
P15,2,329,3.123046875,Car,0.6816746082305908,0.9588723740577698,clear_single_semantic
P15,3,419,3.091796875,Fence,0.23817074632644653,0.5445407900810242,spatial_artifact_candidate
P15,4,138,3.08203125,Building,0.48660319185256956,0.9704015102386474,coherent_semantic_mixture
P15,5,386,3.0390625,Building,0.5728906536102295,0.8574903154373169,clear_single_semantic
P15,6,437,3.013671875,Sky,0.99590234375,0.9991740775108338,clear_single_semantic
P16,1,171,3.2578125,Road,0.31827067136764525,0.6501873507499695,spatial_artifact_candidate
P16,2,335,3.24609375,Road,0.27458690834045413,0.6590480256080629,spatial_artifact_candidate
P16,3,31,3.15625,Road,0.47699861955642703,0.8153650922775268,coherent_semantic_mixture
P16,4,105,3.080078125,Road,0.9324380798339844,0.9959474635124207,clear_single_semantic
P16,5,419,3.0703125,Fence,0.23817074632644653,0.5445407900810242,spatial_artifact_candidate
P16,6,168,3.0,Building,0.9042409286499024,0.9676411690711976,clear_single_semantic
P17,1,171,3.447265625,Road,0.31827067136764525,0.6501873507499695,spatial_artifact_candidate
P17,2,503,3.365234375,Building,0.9024129886627197,0.9855558609962464,clear_single_semantic
P17,3,168,3.1640625,Building,0.9042409286499024,0.9676411690711976,clear_single_semantic
P17,4,284,3.158203125,Sky,0.99738330078125,0.9998599014282227,clear_single_semantic
P17,5,458,3.11328125,Building,0.8360380725860596,0.9008521180152892,clear_single_semantic
P17,6,437,3.095703125,Sky,0.99590234375,0.9991740775108338,clear_single_semantic
P18,1,171,3.310546875,Road,0.31827067136764525,0.6501873507499695,spatial_artifact_candidate
P18,2,477,3.197265625,Bridge,0.3248274612426758,0.7304275150299072,spatial_artifact_candidate
P18,3,105,3.177734375,Road,0.9324380798339844,0.9959474635124207,clear_single_semantic
P18,4,270,3.115234375,Sky,0.93637109375,0.9860044598579407,clear_single_semantic
P18,5,372,3.091796875,Tunnel,0.2656227684020996,0.6677489495277404,spatial_artifact_candidate
P18,6,78,3.0859375,Road,0.9042169036865234,0.9692062225341797,clear_single_semantic
P19,1,171,3.982421875,Road,0.31827067136764525,0.6501873507499695,spatial_artifact_candidate
P19,2,270,3.501953125,Sky,0.93637109375,0.9860044598579407,clear_single_semantic
P19,3,437,3.34375,Sky,0.99590234375,0.9991740775108338,clear_single_semantic
P19,4,119,3.248046875,Vegetation,0.963611083984375,0.9984997062683106,clear_single_semantic
P19,5,168,3.177734375,Building,0.9042409286499024,0.9676411690711976,clear_single_semantic
P19,6,329,3.140625,Car,0.6816746082305908,0.9588723740577698,clear_single_semantic
P20,1,372,4.5625,Tunnel,0.2656227684020996,0.6677489495277404,spatial_artifact_candidate
P20,2,477,3.587890625,Bridge,0.3248274612426758,0.7304275150299072,spatial_artifact_candidate
P20,3,285,3.1953125,Tunnel,0.8067750854492187,0.9168359298706055,clear_single_semantic
P20,4,106,3.12109375,Road,0.8798419342041016,0.9914981303215027,clear_single_semantic
P20,5,105,3.1171875,Road,0.9324380798339844,0.9959474635124207,clear_single_semantic
P20,6,476,3.08203125,Road,0.649257257938385,0.8246054635047912,clear_single_semantic
