city_key,archetype_id,n_images,city_prevalence,global_prevalence,prevalence_ratio
Canada/Toronto,A06,1957,0.1537071944706252,0.11573895643818403,1.3280506339515852
Canada/Toronto,A07,1552,0.1218975808985234,0.11513972408914043,1.0586926611370988
Canada/Toronto,A08,2165,0.1700439836632108,0.11123547455506338,1.5286848403657076
China/HongKong,A01,1843,0.14515239820430023,0.14891583821254534,0.9747277384768597
China/HongKong,A02,1563,0.12309994486886666,0.13735091785501216,0.8962440644103388
China/HongKong,A03,680,0.05355595810033866,0.13343082958043176,0.40137619071052294
China/HongKong,A04,1954,0.15389462077656138,0.12065952515455972,1.2754452711414943
China/HongKong,A05,768,0.06048672914861778,0.11752873411506318,0.5146548170033037
China/HongKong,A06,3083,0.242813262975506,0.11573895643818403,2.0979389347198074
China/HongKong,A07,1195,0.09411672048515397,0.11513972408914043,0.8174131146283573
China/HongKong,A08,1611,0.12688036544065528,0.11123547455506338,1.1406465963144465
Colombia/Bogota,A01,3399,0.2661707126076742,0.14891583821254534,1.7873902185459465
Colombia/Bogota,A02,544,0.04259984338292874,0.13735091785501216,0.31015332149361535
Colombia/Bogota,A03,1703,0.13335943617854346,0.13343082958043176,0.9994649407328666
Colombia/Bogota,A04,1854,0.1451840250587314,0.12065952515455972,1.2032537412422006
Colombia/Bogota,A05,1360,0.10649960845732184,0.11752873411506318,0.9061580494269292
Colombia/Bogota,A06,296,0.02317932654659358,0.11573895643818403,0.20027246883786803
Colombia/Bogota,A07,1247,0.09765074393108848,0.11513972408914043,0.8481064611157824
Colombia/Bogota,A08,2367,0.18535630383711824,0.11123547455506338,1.666341646660246
France/Paris,A01,1919,0.1526650755767701,0.14891583821254534,1.0251768878933718
France/Paris,A02,1298,0.10326173428798727,0.13735091785501216,0.7518095685169757
France/Paris,A03,1573,0.12513922036595068,0.13343082958043176,0.9378583702090909
France/Paris,A04,2587,0.20580747812251393,0.12065952515455972,1.7056877843575409
France/Paris,A05,1031,0.08202068416865553,0.11752873411506318,0.6978777129374635
France/Paris,A06,1615,0.1284805091487669,0.11573895643818403,1.1100887125882124
France/Paris,A07,1525,0.12132060461416071,0.11513972408914043,1.0536815644984097
France/Paris,A08,1022,0.08130469371519491,0.11123547455506338,0.7309241412454959
India/Mumbai,A01,3385,0.2965396408234779,0.14891583821254534,1.99132371937652
India/Mumbai,A02,2328,0.20394218134034164,0.13735091785501216,1.4848257625451278
India/Mumbai,A03,742,0.06500219010074464,0.13343082958043176,0.4871602035687074
India/Mumbai,A04,963,0.08436268068331143,0.12065952515455972,0.6991796178150579
India/Mumbai,A05,1129,0.09890494962768287,0.11752873411506318,0.8415384575728756
India/Mumbai,A06,1645,0.14410862899693386,0.11573895643818403,1.2451177497345245
India/Mumbai,A07,840,0.0735873850197109,0.11513972408914043,0.6391137863309454
India/Mumbai,A08,383,0.03355234340779676,0.11123547455506338,0.3016334810635235
India/NewDelhi,A01,4337,0.3651902997642304,0.14891583821254534,2.4523267917479656
India/NewDelhi,A02,1922,0.16183900303132367,0.13735091785501216,1.1782884713021078
India/NewDelhi,A03,955,0.08041428090266083,0.13343082958043176,0.6026664239105799
India/NewDelhi,A04,620,0.052206130010104414,0.12065952515455972,0.43267309351027683
India/NewDelhi,A05,1594,0.13422027618726845,0.11752873411506318,1.1420209466041207
India/NewDelhi,A06,1147,0.09658134051869316,0.11573895643818403,0.8344756466702469
India/NewDelhi,A07,980,0.08251936679016504,0.11513972408914043,0.7166889398334764
India/NewDelhi,A08,321,0.027029302795554058,0.11123547455506338,0.24299175154032457
Indonesia/Jakarta,A01,2681,0.20999451711443565,0.14891583821254534,1.4101556935449246
Indonesia/Jakarta,A02,3879,0.30383018720137855,0.13735091785501216,2.2120724924612603
Indonesia/Jakarta,A03,2068,0.1619801049580951,0.13343082958043176,1.2139631108300493
Indonesia/Jakarta,A04,320,0.025064619722722645,0.12065952515455972,0.20773013726530032
Indonesia/Jakarta,A05,1754,0.13738544685517348,0.11752873411506318,1.1689519834415145
Indonesia/Jakarta,A06,599,0.04691783504347145,0.11573895643818403,0.40537634420896285
Indonesia/Jakarta,A07,946,0.07409728205529882,0.11513972408914043,0.6435422929964049
Indonesia/Jakarta,A08,520,0.0407300070494243,0.11123547455506338,0.3661602309186201
Japan/Osaka,A01,3264,0.2559197114630704,0.14891583821254534,1.7185526706554883
Japan/Osaka,A02,1004,0.07872040144268465,0.13735091785501216,0.5731334211088566
Japan/Osaka,A03,1222,0.0958130782499608,0.13343082958043176,0.718073016193045
Japan/Osaka,A04,2031,0.15924415869531128,0.12065952515455972,1.3197810822753222
Japan/Osaka,A05,552,0.0432805394386075,0.11752873411506318,0.36825496134617525
Japan/Osaka,A06,2509,0.19672259683236631,0.11573895643818403,1.699709439988216
Japan/Osaka,A07,1356,0.10631958601223146,0.11513972408914043,0.9233962201430979
Japan/Osaka,A08,816,0.0639799278657676,0.11123547455506338,0.5751755734551794
Malaysia/KualaLumpur,A01,582,0.045622011444697026,0.14891583821254534,0.3063610425345182
Malaysia/KualaLumpur,A02,2504,0.19628439288233912,0.13735091785501216,1.4290723057965817
Malaysia/KualaLumpur,A03,2857,0.22395547542525673,0.13343082958043176,1.6784387545927455
Malaysia/KualaLumpur,A04,958,0.07509602571137415,0.12065952515455972,0.6223795893045273
Malaysia/KualaLumpur,A05,2734,0.21431371011993416,0.11752873411506318,1.8235005399625628
Malaysia/KualaLumpur,A06,1236,0.09688798306811947,0.11573895643818403,0.8371250791419323
Malaysia/KualaLumpur,A07,855,0.06702202712236419,0.11513972408914043,0.5820929974652029
Malaysia/KualaLumpur,A08,1031,0.08081837422591519,0.11123547455506338,0.7265521592745915
Mexico/MexicoCity,A01,1992,0.1561128526645768,0.14891583821254534,1.0483294090032202
Mexico/MexicoCity,A02,1008,0.07899686520376176,0.13735091785501216,0.5751462490199808
Mexico/MexicoCity,A03,2306,0.18072100313479625,0.13343082958043176,1.3544171440968078
Mexico/MexicoCity,A04,1188,0.09310344827586207,0.12065952515455972,0.771621205674401
Mexico/MexicoCity,A05,1217,0.09537617554858935,0.11752873411506318,0.8115136801798104
Mexico/MexicoCity,A06,1057,0.08283699059561128,0.11573895643818403,0.7157226325939302
Mexico/MexicoCity,A07,2896,0.22695924764890282,0.11513972408914043,1.9711637268923143
Mexico/MexicoCity,A08,1096,0.08589341692789969,0.11123547455506338,0.7721764776162395
Netherlands/Amsterdam,A01,1999,0.1581612469340929,0.14891583821254534,1.0620847911983125
Netherlands/Amsterdam,A02,2588,0.20476303505024132,0.13735091785501216,1.4908020874413777
Netherlands/Amsterdam,A03,2019,0.1597436506052694,0.13343082958043176,1.1972019593041379
Netherlands/Amsterdam,A04,1503,0.11891763588891527,0.12065952515455972,0.9855635991985452
Netherlands/Amsterdam,A05,2124,0.1680512698789461,0.11752873411506318,1.4298739039801134
Netherlands/Amsterdam,A06,1191,0.0942321386185616,0.11573895643818403,0.8141782293405316
Netherlands/Amsterdam,A07,504,0.039876572513648234,0.11513972408914043,0.3463320138128527
Netherlands/Amsterdam,A08,711,0.05625445051032518,0.11123547455506338,0.5057240123741128
Nigeria/Lagos,A01,802,0.0629711055276382,0.14891583821254534,0.4228637214381487
Nigeria/Lagos,A02,1485,0.11659861809045226,0.13735091785501216,0.8489103670463559
Nigeria/Lagos,A03,1351,0.10607726130653267,0.13343082958043176,0.7949981397858998
Nigeria/Lagos,A04,662,0.0519786432160804,0.12065952515455972,0.43078773225319733
Nigeria/Lagos,A05,5417,0.42532977386934673,0.11752873411506318,3.6189428659457836
Nigeria/Lagos,A06,286,0.02245603015075377,0.11573895643818403,0.1940230916350753
Nigeria/Lagos,A07,1571,0.12335113065326633,0.11513972408914043,1.0713168858887372
Nigeria/Lagos,A08,1162,0.09123743718592965,0.11123547455506338,0.8202188874626108
Peru/Lima,A01,2282,0.17986915740521794,0.14891583821254534,1.2078578045438888
Peru/Lima,A02,926,0.07298809805312524,0.13735091785501216,0.5313986917085737
Peru/Lima,A03,1259,0.09923543784976747,0.13343082958043176,0.7437219581247422
Peru/Lima,A04,1139,0.08977693702214866,0.12065952515455972,0.7440518011913956
