archetype_id,region_id,region_row,region_column,element_id,element_name,within_region_share,equal_weight_canvas_share
A04,R23,1,2,F029,electric_bike_parking,0.0027566295070439208,0.00030629216744932454
A04,R23,1,2,F030,stone_wall_and_shadows,0.004308874997092486,0.00047876388856583175
A04,R23,1,2,F031,road_edge,0.0045517215935083535,0.0005057468437231504
A04,R23,1,2,F032,tree-lined walk,0.0015675593305689186,0.00017417325895210207
A04,R23,1,2,F033,zebra_crossing,3.938041631074661e-05,4.375601812305179e-06
A04,R23,1,2,F034,red_door_street,0.001237201550834851,0.00013746683898165012
A04,R23,1,2,F035,small alley entrance,0.0005185088118240942,5.7612090202677125e-05
A04,R23,1,2,F036,pedestrian walk,0.00038505295694610806,4.27836618829009e-05
A04,R23,1,2,F037,street_corner_shops,0.0020751293665974215,0.0002305699296219357
A04,R23,1,2,F038,red-yellow hotspot,0.04850140375927008,0.005389044862141121
A04,R23,1,2,F039,red car corner,0.006016455800021906,0.0006684950888913229
A04,R23,1,2,F040,cobblestone,0.0761782005605312,0.00846424450672569
A04,R23,1,2,F041,concrete_wall,0.0010523324285605254,0.00011692582539561394
A04,R23,1,2,F042,Red-yellow glow street,0.00015861556439712569,1.7623951599680633e-05
A04,R23,1,2,F043,tree_shadows,0.0,0.0
A04,R23,1,2,F044,road_and_buildings,0.0003248884314003658,3.6098714600040646e-05
A04,R23,1,2,F045,underpass glow,0.0003314518326517888,3.682798140575431e-05
A04,R23,1,2,F046,window_heat_zone,0.02406471970826818,0.002673857745363131
A04,R23,1,2,F047,underpass,0.0010632712289289493,0.00011814124765877214
A04,R23,1,2,F048,shaded path,0.0001356436543782303,1.50715171531367e-05
A04,R23,1,2,F049,red_wall_yellow_wall,0.0003008226218605725,3.342473576228583e-05
A04,R23,1,2,F050,greenery_and_water,2.187800875589365e-06,2.430889861765961e-07
A04,R23,1,2,F051,zebra_crossing,0.00016189726561882008,1.7988585068757786e-05
A04,R23,1,2,F052,palm_tree_street,0.0005742977379108996,6.381085976787773e-05
A04,R23,1,2,F053,road_marking,0.0011453138694989165,0.00012725709661099072
A04,R23,1,2,F054,highlighted_lane,0.006371972629842983,0.0007079969588714425
A04,R23,1,2,F055,small alley entrance,0.0004255272744281668,4.728080826979631e-05
A04,R23,1,2,F056,stone_wall_street,0.05122846638234652,0.005692051820260725
A04,R23,1,2,F057,streetlight illumination,5.250722128921378e-05,5.834135698801531e-06
A04,R23,1,2,F058,shaded alley,0.009199708408240134,0.0010221898231377927
A04,R23,1,2,F059,road_edge,7.657303137914516e-05,8.508114597682796e-06
A04,R23,1,2,F060,street_corner_shop,0.0298077000872799,0.0033119666763644336
A04,R23,1,2,F061,sunlit street,0.0004178699695298105,4.642999661442339e-05
A04,R23,1,2,F062,shaded alley,0.008333335142073104,0.0009259261268970117
A04,R23,1,2,F063,blue_wall_graffiti,0.0,0.0
A04,R31,2,0,F000,red brick corner,0.000775356581163206,8.615073124035622e-05
A04,R31,2,0,F001,shaded_corner,0.00047781570316002606,5.309063368444734e-05
A04,R31,2,0,F002,shaded patches,0.005829176261955537,0.0006476862513283931
A04,R31,2,0,F003,building facade,4.638137856249454e-05,5.153486506943838e-06
A04,R31,2,0,F004,highlighted_buildings,9.976371809308158e-05,1.1084857565897954e-05
A04,R31,2,0,F005,palm_trees_and_buildings,1.750240700471492e-06,1.944711889412769e-07
A04,R31,2,0,F006,small alley entrance,0.00031154283991606253,3.4615871101784726e-05
A04,R31,2,0,F007,roof_and_eaves,0.0002266561710778169,2.5184019008646323e-05
A04,R31,2,0,F008,stone_wall_and_retaining_wall,7.175986871933117e-05,7.973318746592353e-06
A04,R31,2,0,F009,highlighted road,0.00237245138098375,0.00026360570899819444
A04,R31,2,0,F010,green_wall,0.00032204428155158067,3.578269795017563e-05
A04,R31,2,0,F011,road_edge,0.03832937554835522,0.004258819505372802
A04,R31,2,0,F012,bamboo,2.5378490156836634e-05,2.819832239648515e-06
A04,R31,2,0,F013,tree-lined_driveway,0.0015069572394383677,0.00016743969327092975
A04,R31,2,0,F014,road_edge,0.0001435197356048689,1.5946637289429876e-05
