city,archetype_id,image_count,city_image_count,city_prevalence
Nigeria/Lagos,A08,2377,12736,0.1866363065326633
Peru/Lima,A01,1293,12687,0.10191534641759281
Peru/Lima,A02,1666,12687,0.1313155198234413
Peru/Lima,A03,1633,12687,0.12871443209584615
Peru/Lima,A04,2897,12687,0.2283439741467644
Peru/Lima,A05,467,12687,0.036809332387483254
Peru/Lima,A06,3272,12687,0.2579017892330732
Peru/Lima,A07,673,12687,0.05304642547489556
Peru/Lima,A08,786,12687,0.06195318042090329
Philippines/Manila,A01,1615,12767,0.12649800266311584
Philippines/Manila,A02,2121,12767,0.16613143259967103
Philippines/Manila,A03,2916,12767,0.2284013472233101
Philippines/Manila,A04,1403,12767,0.1098926920968121
Philippines/Manila,A05,962,12767,0.07535051304143495
Philippines/Manila,A06,1002,12767,0.07848359050677528
Philippines/Manila,A07,1193,12767,0.09344403540377536
Philippines/Manila,A08,1555,12767,0.12179838646510535
Russia/Moscow,A01,1886,12743,0.14800282508043633
Russia/Moscow,A02,1421,12743,0.11151220277799576
Russia/Moscow,A03,1532,12743,0.12022286745664286
Russia/Moscow,A04,1028,12743,0.08067174134819116
Russia/Moscow,A05,2375,12743,0.18637683434042218
Russia/Moscow,A06,1009,12743,0.07918072667346779
Russia/Moscow,A07,2324,12743,0.1823746370556384
Russia/Moscow,A08,1168,12743,0.09165816526720552
Singapore/Singapore,A01,3908,12681,0.30817758851825566
Singapore/Singapore,A02,710,12681,0.05598927529374655
Singapore/Singapore,A03,1871,12681,0.14754356911915464
Singapore/Singapore,A04,572,12681,0.045106852771863416
Singapore/Singapore,A05,2081,12681,0.16410377730462897
Singapore/Singapore,A06,1433,12681,0.11300370633230818
Singapore/Singapore,A07,1580,12681,0.12459585206214022
Singapore/Singapore,A08,526,12681,0.04147937859790237
SouthAfrica/CapeTown,A01,2724,12762,0.21344616831217678
SouthAfrica/CapeTown,A02,526,12762,0.04121611032753487
SouthAfrica/CapeTown,A03,1296,12762,0.10155148095909731
SouthAfrica/CapeTown,A04,3633,12762,0.2846732487070992
SouthAfrica/CapeTown,A05,663,12762,0.05195110484250118
SouthAfrica/CapeTown,A06,2133,12762,0.16713681241184766
SouthAfrica/CapeTown,A07,1069,12762,0.08376430026641592
SouthAfrica/CapeTown,A08,718,12762,0.05626077417332707
SouthAfrica/Johannesburg,A01,1998,12582,0.15879828326180256
SouthAfrica/Johannesburg,A02,330,12582,0.026227944682880304
SouthAfrica/Johannesburg,A03,1472,12582,0.1169925290096964
SouthAfrica/Johannesburg,A04,2277,12582,0.18097281831187412
SouthAfrica/Johannesburg,A05,888,12582,0.07057701478302336
SouthAfrica/Johannesburg,A06,2438,12582,0.19376887617230965
SouthAfrica/Johannesburg,A07,2425,12582,0.19273565410904467
SouthAfrica/Johannesburg,A08,754,12582,0.05992687966936894
SouthKorea/Seoul,A01,2492,12670,0.19668508287292819
SouthKorea/Seoul,A02,3097,12670,0.24443567482241516
SouthKorea/Seoul,A03,1533,12670,0.12099447513812155
SouthKorea/Seoul,A04,1378,12670,0.10876085240726124
SouthKorea/Seoul,A05,2122,12670,0.16748224151539068
SouthKorea/Seoul,A06,1211,12670,0.09558011049723757
SouthKorea/Seoul,A07,411,12670,0.0324388318863457
SouthKorea/Seoul,A08,426,12670,0.03362273086029992
Taiwan/Taipei,A01,3004,12672,0.2370580808080808
Taiwan/Taipei,A02,1928,12672,0.15214646464646464
Taiwan/Taipei,A03,1515,12672,0.11955492424242424
Taiwan/Taipei,A04,1093,12672,0.08625315656565656
Taiwan/Taipei,A05,2353,12672,0.18568497474747475
Taiwan/Taipei,A06,1604,12672,0.12657828282828282
Taiwan/Taipei,A07,683,12672,0.053898358585858584
Taiwan/Taipei,A08,492,12672,0.038825757575757576
Thailand/Bangkok,A01,2033,12782,0.15905179158191207
Thailand/Bangkok,A02,1307,12782,0.10225316851822876
