image_id,city,archetype_id,raw_cluster_id,distance_to_centroid,PC1,PC2
290645,SouthKorea/Seoul,A04,1,0.1565415,0.039168485,-0.09456826
290647,SouthKorea/Seoul,A06,5,0.12649457,-0.022536004,0.020732835
290649,SouthKorea/Seoul,A02,0,0.1227776,-0.08469942,-0.058711227
290661,SouthKorea/Seoul,A02,0,0.13762282,-0.033609446,-0.01955551
290672,SouthKorea/Seoul,A05,3,0.15663387,-0.06957842,0.009319371
290700,SouthKorea/Seoul,A02,0,0.13268952,0.02801096,-0.040238358
290702,SouthKorea/Seoul,A02,0,0.14761272,-0.060469434,-0.0587637
290722,SouthKorea/Seoul,A01,6,0.13564505,-0.045332994,0.011009147
290764,SouthKorea/Seoul,A05,3,0.15952629,-0.04052963,-0.01391881
290769,SouthKorea/Seoul,A01,6,0.1289987,-0.023841433,-0.02322558
290771,SouthKorea/Seoul,A01,6,0.13603564,-0.00077482907,-0.023948427
290794,SouthKorea/Seoul,A02,0,0.2107204,-0.08914941,-0.009943166
290817,SouthKorea/Seoul,A06,5,0.21832947,0.05176739,-0.012845195
290819,SouthKorea/Seoul,A06,5,0.17957865,0.051521536,0.033301655
290828,SouthKorea/Seoul,A05,3,0.12457165,-0.09303871,-0.018581975
290835,SouthKorea/Seoul,A04,1,0.14657746,0.12859376,-0.02131392
290842,SouthKorea/Seoul,A05,3,0.1963298,-0.11557145,0.007931858
290869,SouthKorea/Seoul,A08,2,0.17885804,-0.038853906,0.060197845
290913,SouthKorea/Seoul,A01,6,0.14286876,-0.03140153,0.0070515196
290985,SouthKorea/Seoul,A02,0,0.13583705,-0.0017208164,-0.08761411
291001,SouthKorea/Seoul,A04,1,0.10869292,0.08827783,-0.03484528
291019,SouthKorea/Seoul,A02,0,0.17818375,0.0038941586,-0.053301882
291020,SouthKorea/Seoul,A06,5,0.15974641,0.0066467365,0.051108066
291036,SouthKorea/Seoul,A05,3,0.15318985,-0.119841,-0.009707581
291038,SouthKorea/Seoul,A03,7,0.16597137,-0.07120935,-0.031886782
291052,SouthKorea/Seoul,A02,0,0.16707957,-0.09229033,-0.027380252
291081,SouthKorea/Seoul,A02,0,0.15522493,-0.08550514,-0.070925646
291102,SouthKorea/Seoul,A08,2,0.1465214,0.037355445,0.048081603
291104,SouthKorea/Seoul,A01,6,0.20539793,-0.029843876,-0.0016349009
291113,SouthKorea/Seoul,A08,2,0.13264817,0.06869925,0.01126472
291115,SouthKorea/Seoul,A04,1,0.15920743,0.0712613,-0.05033871
291127,SouthKorea/Seoul,A02,0,0.17343298,-0.049707863,-0.10772114
291142,SouthKorea/Seoul,A02,0,0.17003484,-0.047814198,-0.061133876
291166,SouthKorea/Seoul,A02,0,0.15209161,-0.0472369,-0.034971967
291168,SouthKorea/Seoul,A05,3,0.15017009,-0.10289891,0.0058251037
291192,SouthKorea/Seoul,A06,5,0.15288842,0.050899394,-0.022731854
291199,SouthKorea/Seoul,A01,6,0.1711784,0.05112606,-0.037056755
291206,SouthKorea/Seoul,A05,3,0.15492792,-0.072263844,0.023394207
291234,SouthKorea/Seoul,A02,0,0.15341133,-0.026854811,-0.059036545
291238,SouthKorea/Seoul,A03,7,0.26506758,-0.03739609,-0.039117504
291244,SouthKorea/Seoul,A02,0,0.14948507,-0.016195033,-0.021150155
291308,SouthKorea/Seoul,A01,6,0.14813887,0.007885097,-0.019900894
291312,SouthKorea/Seoul,A05,3,0.12550609,-0.04574419,0.0001682109
291347,SouthKorea/Seoul,A04,1,0.13648969,0.070111096,0.00887389
291382,SouthKorea/Seoul,A02,0,0.15283607,0.010658815,-0.057643685
291398,SouthKorea/Seoul,A05,3,0.14272061,-0.115060225,0.0077750734
291399,SouthKorea/Seoul,A01,6,0.15573683,-0.0017868581,-0.022305282
291413,SouthKorea/Seoul,A02,0,0.1529956,-0.069499515,-0.019568196
291449,SouthKorea/Seoul,A05,3,0.15470588,0.00092375383,0.028662914
291493,SouthKorea/Seoul,A04,1,0.15336804,0.04626467,-0.0053213234
