image_id,city,archetype_id,raw_cluster_id,distance_to_centroid,UMAP1,UMAP2
2607,Argentina/BuenosAires,A06,5,0.16432522,6.6931467,3.994673
2621,Argentina/BuenosAires,A04,1,0.14068176,7.488722,6.3839793
2629,Argentina/BuenosAires,A07,4,0.17943135,3.6070945,4.3993096
2691,Argentina/BuenosAires,A01,6,0.13161725,7.9065638,4.605708
2711,Argentina/BuenosAires,A06,5,0.17657521,7.3643804,3.8721979
2730,Argentina/BuenosAires,A06,5,0.17653206,5.1750665,4.1505823
2735,Argentina/BuenosAires,A02,0,0.14847706,9.950369,4.377952
2742,Argentina/BuenosAires,A04,1,0.12003214,7.6760178,7.478372
2789,Argentina/BuenosAires,A05,3,0.21742421,9.294421,3.3019445
2807,Argentina/BuenosAires,A04,1,0.1180264,8.886694,7.143426
2816,Argentina/BuenosAires,A04,1,0.16384318,9.127419,7.469778
2829,Argentina/BuenosAires,A04,1,0.1200294,7.2115283,7.8753085
2830,Argentina/BuenosAires,A06,5,0.11555432,7.0357,2.8451176
2859,Argentina/BuenosAires,A03,7,0.16140082,8.0197735,4.9720826
2903,Argentina/BuenosAires,A04,1,0.12772268,8.023475,7.689737
2907,Argentina/BuenosAires,A07,4,0.15873921,4.7989984,5.078587
2911,Argentina/BuenosAires,A02,0,0.14006515,10.213112,4.229924
2941,Argentina/BuenosAires,A05,3,0.1671326,5.3247323,2.857737
2968,Argentina/BuenosAires,A02,0,0.14538853,9.3945875,5.8977594
2970,Argentina/BuenosAires,A06,5,0.13374792,7.886972,3.0962756
3001,Argentina/BuenosAires,A06,5,0.15168801,6.8376665,4.1479664
3012,Argentina/BuenosAires,A04,1,0.1123597,7.3928204,6.731432
3014,Argentina/BuenosAires,A06,5,0.123691104,6.808584,6.4813824
3017,Argentina/BuenosAires,A06,5,0.16929564,6.3990207,4.9971237
3044,Argentina/BuenosAires,A01,6,0.12539254,8.316335,4.062468
3052,Argentina/BuenosAires,A04,1,0.111150354,7.88077,7.5695834
3084,Argentina/BuenosAires,A06,5,0.16342844,7.7288976,4.3775997
3099,Argentina/BuenosAires,A08,2,0.13709997,8.0908575,6.807307
3129,Argentina/BuenosAires,A06,5,0.1587447,7.0037026,3.9243371
3156,Argentina/BuenosAires,A01,6,0.14645901,7.7537684,4.715673
3157,Argentina/BuenosAires,A04,1,0.12455768,8.860798,7.535652
3164,Argentina/BuenosAires,A04,1,0.115201354,7.7195625,7.184165
3168,Argentina/BuenosAires,A04,1,0.1476102,8.021154,7.998735
3180,Argentina/BuenosAires,A08,2,0.1951655,4.366271,4.090354
3198,Argentina/BuenosAires,A04,1,0.11183738,7.885763,8.254923
3199,Argentina/BuenosAires,A08,2,0.15108168,5.9975195,6.3891034
3233,Argentina/BuenosAires,A06,5,0.14955181,7.3014483,2.9575038
3235,Argentina/BuenosAires,A02,0,0.110717274,8.966883,3.2182708
3238,Argentina/BuenosAires,A01,6,0.14409868,8.262107,4.208951
3247,Argentina/BuenosAires,A03,7,0.17503764,8.577747,3.5012538
3257,Argentina/BuenosAires,A04,1,0.14161757,8.073073,7.5457454
3280,Argentina/BuenosAires,A01,6,0.15834825,7.417488,5.1100564
3312,Argentina/BuenosAires,A06,5,0.19386315,6.909221,4.248326
3315,Argentina/BuenosAires,A03,7,0.15757973,9.702661,3.6837094
3335,Argentina/BuenosAires,A04,1,0.13481969,7.8866034,7.1522956
3346,Argentina/BuenosAires,A07,4,0.1606677,4.1310754,6.08513
3370,Argentina/BuenosAires,A08,2,0.12692082,8.859418,6.4213023
3388,Argentina/BuenosAires,A06,5,0.11508479,6.6361275,4.091118
3391,Argentina/BuenosAires,A04,1,0.13732691,6.7857738,7.6982603
3405,Argentina/BuenosAires,A02,0,0.14007778,9.145629,5.342674
3413,Argentina/BuenosAires,A04,1,0.1963068,7.8119426,8.694742
3416,Argentina/BuenosAires,A07,4,0.13902448,3.9861548,4.5147204
3427,Argentina/BuenosAires,A03,7,0.18438305,8.477403,6.873629
3458,Argentina/BuenosAires,A07,4,0.15847304,4.583182,6.9572153
3461,Argentina/BuenosAires,A05,3,0.1700714,8.522364,2.4910746
3493,Argentina/BuenosAires,A01,6,0.17330228,7.019278,5.0790877
3542,Argentina/BuenosAires,A04,1,0.17623155,6.903831,8.248082
3545,Argentina/BuenosAires,A02,0,0.13620532,8.834076,6.895217
3560,Argentina/BuenosAires,A06,5,0.12771913,6.366687,4.88839
3562,Argentina/BuenosAires,A03,7,0.15601805,8.636494,4.648628
3574,Argentina/BuenosAires,A06,5,0.16015516,6.5936165,2.746409
3595,Argentina/BuenosAires,A06,5,0.1376655,7.620187,5.2263536
3611,Argentina/BuenosAires,A04,1,0.15066688,6.753947,8.061775
3612,Argentina/BuenosAires,A02,0,0.13743755,9.185966,6.228501
3646,Argentina/BuenosAires,A06,5,0.18043841,6.367018,4.936561
