unit_id,city,n_road_nodes,n_panos,road_length_m,dominant_basis_id,activation_entropy,mean_within_activation_variance,mean_boundary_contrast,unit_confidence,centroid_lat,centroid_lon,top_basis_ids,top_basis_weights,stability_score
unit_005480,HongKong,7,7,159.6,25,3.0257,0.0,0.0,0.5,22.374087,114.116366,25|6|10|9|22,0.1271|0.0791|0.0768|0.0673|0.0653,
unit_005481,HongKong,32,32,515.6,15,3.0881,0.0,0.08409,0.521,22.375171,114.11988,15|11|5|1|9,0.0887|0.0810|0.0674|0.0655|0.0598,
unit_005482,HongKong,8,8,126.0,15,3.1192,0.0,0.0,0.5,22.376523,114.123265,15|7|12|16|2,0.0830|0.0676|0.0649|0.0628|0.0609,
unit_005483,HongKong,39,39,561.8,25,3.0419,0.0,0.0,0.5,22.370428,114.121618,25|11|28|20|3,0.1045|0.0872|0.0778|0.0606|0.0595,
unit_005484,HongKong,18,18,358.2,25,3.1435,0.0,0.0,0.5,22.37507,114.123323,25|11|10|15|17,0.0983|0.0848|0.0752|0.0691|0.0604,
unit_005485,HongKong,14,14,205.1,15,3.1267,0.0,0.0,0.5,22.377038,114.118377,15|7|10|27|17,0.0912|0.0756|0.0562|0.0511|0.0486,
unit_005486,HongKong,8,8,175.1,17,3.0379,0.0,0.0,0.5,22.377667,114.113811,17|15|9|26|11,0.1321|0.0935|0.0848|0.0573|0.0541,
unit_005487,HongKong,15,16,350.3,15,3.1241,8e-05,0.11077,0.5276,22.380479,114.112625,15|12|17|7|16,0.1051|0.0999|0.0806|0.0636|0.0617,
unit_005488,HongKong,8,8,175.1,15,3.0606,0.0,0.11077,0.5277,22.382773,114.111674,15|17|18|28|27,0.1149|0.1014|0.0836|0.0706|0.0688,
unit_005489,HongKong,12,12,275.2,17,3.0678,0.0,0.0,0.5,22.383734,114.109008,17|12|15|20|7,0.0971|0.0967|0.0941|0.0796|0.0741,
unit_005490,HongKong,12,16,275.2,15,3.1243,0.00011,0.0,0.5,22.386585,114.106902,15|20|17|30|7,0.1052|0.0780|0.0675|0.0663|0.0662,
unit_005491,HongKong,9,9,200.2,17,3.0047,0.0,0.0,0.5,22.388536,114.105175,17|15|30|16|26,0.1068|0.1040|0.0621|0.0559|0.0556,
unit_005492,HongKong,7,9,150.1,15,3.0211,1e-05,0.06088,0.5152,22.39152,114.10451,15|12|17|30|16,0.1185|0.0894|0.0756|0.0720|0.0572,
unit_005493,HongKong,6,8,125.1,17,2.9543,1e-05,0.06187,0.5155,22.392518,114.1037,17|15|30|19|16,0.1154|0.1131|0.0757|0.0586|0.0516,
unit_005494,HongKong,18,23,425.4,15,2.9856,0.00011,0.06285,0.5157,22.392152,114.102481,15|17|12|30|20,0.1149|0.1061|0.0979|0.0677|0.0646,
unit_005495,HongKong,24,24,454.3,17,2.9385,0.0,0.05644,0.5141,22.394784,114.102923,17|18|15|8|20,0.1257|0.0890|0.0807|0.0656|0.0616,
unit_005496,HongKong,79,104,1378.5,25,3.0736,6e-05,0.0,0.5,22.371256,114.113411,25|11|15|22|3,0.1157|0.1052|0.0714|0.0626|0.0585,
unit_005497,HongKong,7,7,111.8,9,3.1212,0.0,0.0,0.5,22.371724,114.108437,9|3|11|6|26,0.1029|0.0942|0.0863|0.0810|0.0732,
unit_005498,HongKong,23,23,402.0,15,3.1354,0.0,0.0,0.5,22.362123,114.115386,15|30|2|8|18,0.1331|0.0707|0.0705|0.0659|0.0657,
unit_005499,HongKong,41,41,657.7,25,3.0363,0.0,0.0,0.5,22.368182,114.115197,25|11|4|10|20,0.1121|0.0769|0.0627|0.0590|0.0460,
unit_005500,HongKong,11,11,213.7,25,2.9491,0.0,0.0,0.5,22.370207,114.119947,25|10|18|22|11,0.1098|0.1051|0.0868|0.0839|0.0677,
unit_005501,HongKong,20,20,277.1,25,3.0035,0.0,0.0,0.5,22.36869,114.121095,25|10|18|11|17,0.1256|0.1095|0.0937|0.0608|0.0575,
unit_005502,HongKong,24,24,334.0,25,3.0832,0.0,0.0,0.5,22.370343,114.111082,25|10|11|3|15,0.1338|0.1066|0.0877|0.0583|0.0561,
unit_005506,HongKong,10,16,228.5,26,3.0372,6e-05,0.0,0.5,22.360406,114.112513,26|9|24|2|8,0.1251|0.0983|0.0591|0.0560|0.0512,
unit_005507,HongKong,7,8,152.3,26,3.0336,1e-05,0.11685,0.5292,22.359417,114.106998,26|9|25|24|27,0.1225|0.0984|0.0863|0.0686|0.0642,
unit_005508,HongKong,11,12,207.8,22,3.0955,0.0,0.11685,0.5292,22.359199,114.105553,22|25|18|15|11,0.1081|0.1002|0.0752|0.0723|0.0715,
unit_005509,HongKong,6,7,134.5,22,3.0956,0.0,0.11523,0.5288,22.359379,114.105488,22|25|18|15|11,0.1082|0.1003|0.0752|0.0724|0.0715,
unit_005510,HongKong,9,12,151.6,26,3.0525,2e-05,0.11138,0.5278,22.359502,114.106859,26|9|25|24|27,0.1210|0.0974|0.0901|0.0687|0.0634,
unit_005511,HongKong,13,13,211.0,6,3.0955,0.0,0.0,0.5,22.359281,114.103149,6|25|15|9|18,0.1212|0.1148|0.0725|0.0695|0.0692,
unit_005512,HongKong,25,25,394.2,11,3.0312,0.0,0.0,0.5,22.360525,114.10343,11|15|25|1|2,0.1133|0.0765|0.0698|0.0658|0.0646,
unit_005513,HongKong,10,10,178.6,20,3.092,0.0,0.0,0.5,22.360528,114.098726,20|2|3|11|5,0.0803|0.0746|0.0662|0.0565|0.0539,
unit_005515,HongKong,16,16,231.5,25,3.0541,0.0,0.0,0.5,22.378938,114.104331,25|10|11|12|22,0.1162|0.1016|0.0802|0.0713|0.0706,
unit_005516,HongKong,12,12,202.5,25,3.128,0.0,0.0,0.5,22.376783,114.105834,25|11|8|27|1,0.0969|0.0923|0.0732|0.0701|0.0617,
unit_005517,HongKong,4,5,75.9,11,3.0846,0.0,0.0,0.5,22.376772,114.107031,11|25|24|27|3,0.0960|0.0954|0.0697|0.0601|0.0585,
unit_005519,HongKong,8,8,176.0,26,3.1529,0.0,0.0,0.5,22.378326,114.128002,26|9|10|27|2,0.0874|0.0783|0.0740|0.0672|0.0643,
unit_005520,HongKong,9,13,201.1,15,3.1492,7e-05,0.0,0.5,22.380621,114.133034,15|26|17|27|16,0.1204|0.0676|0.0668|0.0667|0.0655,
unit_005521,HongKong,12,12,228.3,26,3.0046,0.0,0.0,0.5,22.381545,114.134857,26|15|6|17|30,0.0955|0.0889|0.0748|0.0700|0.0688,
