family_id,seed_coverage,seed_11_activation_pct,seed_23_activation_pct,seed_37_activation_pct,seed_53_activation_pct,seed_71_activation_pct,mean_activation_pct,range_pp,coefficient_of_variation
stable_0255,5,0.341600,0.280000,0.350800,0.317200,0.228800,0.303680,0.122000,0.147329
stable_0399,5,1.584000,1.589200,1.561200,1.466800,1.578800,1.556000,0.122400,0.029296
stable_0074,5,0.236000,0.220400,0.216400,0.132800,0.256000,0.212320,0.123200,0.198420
stable_0534,5,0.348800,0.357600,0.336400,0.234000,0.275200,0.310400,0.123600,0.154198
stable_0462,5,0.671200,0.675200,0.551200,0.635200,0.602000,0.626960,0.124000,0.073836
stable_0549,5,1.063600,1.002400,1.103200,1.122400,1.128000,1.083920,0.125600,0.042984
stable_0121,5,0.665200,0.555600,0.682000,0.665200,0.626800,0.638960,0.126400,0.071123
stable_0312,5,0.510400,0.437600,0.484800,0.564000,0.495600,0.498480,0.126400,0.081916
stable_0574,5,0.711200,0.711200,0.696400,0.583200,0.652400,0.670880,0.128000,0.072816
stable_0515,5,0.380800,0.432800,0.304400,0.351600,0.413200,0.376560,0.128400,0.120844
stable_0278,5,0.788800,0.664000,0.716800,0.710000,0.660000,0.707920,0.128800,0.065803
stable_0617,5,0.539600,0.572400,0.549600,0.578800,0.668400,0.581760,0.128800,0.078450
stable_0299,5,0.538000,0.496400,0.451600,0.508800,0.580800,0.515120,0.129200,0.083555
stable_0579,5,0.225200,0.318800,0.354400,0.315600,0.324000,0.307600,0.129200,0.141247
stable_0050,5,0.218400,0.246400,0.156800,0.286000,0.225600,0.226640,0.129200,0.185743
stable_0337,5,0.434800,0.452000,0.442800,0.564400,0.456000,0.470000,0.129600,0.101640
stable_0687,5,0.711200,0.814000,0.684000,0.759200,0.684000,0.730480,0.130000,0.068429
stable_0308,5,0.732400,0.843200,0.863600,0.753600,0.815600,0.801680,0.131200,0.063269
stable_0148,5,0.537600,0.449600,0.505600,0.479600,0.581200,0.510720,0.131600,0.089387
stable_0565,5,0.478000,0.346400,0.362400,0.365200,0.372400,0.384880,0.131600,0.122972
stable_0172,5,0.746400,0.736800,0.701600,0.799600,0.667200,0.730320,0.132400,0.060957
stable_0368,5,0.784400,0.810400,0.812800,0.889200,0.756000,0.810560,0.133200,0.054759
stable_0395,5,0.296000,0.393200,0.259600,0.338400,0.328800,0.323200,0.133600,0.138005
stable_0603,5,0.500000,0.520800,0.457200,0.519200,0.386000,0.476640,0.134800,0.106569
stable_0719,5,1.360400,1.485600,1.451200,1.350000,1.476400,1.424720,0.135600,0.040684
stable_0844,4,0.086000,0.000000,0.093600,0.136400,0.133600,0.089920,0.136400,0.548950
stable_0505,5,0.546800,0.657600,0.538800,0.644000,0.521200,0.581680,0.136400,0.098341
stable_0147,5,0.477200,0.497200,0.450400,0.444800,0.582400,0.490400,0.137600,0.101401
stable_0499,5,0.389600,0.323600,0.297200,0.300400,0.251200,0.312400,0.138400,0.144619
stable_0152,5,0.422800,0.410800,0.407600,0.319600,0.284000,0.368960,0.138800,0.152343
stable_0397,5,0.848000,0.926800,0.843200,0.852800,0.982400,0.890640,0.139200,0.061963
stable_0674,5,0.478800,0.488400,0.460000,0.347600,0.375600,0.430080,0.140800,0.133331
stable_0692,5,0.939600,0.834400,0.967200,0.975200,0.953200,0.933920,0.140800,0.054849
stable_0818,4,0.131600,0.134000,0.000000,0.129600,0.141600,0.107360,0.141600,0.501433
stable_0703,5,1.261600,1.223200,1.218000,1.363200,1.278400,1.268880,0.145200,0.041276
stable_0601,5,0.998000,0.918000,0.990400,0.852400,0.907200,0.933200,0.145600,0.058510
stable_0470,5,0.326400,0.243600,0.268400,0.180800,0.200000,0.243840,0.145600,0.211635
stable_0851,4,0.000000,0.130400,0.085200,0.126400,0.146000,0.097600,0.146000,0.540754
stable_0620,5,0.500000,0.598800,0.500400,0.452400,0.512400,0.512800,0.146400,0.092959
stable_0572,5,1.059200,1.041200,1.138400,1.187600,1.069200,1.099120,0.146400,0.050189
stable_0071,5,0.454400,0.502000,0.358800,0.422400,0.355200,0.418560,0.146800,0.134504
stable_0246,5,0.754400,0.778800,0.817600,0.850000,0.703200,0.780800,0.146800,0.064967
stable_0511,5,0.548400,0.435600,0.529600,0.542000,0.582400,0.527600,0.146800,0.093283
stable_0296,5,0.270400,0.172800,0.204000,0.124000,0.122400,0.178720,0.148000,0.308968
stable_0544,5,0.197600,0.234400,0.230000,0.345600,0.306400,0.262800,0.148000,0.207654
stable_0421,5,0.766800,0.761600,0.797200,0.649200,0.692400,0.733440,0.148000,0.074058
stable_0697,5,0.640400,0.692800,0.656800,0.706400,0.788400,0.696960,0.148000,0.073943
