city,element_id,morans_i,expected_i,p_value,z_score,grid_size_m,minimum_panoramas
Sydney,F018,0.32416563524552416,-0.0009233610341643582,0.001,12.073321592020964,1000,5
Sydney,F019,0.0663208954155895,-0.0009233610341643582,0.012,2.5262970451863573,1000,5
Sydney,F020,0.07065958657038504,-0.0009233610341643582,0.011,2.660780704218564,1000,5
Sydney,F021,0.2204259572651477,-0.0009233610341643582,0.001,8.104227062018525,1000,5
Sydney,F022,0.10169758085167131,-0.0009233610341643582,0.001,3.7809606971691716,1000,5
Sydney,F023,0.13563336065634143,-0.0009233610341643582,0.001,5.3277988984514355,1000,5
Sydney,F024,0.11920499836809575,-0.0009233610341643582,0.001,4.54699689819171,1000,5
Sydney,F025,0.16121815700275285,-0.0009233610341643582,0.001,6.081957601503641,1000,5
Sydney,F026,0.016762062404121474,-0.0009233610341643582,0.497,0.6476415963991886,1000,5
Sydney,F027,0.16051233781737553,-0.0009233610341643582,0.001,6.012852679601844,1000,5
Sydney,F028,0.40523139335183406,-0.0009233610341643582,0.001,15.384519478929898,1000,5
Sydney,F029,0.0988208339975653,-0.0009233610341643582,0.003,3.610860271403916,1000,5
Sydney,F030,0.3199330435954667,-0.0009233610341643582,0.001,12.431810305101006,1000,5
Sydney,F031,0.10359356584812021,-0.0009233610341643582,0.002,3.9676345689049812,1000,5
Sydney,F032,0.12366604615013925,-0.0009233610341643582,0.001,4.451558956010574,1000,5
Sydney,F033,0.1229311357056378,-0.0009233610341643582,0.001,4.6284585968827345,1000,5
Sydney,F034,0.12154658513811041,-0.0009233610341643582,0.001,4.548801401491169,1000,5
Sydney,F035,0.19371730900916545,-0.0009233610341643582,0.001,7.386693440324444,1000,5
Sydney,F036,0.046012770994997454,-0.0009233610341643582,0.086,1.7138671841019841,1000,5
Sydney,F037,0.05197572842376512,-0.0009233610341643582,0.048,2.009598861866052,1000,5
Sydney,F038,0.10885381606693552,-0.0009233610341643582,0.001,4.080742297628392,1000,5
Sydney,F039,0.07135389197272465,-0.0009233610341643582,0.008,2.709260019927707,1000,5
Sydney,F040,0.17289895962108245,-0.0009233610341643582,0.001,6.428102966871468,1000,5
Sydney,F041,0.3705744649646492,-0.0009233610341643582,0.001,13.367227692229378,1000,5
Sydney,F042,0.034483558166993326,-0.0009233610341643582,0.178,1.3728118854171916,1000,5
Sydney,F043,0.1815266496618394,-0.0009233610341643582,0.001,6.711910979221052,1000,5
Sydney,F044,0.06186943460948692,-0.0009233610341643582,0.022,2.2430486110014622,1000,5
Sydney,F045,0.15824298202804302,-0.0009233610341643582,0.001,5.891849005780928,1000,5
Sydney,F046,0.15476317593979927,-0.0009233610341643582,0.001,5.6960669443691465,1000,5
Sydney,F047,0.10329902370546015,-0.0009233610341643582,0.001,3.970878024463774,1000,5
