gene,class,prevalence_n_cities,category,label,top_city,top_city_zh,top_share,top_lift_vs_global_mean,min_share_across_12,max_share,city_specificity_0to1,city_entropy_bits,present_cities_by_share,share_HongKong,share_Singapore,share_Amsterdam,share_CapeTown,share_Paris,share_SaoPaulo,share_MexicoCity,share_Sydney,share_Jakarta,share_Dhaka,share_NewDelhi,share_Manila,lift_HongKong,lift_Singapore,lift_Amsterdam,lift_CapeTown,lift_Paris,lift_SaoPaulo,lift_MexicoCity,lift_Sydney,lift_Jakarta,lift_Dhaka,lift_NewDelhi,lift_Manila
20,accessory_6to8cities,6,辅助型 6-8城,辅助型 6-8城,MexicoCity,墨西哥城,0.004842687074829932,6.436543442429952,0.0,0.004842687074829932,0.3775971588763184,2.231290845770706,Singapore|CapeTown|SaoPaulo|MexicoCity|Jakarta|Manila,3.1887755102040818e-06,0.000584608843537415,0.0,0.0005357142857142857,2.9761904761904762e-05,0.0010746173469387756,0.004842687074829932,3.826530612244898e-05,0.0005814200680272108,2.9761904761904762e-05,0.00046237244897959185,0.0008460884353741496,0.004238285848834472,0.7770190722863198,0.0,0.7120320226041913,0.03955733458912174,1.4283023310572172,6.436543442429952,0.05085943018601366,0.7727807864374853,0.03955733458912174,0.6145514480809985,1.1245585118907464
21,core_universal_12cities,12,12城共有基因,12城共有基因,Sydney,悉尼,0.010968324829931974,1.7954934315459796,0.002881590136054422,0.010968324829931974,0.0189582375921189,3.516997929873648,HongKong|Singapore|Amsterdam|CapeTown|Paris|SaoPaulo|MexicoCity|Sydney|Jakarta|Dhaka|NewDelhi|Manila,0.002881590136054422,0.007546768707482993,0.005954506802721088,0.005094600340136054,0.005643069727891157,0.00619579081632653,0.005892857142857143,0.010968324829931974,0.003780824829931973,0.006662414965986394,0.006056547619047619,0.006628401360544218,0.4717106980251139,1.2353913522605344,0.9747411768117624,0.8339761621668649,0.9237595336832645,1.014238900327698,0.964649247455268,1.7954934315459796,0.6189136676043269,1.0906243656294408,0.991445059884581,1.0850564046051678
22,near_core_9to11cities,11,近核心 9-11城,近核心 9-11城,Paris,巴黎,0.001915391156462585,1.797954602145174,0.0004772534013605442,0.001915391156462585,0.03906305498871421,3.444922913423007,HongKong|Singapore|CapeTown|Paris|SaoPaulo|MexicoCity|Sydney|Jakarta|Dhaka|NewDelhi|Manila,0.0014593962585034014,0.0009821428571428572,0.0004772534013605442,0.0005612244897959184,0.001915391156462585,0.0008886054421768707,0.0006218112244897959,0.0018027210884353742,0.001091624149659864,0.0005601615646258503,0.0009672619047619048,0.0014562074829931972,1.3699176852082817,0.9219256672486907,0.44799201795959104,0.5268146669992518,1.797954602145174,0.8341232227488155,0.5836867049139438,1.6921925667248696,1.0246944375155902,0.5258169119481169,0.9079570965328015,1.366924420054877
23,regional_3to5cities,5,区域型 3-5城,区域型 3-5城,CapeTown,开普敦,0.0027816751700680273,3.9196205691462804,0.00021577380952380953,0.0027816751700680273,0.16106958736504773,3.0075340700108297,Amsterdam|CapeTown|Paris|MexicoCity|NewDelhi,0.0002455357142857143,0.0003592687074829932,0.0016326530612244899,0.0027816751700680273,0.0007557397959183673,0.00026466836734693875,0.0006675170068027211,0.000273171768707483,0.00021577380952380953,0.0003231292517006803,0.0007493622448979592,0.00024766156462585035,0.34598102845731404,0.5062406390414378,2.3005491762356467,3.9196205691462804,1.0649026460309534,0.37294058911632544,0.9405891163255117,0.3849226160758861,0.3040439340988517,0.455317024463305,1.055916125811283,0.3489765351972042
24,pair_specific_2cities,2,双城特异,双城特异,HongKong,香港,0.0007153486394557824,2.3517763541059993,9.77891156462585e-05,0.0007153486394557824,0.07616472919672646,3.31191480267331,HongKong|MexicoCity,0.0007153486394557824,0.00031462585034013605,0.0002264030612244898,0.00036564625850340137,9.77891156462585e-05,0.00022427721088435373,0.0006898384353741496,0.0002115221088435374,0.00011798469387755103,9.885204081632654e-05,0.00026785714285714287,0.0003199404761904762,2.3517763541059993,1.0343622597553874,0.7443214909726267,1.202096680256261,0.3214909726266744,0.7373325567850902,2.267909143855562,0.6953989516598719,0.38788584740827026,0.3249854397204427,0.8806057076295866,1.0518345952242285
25,city_unique_1city,1,单城独有,单城独有,Dhaka,达卡,0.0008492772108843538,11.4688995215311,0.0,0.0008492772108843538,0.9178642467684731,0.2944535953035103,Dhaka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0629251700680272e-06,0.0008492772108843538,5.314625850340136e-06,3.295068027210884e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01435406698564593,11.4688995215311,0.07177033492822965,0.4449760765550238
26,regional_3to5cities,3,区域型 3-5城,区域型 3-5城,NewDelhi,新德里,0.0011904761904761906,2.9993305065833527,7.4404761904761905e-06,0.0011904761904761906,0.157293116129669,3.0210725777747145,HongKong|Dhaka|NewDelhi,0.0006079931972789116,0.00010629251700680272,0.00013180272108843536,2.9761904761904762e-05,0.00019451530612244898,0.00022002551020408164,0.0003826530612244898,7.4404761904761905e-06,0.0004953231292517007,0.0009183673469387755,0.0011904761904761906,0.00047831632653061223,1.5318009372907835,0.2677973666592279,0.3320687346574426,0.07498326266458381,0.490069180986387,0.5543405489846017,0.9640705199732204,0.018745815666145953,1.247935728632002,2.313769247935729,2.9993305065833527,1.2050881499665256
27,pair_specific_2cities,2,双城特异,双城特异,Manila,马尼拉,0.000586734693877551,1.8349030470914125,0.00010841836734693877,0.000586734693877551,0.051896361297153804,3.398915991546983,MexicoCity|Manila,0.0001913265306122449,0.00016262755102040816,0.00010841836734693877,0.00018069727891156462,0.00020089285714285714,0.0004644982993197279,0.0005357142857142857,0.00016581632653061225,0.0004347363945578231,0.0003975340136054422,0.00040816326530612246,0.000586734693877551,0.5983379501385041,0.5085872576177285,0.3390581717451523,0.5650969529085872,0.6282548476454293,1.4526315789473683,1.6753462603878115,0.5185595567867036,1.359556786703601,1.2432132963988918,1.2764542936288088,1.8349030470914125
28,near_core_9to11cities,10,近核心 9-11城,近核心 9-11城,Amsterdam,阿姆斯特丹,0.002453231292517007,2.1076021611749485,0.0004134778911564626,0.002453231292517007,0.05766440542118789,3.378237769659816,Singapore|Amsterdam|Paris|SaoPaulo|MexicoCity|Sydney|Jakarta|Dhaka|NewDelhi|Manila,0.0004761904761904762,0.002418154761904762,0.002453231292517007,0.0004134778911564626,0.0013031462585034014,0.0010395408163265307,0.0006802721088435374,0.0013860544217687075,0.0008492772108843538,0.0011362670068027212,0.0012053571428571428,0.0006069302721088436,0.4091012860512898,2.077467468229206,2.1076021611749485,0.35522410775435653,1.119549501560003,0.8930827182101818,0.5844304086446996,1.1907769576135756,0.7296248382923674,0.9761814169393501,1.0355376303173274,0.521421505212693
29,pair_specific_2cities,2,双城特异,双城特异,NewDelhi,新德里,0.0018027210884353742,4.440759327951124,7.546768707482993e-05,0.0018027210884353742,0.1927573124922224,2.893934763696749,Dhaka|NewDelhi,7.546768707482993e-05,9.247448979591836e-05,0.00015518707482993198,0.00032206632653061226,7.971938775510203e-05,0.00023384353741496598,0.0004931972789115646,0.0001254251700680272,0.000311437074829932,0.0008110119047619048,0.0018027210884353742,0.00036883503401360544,0.18590442941304822,0.2277983853371154,0.38228234780711323,0.7933667903120226,0.196377918394065,0.576041893955924,1.2149247217979489,0.3089679249399956,0.7671830678594806,1.9978180231289546,4.440759327951124,0.9085751691032075
30,regional_3to5cities,4,区域型 3-5城,区域型 3-5城,Manila,马尼拉,0.0022831632653061225,3.5770191507077436,0.0,0.0022831632653061225,0.3074353226373353,2.482818397669199,Singapore|Jakarta|Dhaka|Manila,0.00039647108843537417,0.0013786139455782313,0.0,0.0,3.1887755102040818e-06,0.0001987670068027211,1.2755102040816327e-05,4.889455782312925e-05,0.002102465986394558,0.0007472363945578231,0.0004878826530612245,0.0022831632653061225,0.6211490424646128,2.159866777685262,0.0,0.0,0.004995836802664446,0.31140716069941715,0.019983347210657785,0.07660283097418817,3.2939217318900917,1.170691090757702,0.7643630308076602,3.5770191507077436
31,regional_3to5cities,3,区域型 3-5城,区域型 3-5城,Sydney,悉尼,0.0005665391156462585,1.7518488085456034,7.334183673469388e-05,0.0005665391156462585,0.057875055210680704,3.377482598063699,SaoPaulo|MexicoCity|Sydney,0.0002689200680272109,0.00022852891156462584,0.0004730017006802721,0.00011798469387755103,0.0004421768707482993,0.0005399659863945578,0.0005261479591836735,0.0005665391156462585,0.00016262755102040816,7.334183673469388e-05,0.0002380952380952381,0.00024340986394557823,0.831552999178307,0.706655710764174,1.4626129827444532,0.3648315529991782,1.3672966310599832,1.6696795398520947,1.6269515201314704,1.7518488085456034,0.5028759244042726,0.22678718159408373,0.7362366474938371,0.7526705012325388
32,regional_3to5cities,5,区域型 3-5城,区域型 3-5城,Amsterdam,阿姆斯特丹,0.0008737244897959183,1.6986395729292234,0.000234906462585034,0.0008737244897959183,0.027437429242122557,3.4866003457719565,Singapore|Amsterdam|Paris|MexicoCity|Dhaka,0.000234906462585034,0.0007844387755102041,0.0008737244897959183,0.0003592687074829932,0.0006313775510204081,0.00042410714285714285,0.000550595238095238,0.00043686224489795916,0.0004347363945578231,0.0007355442176870748,0.00037627551020408164,0.0003305697278911565,0.4566902014809712,1.525055966936456,1.6986395729292234,0.6984673669708972,1.2274840709488548,0.8245221284656449,1.0704322369553987,0.8493197864646117,0.8451868434647839,1.4299982779404168,0.7315309109695196,0.642672636473222
33,near_core_9to11cities,11,近核心 9-11城,近核心 9-11城,Sydney,悉尼,0.0012957057823129252,1.4680851063829785,0.0004804421768707483,0.0012957057823129252,0.013774573817667446,3.535581170121403,HongKong|Singapore|Amsterdam|Paris|SaoPaulo|MexicoCity|Sydney|Jakarta|Dhaka|NewDelhi|Manila,0.0008450255102040817,0.0007631802721088435,0.001251062925170068,0.0004804421768707483,0.0006887755102040817,0.0007153486394557824,0.0008673469387755102,0.0012957057823129252,0.0010448554421768708,0.0007929421768707483,0.0007568027210884354,0.0010894982993197278,0.9574468085106382,0.864712966680048,1.4175030108390203,0.5443596949016458,0.7804094741067843,0.8105178643115214,0.9827378562826173,1.4680851063829785,1.1838619028502608,0.8984343637093536,0.8574869530309112,1.234443998394219
34,core_universal_12cities,12,12城共有基因,12城共有基因,MexicoCity,墨西哥城,0.002038690476190476,1.4701073071027082,0.0006430697278911564,0.002038690476190476,0.02319773730396013,3.501799482384879,HongKong|Singapore|Amsterdam|CapeTown|Paris|SaoPaulo|MexicoCity|Sydney|Jakarta|Dhaka|NewDelhi|Manila,0.0020195578231292518,0.001879251700680272,0.0011065051020408164,0.0013786139455782313,0.0014317602040816327,0.0012861394557823129,0.002038690476190476,0.0017803996598639456,0.0014572704081632652,0.0007865646258503401,0.0006430697278911564,0.0008333333333333334,1.4563106796116505,1.3551354113438936,0.7979049565661728,0.9941236586612162,1.0324476239141545,0.9274399591211038,1.4701073071027082,1.2838528359734287,1.0508431272355645,0.567194685743485,0.4637199795605519,0.6009197751660705
35,city_unique_1city,1,单城独有,单城独有,Amsterdam,阿姆斯特丹,0.0010852465986394557,6.344899016053857,1.4880952380952381e-05,0.0010852465986394557,0.3512293453669354,2.325818468427853,Amsterdam,0.0002699829931972789,1.4880952380952381e-05,0.0010852465986394557,2.0195578231292517e-05,0.000275297619047619,5.5272108843537416e-05,8.822278911564626e-05,3.082482993197279e-05,2.5510204081632654e-05,0.00010097789115646258,5.8460884353741495e-05,2.7636054421768708e-05,1.5784567581563955,0.0870015535991714,6.344899016053857,0.11807353702744691,1.6095287415846709,0.3231486276540652,0.5157949249093734,0.18021750388399793,0.1491455204557224,0.5903676851372345,0.3417918177110305,0.1615743138270326
36,pair_specific_2cities,2,双城特异,双城特异,Dhaka,达卡,0.0025467687074829932,6.90821720326766,1.0629251700680272e-06,0.0025467687074829932,0.4443857447485091,1.9918562699427074,Dhaka|NewDelhi,2.33843537414966e-05,1.16921768707483e-05,1.0629251700680272e-06,0.00012755102040816328,6.3775510204081635e-06,0.00012223639455782314,0.00023065476190476191,6.3775510204081635e-06,0.0003730867346938775,0.0025467687074829932,0.0008067602040816327,0.0001679421768707483,0.06343104276790006,0.03171552138395003,0.0028832292167227293,0.34598750600672756,0.017299375300336376,0.33157135992311393,0.6256607400288323,0.017299375300336376,1.012013455069678,6.90821720326766,2.1883709754925516,0.4555502162421912
37,city_unique_1city,1,单城独有,单城独有,Singapore,新加坡,0.0006441326530612245,1.9928747602082764,0.00022427721088435373,0.0006441326530612245,0.020718121553213953,3.5106888118675013,Singapore,0.00024766156462585035,0.0006441326530612245,0.0002508503401360544,0.00040072278911564626,0.00034119897959183676,0.00029761904761904765,0.00023703231292517007,0.0003730867346938775,0.0002465986394557823,0.0003422619047619048,0.000273171768707483,0.00022427721088435373,0.7662373252946013,1.9928747602082764,0.7761030419292957,1.2397917237599343,1.0556316799123049,0.9208002192381475,0.7333516031789531,1.154288846259249,0.7629487530830364,1.0589202521238696,0.8451630583721567,0.6938887366401754
