city_a,city_b,composition_similarity,cooccurrence_similarity,pattern
Mumbai,Singapore,0.9341192798737299,0.28736828231912825,low_both
Mumbai,CapeTown,0.9191088191709827,0.27486878456771835,low_both
Mumbai,Johannesburg,0.9256632644970709,0.23638158425471825,low_both
Mumbai,Seoul,0.9604640274612583,0.35727400668534937,high_composition_low_cooccurrence
Mumbai,Taipei,0.967728808894911,0.3592248579709359,high_both
Mumbai,Bangkok,0.9590224419103995,0.3265675176720599,high_composition_low_cooccurrence
Mumbai,Istanbul,0.9620620077042799,0.41106766385701243,high_both
Mumbai,London,0.9296085968256222,0.25637341871000274,low_both
Mumbai,LosAngeles,0.9231209020680533,0.19368703039475604,low_both
Mumbai,NewYorkCity,0.9478504628472836,0.18273422052442723,high_composition_low_cooccurrence
NewDelhi,Jakarta,0.9477937193055702,0.47470854393665085,high_both
NewDelhi,Osaka,0.9378701171559698,0.43643649446827093,low_composition_high_cooccurrence
NewDelhi,KualaLumpur,0.9216461489835361,0.46278807063512983,low_composition_high_cooccurrence
NewDelhi,MexicoCity,0.9442408435125786,0.46172748309589384,high_both
NewDelhi,Amsterdam,0.9125725955038897,0.4336327569424193,low_composition_high_cooccurrence
NewDelhi,Lagos,0.8916707787373885,0.3359767061735569,low_both
NewDelhi,Lima,0.9239607336697744,0.38358339734198243,low_composition_high_cooccurrence
NewDelhi,Manila,0.9631201307062958,0.5558538984664791,high_both
NewDelhi,Moscow,0.9454120294475965,0.30965183296627363,high_composition_low_cooccurrence
NewDelhi,Singapore,0.9112733192783481,0.3207113303359828,low_both
NewDelhi,CapeTown,0.903473808157567,0.3772435926482315,low_composition_high_cooccurrence
NewDelhi,Johannesburg,0.916562421055153,0.3952426408646865,low_composition_high_cooccurrence
NewDelhi,Seoul,0.9559184581921625,0.404445292353916,high_both
NewDelhi,Taipei,0.9529515581929068,0.5067719104936392,high_both
NewDelhi,Bangkok,0.948444220411195,0.4609802159625063,high_both
NewDelhi,Istanbul,0.9647803069740314,0.46416614201188144,high_both
NewDelhi,London,0.923507382713692,0.33744559556285547,low_both
NewDelhi,LosAngeles,0.9070382586082261,0.22422900052966677,low_both
NewDelhi,NewYorkCity,0.9385465590228305,0.23123877233110796,low_both
Jakarta,Osaka,0.9051413095769394,0.362411449131478,low_composition_high_cooccurrence
Jakarta,KualaLumpur,0.9607153462438077,0.5062068098961368,high_both
Jakarta,MexicoCity,0.9253161994601558,0.3929384578577769,low_composition_high_cooccurrence
Jakarta,Amsterdam,0.9231258978626221,0.3507533423573993,low_both
Jakarta,Lagos,0.9193452507020553,0.31102720898887487,low_both
Jakarta,Lima,0.9065812431788699,0.31629378964417293,low_both
