gene,class,prevalence_n_cities,category,label,top_city,top_city_zh,top_share,top_lift_vs_global_mean,min_share_across_12,max_share,city_specificity_0to1,city_entropy_bits,present_cities_by_share,share_HongKong,share_Singapore,share_Amsterdam,share_CapeTown,share_Paris,share_SaoPaulo,share_MexicoCity,share_Sydney,share_Jakarta,share_Dhaka,share_NewDelhi,share_Manila,lift_HongKong,lift_Singapore,lift_Amsterdam,lift_CapeTown,lift_Paris,lift_SaoPaulo,lift_MexicoCity,lift_Sydney,lift_Jakarta,lift_Dhaka,lift_NewDelhi,lift_Manila
318,regional_3to5cities,3,建筑立面,住宅·楼房,Amsterdam,阿姆斯特丹,0.0025924745,5.1646374,5.3146259e-06,0.0025924745,0.44349799,1.9950389,Amsterdam|Paris|MexicoCity,1.8069728e-05,2.7636054e-05,0.0025924745,0.00025297619,0.0019664116,4.1454082e-05,0.00085459184,0.00022746599,8.5034014e-06,5.3146259e-06,1.3818027e-05,1.4880952e-05,0.035997882,0.055055585,5.1646374,0.50397035,3.9174166,0.082583377,1.7024881,0.45314981,0.01694018,0.010587612,0.027527792,0.029645315
319,accessory_6to8cities,7,路面·道路,路口·人行道,SaoPaulo,圣保罗,0.00083864796,1.5564688,0.00020301871,0.00083864796,0.03842573,3.4472077,SaoPaulo|Manila|NewDelhi|Jakarta|MexicoCity|Dhaka|HongKong,0.00058992347,0.00031462585,0.00020301871,0.00029761905,0.0003422619,0.00083864796,0.00070046769,0.00025616497,0.00070153061,0.00065795068,0.00076318027,0.00080038265,1.0948545,0.58392241,0.37678777,0.55235903,0.63521289,1.5564688,1.3000164,0.47542331,1.3019891,1.221108,1.4164064,1.4854513
320,near_core_9to11cities,10,建筑立面,沿街立面,Dhaka,达卡,0.004545068,4.1602076,0.00015093537,0.004545068,0.14475178,3.0660328,Dhaka|Manila|Paris|Singapore|HongKong|Amsterdam|Jakarta|NewDelhi|SaoPaulo|Sydney,0.00085459184,0.0010055272,0.00083864796,0.00015093537,0.0013222789,0.00066645408,0.00028061224,0.00051764456,0.00071109694,0.004545068,0.00068239796,0.0015348639,0.78222799,0.92038268,0.76763418,0.13815469,1.210313,0.61002108,0.25685098,0.47381223,0.65088374,4.1602076,0.62461489,1.404897
321,regional_3to5cities,5,路面·道路,路口·人行道,CapeTown,开普敦,0.0013998724,2.4744011,8.0782313e-05,0.0013998724,0.14255238,3.0739176,CapeTown|Sydney|Paris|Amsterdam|HongKong,0.00064413265,0.00023384354,0.00087266156,0.0013998724,0.0011181973,0.00015625,0.00013286565,0.0013531037,8.0782313e-05,0.00045280612,0.00018388605,0.0001605017,1.1385627,0.4133396,1.5425082,2.4744011,1.9765148,0.276186,0.23485204,2.3917332,0.14279004,0.80037576,0.32503523,0.28370127
322,accessory_6to8cities,6,植被,树冠,MexicoCity,墨西哥城,0.0071662415,4.9211679,9.5663265e-06,0.0071662415,0.28927781,2.5479124,MexicoCity|Amsterdam|Sydney|CapeTown|Paris|NewDelhi,0.00015943878,0.00022321429,0.0026009779,0.0022491497,0.0011904762,8.6096939e-05,0.0071662415,0.0022980442,9.5663265e-06,0.00017113095,0.0011001276,0.00022002551,0.10948905,0.15328467,1.7861314,1.5445255,0.81751825,0.059124088,4.9211679,1.5781022,0.0065693431,0.11751825,0.75547445,0.15109489
323,core_universal_12cities,12,路面·道路,车行道,Singapore,新加坡,0.0032504252,1.9708899,0.0010150935,0.0032504252,0.024210626,3.4981683,Singapore|Sydney|Amsterdam|CapeTown|SaoPaulo|NewDelhi|Manila|Dhaka|MexicoCity|Jakarta|Paris|HongKong,0.0010150935,0.0032504252,0.0021694303,0.0018144133,0.001078869,0.001506165,0.0013849915,0.0021747449,0.0011150085,0.0014019983,0.0014434524,0.0014360119,0.6155003,1.9708899,1.3154305,1.1001665,0.65417047,0.91326065,0.83978731,1.318653,0.67608357,0.85009936,0.87523497,0.87072345
324,regional_3to5cities,5,路面·道路,车行道,SaoPaulo,圣保罗,0.0009289966,1.8033012,0.00014136905,0.0009289966,0.043407759,3.4293473,SaoPaulo|MexicoCity|Paris|Manila|Singapore,0.00041454082,0.00057716837,0.00041772959,0.00036989796,0.00068983844,0.0009289966,0.00092261905,0.00045280612,0.00032312925,0.00026998299,0.00014136905,0.00067389456,0.80467675,1.1203576,0.81086657,0.71801926,1.3390646,1.8033012,1.7909216,0.87895461,0.62723521,0.52407153,0.27441541,1.3081155
325,near_core_9to11cities,9,路面·道路,车行道,Sydney,悉尼,0.0022480867,2.113943,0.00010522959,0.0022480867,0.095728011,3.2417812,Sydney|Singapore|MexicoCity|SaoPaulo|HongKong|CapeTown|Paris|Amsterdam|Manila,0.001377551,0.0021141582,0.00067389456,0.0012755102,0.0010778061,0.001391369,0.0014934099,0.0022480867,0.00030931122,0.00010522959,0.00014455782,0.00055059524,1.2953523,1.988006,0.63368316,1.1994003,1.0134933,1.3083458,1.4042978,2.113943,0.29085457,0.098950525,0.13593203,0.51774113
326,unused,0,路面·道路,车行道,HongKong,香港,0.00026892007,3.1042944,2.6573129e-05,0.00026892007,0.085743685,3.2775746,,0.00026892007,0.00013180272,3.6139456e-05,2.6573129e-05,4.3579932e-05,5.7397959e-05,9.460034e-05,5.6335034e-05,4.7831633e-05,7.0153061e-05,0.00011479592,9.1411565e-05,3.1042944,1.5214724,0.41717791,0.30674846,0.50306748,0.66257668,1.0920245,0.65030674,0.55214723,0.80981594,1.3251534,1.0552147
327,unused,0,建筑立面,住宅·楼房,Singapore,新加坡,3.7202381e-05,1.6666666,8.5034014e-06,3.7202381e-05,0.036451239,3.4542862,,2.6573129e-05,3.7202381e-05,1.5943878e-05,8.5034014e-06,3.7202381e-05,2.869898e-05,2.9761905e-05,2.3384354e-05,1.2755102e-05,1.7006803e-05,1.0629252e-05,2.0195578e-05,1.1904761,1.6666666,0.71428568,0.38095236,1.6666666,1.2857142,1.3333333,1.047619,0.57142855,0.76190473,0.47619045,0.90476186
328,accessory_6to8cities,8,建筑立面,住宅·楼房,Manila,马尼拉,0.0068431122,2.7856061,6.0586735e-05,0.0068431122,0.23644099,2.7373304,Manila|CapeTown|MexicoCity|SaoPaulo|Jakarta|HongKong|Paris|Sydney,0.00074723639,0.00025403912,6.0586735e-05,0.0060416667,0.00071960034,0.0043909439,0.0057727466,0.0006207483,0.0037542517,8.9285714e-05,0.00018494898,0.0068431122,0.30417538,0.10341098,0.024662869,2.459364,0.29292565,1.787409,2.3498954,0.25268623,1.5282325,0.03634528,0.075286652,2.7856061
329,core_universal_12cities,12,路面·道路,车行道,NewDelhi,新德里,0.013959396,2.4282897,0.0032855017,0.013959396,0.035393569,3.4580779,NewDelhi|MexicoCity|Sydney|Paris|Manila|SaoPaulo|HongKong|Jakarta|CapeTown|Dhaka|Amsterdam|Singapore,0.0048097364,0.0032855017,0.003735119,0.0046152211,0.0056260629,0.0050191327,0.0069770408,0.0068835034,0.0046428571,0.0041241497,0.013959396,0.0053061224,0.8366718,0.57152542,0.64973806,0.80283513,0.97867488,0.87309707,1.2136826,1.1974114,0.80764253,0.7174114,2.4282897,0.92302003
330,accessory_6to8cities,8,路面·道路,车行道,Singapore,新加坡,0.0027795493,3.1674573,0.00014136905,0.0027795493,0.12012869,3.1543056,Singapore|HongKong|Dhaka|Manila|NewDelhi|Sydney|Jakarta|Amsterdam,0.0015157313,0.0027795493,0.00057823129,0.00021471088,0.00026998299,0.00031887755,0.00014136905,0.0007514881,0.00064413265,0.0014508929,0.00077912415,0.0010863095,1.7272635,3.1674573,0.65892803,0.24467548,0.30766125,0.36337943,0.16109821,0.85636419,0.73402645,1.6533764,0.88785707,1.2379126
331,accessory_6to8cities,8,路面·道路,车行道,Sydney,悉尼,0.0026339286,2.6399148,6.4838435e-05,0.0026339286,0.13466135,3.1022066,Sydney|Singapore|SaoPaulo|CapeTown|HongKong|MexicoCity|Paris|Amsterdam,0.0011819728,0.0021524235,0.00054315476,0.0014498299,0.00084715136,0.0015231718,0.00090880102,0.0026339286,0.00012223639,6.4838435e-05,0.00011054422,0.00043473639,1.1846591,2.1573153,0.5443892,1.453125,0.8490767,1.5266335,0.91086648,2.6399148,0.1225142,0.064985795,0.11079545,0.43572443
332,core_universal_12cities,12,建筑立面,沿街立面,CapeTown,开普敦,0.025302934,2.0266905,0.0017708333,0.025302934,0.060952295,3.3664508,CapeTown|Paris|Amsterdam|Sydney|MexicoCity|Manila|SaoPaulo|Jakarta|Singapore|NewDelhi|HongKong|Dhaka,0.0030846088,0.010839711,0.01704932,0.025302934,0.018590561,0.012248087,0.014461097,0.015352891,0.011184099,0.0017708333,0.0055144558,0.014419643,0.24706809,0.86822893,1.3656003,2.0266905,1.4890492,0.98103569,1.1582913,1.2297214,0.89581338,0.14183854,0.44169168,1.1549709
333,core_universal_12cities,12,建筑立面,建筑·结构,SaoPaulo,圣保罗,0.014477041,1.5899451,0.0035448554,0.014477041,0.031734776,3.4711945,SaoPaulo|Sydney|HongKong|MexicoCity|CapeTown|Amsterdam|Singapore|Manila|Paris|Jakarta|NewDelhi|Dhaka,0.011912202,0.0092740221,0.0095652636,0.010306122,0.0080102041,0.014477041,0.011061862,0.013843537,0.0044217687,0.0035448554,0.004076318,0.0087712585,1.308261,1.0185221,1.0505078,1.1318728,0.87972295,1.5899451,1.2148722,1.5203704,0.48562201,0.38931476,0.44768279,0.96330597
334,near_core_9to11cities,10,建筑立面,住宅·楼房,Dhaka,达卡,0.011049107,3.0369577,0.00019664116,0.011049107,0.18877445,2.9082132,Dhaka|CapeTown|NewDelhi|MexicoCity|Jakarta|Manila|SaoPaulo|Amsterdam|Paris|Sydney,0.00035289116,0.00019664116,0.00097470238,0.0088732993,0.00073554422,0.0012574405,0.005056335,0.00069834184,0.0039221939,0.011049107,0.0072640306,0.0032780612,0.096995666,0.05404879,0.2679067,2.4389151,0.20217169,0.3456201,1.3897843,0.19194624,1.0780542,3.0369577,1.9965915,0.90100794
335,core_universal_12cities,12,路面·道路,车行道,Sydney,悉尼,0.001107568,1.2686688,0.00061968537,0.001107568,0.005981475,3.5635191,Sydney|CapeTown|Paris|Manila|Singapore|SaoPaulo|Jakarta|Amsterdam|HongKong|NewDelhi|MexicoCity|Dhaka,0.00076318027,0.00096194728,0.00079506803,0.0010501701,0.0010034014,0.00093431122,0.00067070578,0.001107568,0.00086096939,0.00061968537,0.00073660714,0.00097257653,0.87418831,1.1018669,0.91071428,1.2029221,1.1493506,1.070211,0.76826299,1.2686688,0.9862013,0.70982143,0.84375,1.1140422
336,near_core_9to11cities,11,植被,沿墙绿篱,Sydney,悉尼,0.0036553997,2.0685714,0.00030612245,0.0036553997,0.062848161,3.3596542,Sydney|Singapore|Paris|Amsterdam|NewDelhi|MexicoCity|HongKong|SaoPaulo|Manila|CapeTown|Jakarta,0.0015933248,0.0026573129,0.0022937925,0.00063137755,0.0023883929,0.0015710034,0.0021035289,0.0036553997,0.00052721088,0.00030612245,0.0021853741,0.001292517,0.90165413,1.5037594,1.2980451,0.35729323,1.3515789,0.88902256,1.1903759,2.0685714,0.29834586,0.17323308,1.2366917,0.73142857
